parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"modela"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0168114	.00387235	4.3776778	.000012	1.00925	1.0244294	"modela"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.0809585	.00656682	12.81451	1.360e-37	1.0681641	1.0939062	"modela"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.0227893	.00870149	2.6486337	.00808179	1.0058761	1.0399869	"modela"	"tested"	""
"5.eth5"	"Eth 5 categories"	.73549879	.00563465	-40.100095	0	.72453758	.74662582	"modela"	"tested"	""
"6.eth5"	"Eth 5 categories"	.97797331	.00208805	-10.431862	1.774e-25	.97388935	.9820744	"modela"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"modela"	"tested"	""
"1.male"	"Male"	.78507067	.00142677	-133.14856	0	.78227922	.78787207	"modela"	"tested"	""
"age1"	"Age spline 1"	1.0139517	.00024847	56.541355	0	1.0134649	1.0144388	"modela"	"tested"	""
"age2"	"Age spline 2"	.91308303	.00074009	-112.18322	0	.91163364	.91453473	"modela"	"tested"	""
"age3"	"Age spline 3"	1.2976929	.00291318	116.08052	0	1.2919957	1.3034152	"modela"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"modela"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0246317	.00277953	8.970094	2.963e-19	1.0191984	1.030094	"modela"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.050856	.00286483	18.195797	5.572e-74	1.045256	1.056486	"modela"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0789598	.00296734	27.633577	4.40e-168	1.0731596	1.0847914	"modela"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0543475	.00304078	18.349995	3.301e-75	1.0484045	1.0603241	"modela"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"modela"	"tested"	""
"2.bmicat_sa"	"BMI with SA categories"	.95754526	.00602254	-6.8975058	5.292e-12	.94581375	.96942227	"modela"	"tested"	""
"3.bmicat_sa"	"BMI with SA categories"	.98720304	.00624764	-2.0351248	.04183832	.97503353	.99952445	"modela"	"tested"	""
