eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.ethnicity_16"	"Eth 16 categories"	.75708114	.73979365	-.2847878	.77580672	.11152637	5.1393394	"crude"	"ventilated"
"ventilated"	"3.ethnicity_16"	"Eth 16 categories"	.95616891	.1661277	-.25797119	.79642914	.68021196	1.3440795	"crude"	"ventilated"
"ventilated"	"4.ethnicity_16"	"Eth 16 categories"	.87184986	.56394669	-.21201257	.83209723	.24538677	3.0976493	"crude"	"ventilated"
"ventilated"	"5.ethnicity_16"	"Eth 16 categories"	1.7540346	.91842163	1.0731723	.28319382	.62855689	4.8947634	"crude"	"ventilated"
"ventilated"	"6.ethnicity_16"	"Eth 16 categories"	1.1020957	.79328224	.13505745	.89256645	.26886192	4.5176164	"crude"	"ventilated"
"ventilated"	"7.ethnicity_16"	"Eth 16 categories"	.49284625	.27391351	-1.2730928	.20298511	.165818	1.4648435	"crude"	"ventilated"
"ventilated"	"8.ethnicity_16"	"Eth 16 categories"	1.2524748	.26219059	1.0753968	.28219711	.83096007	1.8878081	"crude"	"ventilated"
"ventilated"	"9.ethnicity_16"	"Eth 16 categories"	1.3141196	.29220502	1.2285006	.21925911	.84989136	2.0319189	"crude"	"ventilated"
"ventilated"	"10.ethnicity_16"	"Eth 16 categories"	1.6581542	.86814985	.96588968	.33409939	.59424623	4.6268285	"crude"	"ventilated"
"ventilated"	"11.ethnicity_16"	"Eth 16 categories"	1.3463312	.32787991	1.2211066	.22204565	.83532179	2.1699513	"crude"	"ventilated"
"ventilated"	"12.ethnicity_16"	"Eth 16 categories"	.7344392	.25646565	-.8838737	.3767644	.37043914	1.4561121	"crude"	"ventilated"
"ventilated"	"13.ethnicity_16"	"Eth 16 categories"	1.2916209	.29352067	1.1260643	.26013828	.82736976	2.0163713	"crude"	"ventilated"
"ventilated"	"14.ethnicity_16"	"Eth 16 categories"	.86073926	.36649068	-.35220433	.72468503	.37363018	1.9829021	"crude"	"ventilated"
"ventilated"	"15.ethnicity_16"	"Eth 16 categories"	.66028875	.34432786	-.79596045	.42605502	.23760124	1.8349283	"crude"	"ventilated"
"ventilated"	"16.ethnicity_16"	"Eth 16 categories"	1.8015674	.54363353	1.9507726	.0510841	.9972303	3.2546596	"crude"	"ventilated"
"ventilated"	"17.ethnicity_16"	"Eth 16 categories"	1.105124	.11384515	.9703137	.33189015	.90307512	1.3523782	"crude"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	1.0804222	.19460703	.42944323	.6676007	.75905627	1.5378466	"crude"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.59625568	.13416885	-2.2979647	.0215638	.38361538	.92676376	"crude"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	3.8034369	1.9574918	2.5956843	.00944028	1.3870543	10.429391	"crude"	"ventilated"
"ventilated"	"5.stp"	"Sustainability and Transformation Partnership"	1.0684526	.37156745	.19039279	.84900134	.54043007	2.1123749	"crude"	"ventilated"
"ventilated"	"6.stp"	"Sustainability and Transformation Partnership"	.97465178	.19718111	-.12690974	.89901184	.65560687	1.4489569	"crude"	"ventilated"
"ventilated"	"7.stp"	"Sustainability and Transformation Partnership"	2.4810596	2.0537626	1.0977429	.27231675	.48981562	12.567294	"crude"	"ventilated"
"ventilated"	"8.stp"	"Sustainability and Transformation Partnership"	2.0885761	.53011054	2.9016588	.00371193	1.2699984	3.4347684	"crude"	"ventilated"
"ventilated"	"9.stp"	"Sustainability and Transformation Partnership"	1.9975247	.71361025	1.9367784	.05277244	.99175121	4.0232924	"crude"	"ventilated"
"ventilated"	"10.stp"	"Sustainability and Transformation Partnership"	4.2991916	1.3149151	4.7684121	1.857e-06	2.3607247	7.8293958	"crude"	"ventilated"
"ventilated"	"11.stp"	"Sustainability and Transformation Partnership"	2.6424375	.70630297	3.635354	.0002776	1.564895	4.4619456	"crude"	"ventilated"
"ventilated"	"12.stp"	"Sustainability and Transformation Partnership"	1.9910177	.56426443	2.4299001	.01510299	1.1424582	3.4698437	"crude"	"ventilated"
"ventilated"	"13.stp"	"Sustainability and Transformation Partnership"	5.4524624	1.8548393	4.9857383	6.173e-07	2.79916	10.62081	"crude"	"ventilated"
"ventilated"	"14.stp"	"Sustainability and Transformation Partnership"	2.2983135	.72150851	2.6508356	.00802929	1.2422012	4.2523263	"crude"	"ventilated"
"ventilated"	"15.stp"	"Sustainability and Transformation Partnership"	1.6336704	.37265715	2.1517185	.03141953	1.0447119	2.5546555	"crude"	"ventilated"
"ventilated"	"16.stp"	"Sustainability and Transformation Partnership"	.85777737	.2472211	-.53228552	.59452826	.48758317	1.509039	"crude"	"ventilated"
"ventilated"	"17.stp"	"Sustainability and Transformation Partnership"	4.4292784	1.5694536	4.2000696	.00002668	2.2116758	8.8704262	"crude"	"ventilated"
