outcome	model	eth5	hh_cat	estimate	p	min95	max95	idstr6	num	adjusted
"confirmed"	"model0"	"Other"	"3-5"	1.4132254	.00011192	1.1857751	1.6843042	""	150	"Age-sex"
"confirmed"	"model0"	"Other"	"6-9"	1.2729501	.08126394	.97046602	1.6697154	""	151	"Age-sex"
"confirmed"	"model0"	"Other"	"10+"	1.2676046	.05769461	.99228978	1.6193066	""	152	"Age-sex"
"confirmed"	"model1"	"Other"	"1-2"	1		1	1	""	153	"Age-sex-IMD"
"confirmed"	"model1"	"Other"	"3-5"	1.4141138	.00011667	1.1855924	1.6866825	""	154	"Age-sex-IMD"
"confirmed"	"model1"	"Other"	"6-9"	1.2537757	.10318932	.95518405	1.6457075	""	155	"Age-sex-IMD"
"confirmed"	"model1"	"Other"	"10+"	1.2640328	.0621942	.98812829	1.6169752	""	156	"Age-sex-IMD"
"confirmed"	"model2"	"Other"	"1-2"	1		1	1	""	157	"+ co-morbidities"
"confirmed"	"model2"	"Other"	"3-5"	1.298468	.01512699	1.0517575	1.6030494	""	158	"+ co-morbidities"
"confirmed"	"model2"	"Other"	"6-9"	1.0685921	.70614772	.75689733	1.5086445	""	159	"+ co-morbidities"
"confirmed"	"model2"	"Other"	"10+"	1.7030998	.00017248	1.2899768	2.2485279	""	160	"+ co-morbidities"
"tested"	"crude"	"White"	"1-2"	1		1	1	""	161	"Crude"
"tested"	"crude"	"White"	"3-5"	.90644335	4.89e-255	.90134199	.91157358	""	162	"Crude"
"tested"	"crude"	"White"	"6-9"	.96963106	.00001557	.9561601	.98329181	""	163	"Crude"
"tested"	"crude"	"White"	"10+"	1.1776839	0	1.1693967	1.1860299	""	164	"Crude"
"tested"	"model0"	"White"	"1-2"	1		1	1	""	165	"Age-sex"
"tested"	"model0"	"White"	"3-5"	1.0822951	4.43e-139	1.0756333	1.0889981	""	166	"Age-sex"
"tested"	"model0"	"White"	"6-9"	1.1688003	1.78e-101	1.1522117	1.1856277	""	167	"Age-sex"
"tested"	"model0"	"White"	"10+"	1.2694482	0	1.2604146	1.2785466	""	168	"Age-sex"
"tested"	"model1"	"White"	"1-2"	1		1	1	""	169	"Age-sex-IMD"
"tested"	"model1"	"White"	"3-5"	1.0891493	6.25e-160	1.0824051	1.0959354	""	170	"Age-sex-IMD"
"tested"	"model1"	"White"	"6-9"	1.1526689	9.451e-84	1.1362327	1.1693429	""	171	"Age-sex-IMD"
"tested"	"model1"	"White"	"10+"	1.2753849	0	1.2662762	1.2845591	""	172	"Age-sex-IMD"
"tested"	"model2"	"White"	"1-2"	1		1	1	""	173	"+ co-morbidities"
"tested"	"model2"	"White"	"3-5"	1.1085653	2.48e-176	1.1006837	1.1165033	""	174	"+ co-morbidities"
"tested"	"model2"	"White"	"6-9"	1.3308679	6.00e-245	1.3087476	1.3533621	""	175	"+ co-morbidities"
"tested"	"model2"	"White"	"10+"	1.3976729	0	1.3865617	1.4088732	""	176	"+ co-morbidities"
"tested"	"crude"	"South Asian"	"1-2"	1		1	1	""	177	"Crude"
"tested"	"crude"	"South Asian"	"3-5"	1.1147987	3.683e-27	1.0930157	1.1370158	""	178	"Crude"
"tested"	"crude"	"South Asian"	"6-9"	.85355449	2.916e-34	.83212403	.87553686	""	179	"Crude"
"tested"	"crude"	"South Asian"	"10+"	.83181896	6.482e-41	.80970579	.85453605	""	180	"Crude"
"tested"	"model0"	"South Asian"	"1-2"	1		1	1	""	181	"Age-sex"
"tested"	"model0"	"South Asian"	"3-5"	1.0982627	5.697e-20	1.0764324	1.1205358	""	182	"Age-sex"
"tested"	"model0"	"South Asian"	"6-9"	.88803484	1.774e-19	.86543067	.9112294	""	183	"Age-sex"
"tested"	"model0"	"South Asian"	"10+"	.87577786	1.314e-21	.85225533	.89994961	""	184	"Age-sex"
"tested"	"model1"	"South Asian"	"1-2"	1		1	1	""	185	"Age-sex-IMD"
"tested"	"model1"	"South Asian"	"3-5"	1.0981497	1.186e-19	1.0761561	1.1205928	""	186	"Age-sex-IMD"
"tested"	"model1"	"South Asian"	"6-9"	.89673425	1.901e-16	.87375193	.92032106	""	187	"Age-sex-IMD"
"tested"	"model1"	"South Asian"	"10+"	.88190006	2.094e-19	.85811209	.90634747	""	188	"Age-sex-IMD"
"tested"	"model2"	"South Asian"	"1-2"	1		1	1	""	189	"+ co-morbidities"
"tested"	"model2"	"South Asian"	"3-5"	1.0476824	.00012096	1.0230938	1.0728619	""	190	"+ co-morbidities"
"tested"	"model2"	"South Asian"	"6-9"	.87934303	1.739e-16	.85285259	.90665629	""	191	"+ co-morbidities"
"tested"	"model2"	"South Asian"	"10+"	.95082388	.00204546	.9208313	.98179335	""	192	"+ co-morbidities"
"tested"	"crude"	"Black"	"1-2"	1		1	1	""	193	"Crude"
"tested"	"crude"	"Black"	"3-5"	1.0110111	.50146704	.97923855	1.0438146	""	194	"Crude"
"tested"	"crude"	"Black"	"6-9"	.76566791	2.405e-24	.72730637	.80605283	""	195	"Crude"
"tested"	"crude"	"Black"	"10+"	.87849908	8.471e-07	.834351	.92498317	""	196	"Crude"
"tested"	"model0"	"Black"	"1-2"	1		1	1	""	197	"Age-sex"
"tested"	"model0"	"Black"	"3-5"	1.0345976	.04169193	1.0012804	1.0690235	""	198	"Age-sex"
"tested"	"model0"	"Black"	"6-9"	.82768128	1.092e-12	.78568392	.87192355	""	199	"Age-sex"
"tested"	"model0"	"Black"	"10+"	.89960643	.00006389	.85413632	.94749714	""	200	"Age-sex"
"tested"	"model1"	"Black"	"1-2"	1		1	1	""	201	"Age-sex-IMD"
"tested"	"model1"	"Black"	"3-5"	1.033587	.04964499	1.0000513	1.0682473	""	202	"Age-sex-IMD"
"tested"	"model1"	"Black"	"6-9"	.82778698	1.432e-12	.785595	.87224497	""	203	"Age-sex-IMD"
"tested"	"model1"	"Black"	"10+"	.90314691	.00012345	.85737802	.95135905	""	204	"Age-sex-IMD"
"tested"	"model2"	"Black"	"1-2"	1		1	1	""	205	"+ co-morbidities"
"tested"	"model2"	"Black"	"3-5"	1.0412747	.04334777	1.0012095	1.0829432	""	206	"+ co-morbidities"
"tested"	"model2"	"Black"	"6-9"	.87984344	.00007608	.8257803	.93744605	""	207	"+ co-morbidities"
"tested"	"model2"	"Black"	"10+"	1.0637987	.04493495	1.0013981	1.1300877	""	208	"+ co-morbidities"
"tested"	"crude"	"Mixed"	"1-2"	1		1	1	""	209	"Crude"
"tested"	"crude"	"Mixed"	"3-5"	1.0489482	.03821232	1.0025998	1.0974391	""	210	"Crude"
"tested"	"crude"	"Mixed"	"6-9"	.78026778	1.168e-08	.71650487	.84970507	""	211	"Crude"
"tested"	"crude"	"Mixed"	"10+"	.82334447	2.352e-07	.76484381	.88631967	""	212	"Crude"
"tested"	"model0"	"Mixed"	"1-2"	1		1	1	""	213	"Age-sex"
"tested"	"model0"	"Mixed"	"3-5"	1.0530363	.02763036	1.0057068	1.1025933	""	214	"Age-sex"
"tested"	"model0"	"Mixed"	"6-9"	.81856575	4.758e-06	.75128811	.89186809	""	215	"Age-sex"
"tested"	"model0"	"Mixed"	"10+"	.8371249	2.669e-06	.77724334	.90161995	""	216	"Age-sex"
"tested"	"model1"	"Mixed"	"1-2"	1		1	1	""	217	"Age-sex-IMD"
"tested"	"model1"	"Mixed"	"3-5"	1.0554654	.02266284	1.007587	1.1056189	""	218	"Age-sex-IMD"
"tested"	"model1"	"Mixed"	"6-9"	.8240281	.00001078	.75597192	.89821103	""	219	"Age-sex-IMD"
"tested"	"model1"	"Mixed"	"10+"	.84130398	5.612e-06	.78083242	.90645876	""	220	"Age-sex-IMD"
"tested"	"model2"	"Mixed"	"1-2"	1		1	1	""	221	"+ co-morbidities"
"tested"	"model2"	"Mixed"	"3-5"	1.0564514	.05732442	.99829303	1.1179978	""	222	"+ co-morbidities"
"tested"	"model2"	"Mixed"	"6-9"	.90451951	.06496955	.81307754	1.0062454	""	223	"+ co-morbidities"
"tested"	"model2"	"Mixed"	"10+"	1.0100111	.82692913	.92373093	1.1043501	""	224	"+ co-morbidities"
"tested"	"crude"	"Other"	"1-2"	1		1	1	""	225	"Crude"
"tested"	"crude"	"Other"	"3-5"	1.2261431	2.308e-23	1.1779195	1.2763409	""	226	"Crude"
"tested"	"crude"	"Other"	"6-9"	.89416293	.001326	.83513235	.95736603	""	227	"Crude"
"tested"	"crude"	"Other"	"10+"	.81744576	2.397e-10	.7680129	.87006035	""	228	"Crude"
"tested"	"model0"	"Other"	"1-2"	1		1	1	""	229	"Age-sex"
"tested"	"model0"	"Other"	"3-5"	1.1791237	4.033e-15	1.1316224	1.228619	""	230	"Age-sex"
"tested"	"model0"	"Other"	"6-9"	.91971325	.01705975	.85859369	.98518365	""	231	"Age-sex"
"tested"	"model0"	"Other"	"10+"	.85126172	5.600e-07	.79923234	.90667816	""	232	"Age-sex"
"tested"	"model1"	"Other"	"1-2"	1		1	1	""	233	"Age-sex-IMD"
"tested"	"model1"	"Other"	"3-5"	1.1782812	9.187e-15	1.1303951	1.2281959	""	234	"Age-sex-IMD"
