outcome	model	eth5	hh_cat	estimate	p	min95	max95	idstr6	num	adjusted
"positivetest"	"crude"	"South Asian"	"6-9"	1.3565802	9.077e-19	1.2679436	1.4514129	""	259	"Crude"
"positivetest"	"crude"	"South Asian"	"10+"	1.2702226	5.820e-11	1.1824633	1.3644951	""	260	"Crude"
"positivetest"	"model0"	"South Asian"	"1-2"	1		1	1	""	261	"Age-sex"
"positivetest"	"model0"	"South Asian"	"3-5"	1.3975448	1.429e-29	1.3186686	1.481139	""	262	"Age-sex"
"positivetest"	"model0"	"South Asian"	"6-9"	1.3734999	1.157e-19	1.282493	1.4709646	""	263	"Age-sex"
"positivetest"	"model0"	"South Asian"	"10+"	1.2692092	1.059e-10	1.1806282	1.3644364	""	264	"Age-sex"
"positivetest"	"model1"	"South Asian"	"1-2"	1		1	1	""	265	"Age-sex-IMD"
"positivetest"	"model1"	"South Asian"	"3-5"	1.3901003	2.141e-28	1.311229	1.4737157	""	266	"Age-sex-IMD"
"positivetest"	"model1"	"South Asian"	"6-9"	1.3374372	1.392e-16	1.2483326	1.4329019	""	267	"Age-sex-IMD"
"positivetest"	"model1"	"South Asian"	"10+"	1.2523016	1.246e-09	1.1646118	1.3465941	""	268	"Age-sex-IMD"
"positivetest"	"model2"	"South Asian"	"1-2"	1		1	1	""	269	"+ co-morbidities"
"positivetest"	"model2"	"South Asian"	"3-5"	1.3314583	6.049e-16	1.2422258	1.4271006	""	270	"+ co-morbidities"
"positivetest"	"model2"	"South Asian"	"6-9"	1.2835031	2.387e-09	1.1825078	1.3931243	""	271	"+ co-morbidities"
"positivetest"	"model2"	"South Asian"	"10+"	1.3147865	4.036e-10	1.2066982	1.4325566	""	272	"+ co-morbidities"
"positivetest"	"crude"	"Black"	"1-2"	1		1	1	""	273	"Crude"
"positivetest"	"crude"	"Black"	"3-5"	1.0412335	.39432022	.9487917	1.142682	""	274	"Crude"
"positivetest"	"crude"	"Black"	"6-9"	.89560715	.12829295	.77698167	1.0323438	""	275	"Crude"
"positivetest"	"crude"	"Black"	"10+"	1.1021457	.16858734	.95963741	1.2658168	""	276	"Crude"
"positivetest"	"model0"	"Black"	"1-2"	1		1	1	""	277	"Age-sex"
"positivetest"	"model0"	"Black"	"3-5"	1.1631856	.00196136	1.0570349	1.2799964	""	278	"Age-sex"
"positivetest"	"model0"	"Black"	"6-9"	1.0811434	.29005957	.93564979	1.2492614	""	279	"Age-sex"
"positivetest"	"model0"	"Black"	"10+"	1.1667439	.03008404	1.0149724	1.3412102	""	280	"Age-sex"
"positivetest"	"model1"	"Black"	"1-2"	1		1	1	""	281	"Age-sex-IMD"
"positivetest"	"model1"	"Black"	"3-5"	1.1581236	.00279862	1.0518399	1.2751467	""	282	"Age-sex-IMD"
"positivetest"	"model1"	"Black"	"6-9"	1.0711596	.35283137	.92656667	1.2383166	""	283	"Age-sex-IMD"
"positivetest"	"model1"	"Black"	"10+"	1.172531	.02535793	1.0198373	1.3480866	""	284	"Age-sex-IMD"
"positivetest"	"model2"	"Black"	"1-2"	1		1	1	""	285	"+ co-morbidities"
"positivetest"	"model2"	"Black"	"3-5"	1.1615387	.00900232	1.0380871	1.2996715	""	286	"+ co-morbidities"
"positivetest"	"model2"	"Black"	"6-9"	1.0414669	.65122646	.87325511	1.2420806	""	287	"+ co-morbidities"
"positivetest"	"model2"	"Black"	"10+"	1.3180614	.00081246	1.1213327	1.5493047	""	288	"+ co-morbidities"
"positivetest"	"crude"	"Mixed"	"1-2"	1		1	1	""	289	"Crude"
"positivetest"	"crude"	"Mixed"	"3-5"	1.3769798	.00005541	1.1786566	1.6086731	""	290	"Crude"
"positivetest"	"crude"	"Mixed"	"6-9"	1.4512197	.00269258	1.1378844	1.8508369	""	291	"Crude"
"positivetest"	"crude"	"Mixed"	"10+"	1.152606	.24023858	.90936963	1.4609026	""	292	"Crude"
"positivetest"	"model0"	"Mixed"	"1-2"	1		1	1	""	293	"Age-sex"
"positivetest"	"model0"	"Mixed"	"3-5"	1.5091589	3.934e-07	1.2872666	1.7692998	""	294	"Age-sex"
"positivetest"	"model0"	"Mixed"	"6-9"	1.6449328	.00007234	1.2864587	2.1032964	""	295	"Age-sex"
"positivetest"	"model0"	"Mixed"	"10+"	1.171835	.19277025	.92306538	1.4876489	""	296	"Age-sex"
"positivetest"	"model1"	"Mixed"	"1-2"	1		1	1	""	297	"Age-sex-IMD"
"positivetest"	"model1"	"Mixed"	"3-5"	1.5304993	1.885e-07	1.3040808	1.7962293	""	298	"Age-sex-IMD"
"positivetest"	"model1"	"Mixed"	"6-9"	1.5958504	.00021941	1.2454713	2.0447991	""	299	"Age-sex-IMD"
"positivetest"	"model1"	"Mixed"	"10+"	1.1800859	.17651044	.9281742	1.5003678	""	300	"Age-sex-IMD"
"positivetest"	"model2"	"Mixed"	"1-2"	1		1	1	""	301	"+ co-morbidities"
"positivetest"	"model2"	"Mixed"	"3-5"	1.4458989	.00015919	1.1940519	1.7508649	""	302	"+ co-morbidities"
"positivetest"	"model2"	"Mixed"	"6-9"	1.2620381	.16250007	.91041742	1.7494613	""	303	"+ co-morbidities"
"positivetest"	"model2"	"Mixed"	"10+"	1.3819967	.02225149	1.0472299	1.8237781	""	304	"+ co-morbidities"
"positivetest"	"crude"	"Other"	"1-2"	1		1	1	""	305	"Crude"
"positivetest"	"crude"	"Other"	"3-5"	1.5049295	3.894e-10	1.3241011	1.7104531	""	306	"Crude"
"positivetest"	"crude"	"Other"	"6-9"	1.1765027	.11992504	.95856319	1.443993	""	307	"Crude"
"positivetest"	"crude"	"Other"	"10+"	1.0976508	.32800712	.91071621	1.3229557	""	308	"Crude"
"positivetest"	"model0"	"Other"	"1-2"	1		1	1	""	309	"Age-sex"
"positivetest"	"model0"	"Other"	"3-5"	1.4338139	7.200e-08	1.2576104	1.6347053	""	310	"Age-sex"
"positivetest"	"model0"	"Other"	"6-9"	1.2161965	.06346023	.98909099	1.4954478	""	311	"Age-sex"
"positivetest"	"model0"	"Other"	"10+"	1.1208074	.23542422	.92834951	1.353164	""	312	"Age-sex"
"positivetest"	"model1"	"Other"	"1-2"	1		1	1	""	313	"Age-sex-IMD"
"positivetest"	"model1"	"Other"	"3-5"	1.4330501	8.873e-08	1.2560246	1.6350257	""	314	"Age-sex-IMD"
"positivetest"	"model1"	"Other"	"6-9"	1.1960595	.09049953	.97213616	1.4715616	""	315	"Age-sex-IMD"
"positivetest"	"model1"	"Other"	"10+"	1.1200899	.24117698	.92659426	1.3539922	""	316	"Age-sex-IMD"
"positivetest"	"model2"	"Other"	"1-2"	1		1	1	""	317	"+ co-morbidities"
"positivetest"	"model2"	"Other"	"3-5"	1.3490625	.00032139	1.146007	1.5880964	""	318	"+ co-morbidities"
"positivetest"	"model2"	"Other"	"6-9"	1.1291885	.36416394	.86855943	1.4680247	""	319	"+ co-morbidities"
"positivetest"	"model2"	"Other"	"10+"	1.4420886	.0014673	1.1508846	1.8069747	""	320	"+ co-morbidities"
"ae"	"crude"	"White"	"1-2"	1		1	1	""	321	"Crude"
"ae"	"crude"	"White"	"3-5"	.83637364	0	.83009926	.84269544	""	322	"Crude"
"ae"	"crude"	"White"	"6-9"	.99066936	.30738646	.97299629	1.0086634	""	323	"Crude"
"ae"	"crude"	"White"	"10+"	.9074315	3.904e-79	.89830531	.91665041	""	324	"Crude"
"ae"	"model0"	"White"	"1-2"	1		1	1	""	325	"Age-sex"
"ae"	"model0"	"White"	"3-5"	.97019901	5.035e-13	.96226829	.9781951	""	326	"Age-sex"
"ae"	"model0"	"White"	"6-9"	1.1229018	4.614e-35	1.1024408	1.1437426	""	327	"Age-sex"
"ae"	"model0"	"White"	"10+"	.94088903	9.311e-32	.93135589	.95051976	""	328	"Age-sex"
"ae"	"model1"	"White"	"1-2"	1		1	1	""	329	"Age-sex-IMD"
"ae"	"model1"	"White"	"3-5"	.97999986	1.573e-06	.9719517	.98811466	""	330	"Age-sex-IMD"
"ae"	"model1"	"White"	"6-9"	1.0678093	3.373e-12	1.0482653	1.0877177	""	331	"Age-sex-IMD"
"ae"	"model1"	"White"	"10+"	.94309284	2.686e-29	.93350402	.95278015	""	332	"Age-sex-IMD"
"ae"	"model2"	"White"	"1-2"	1		1	1	""	333	"+ co-morbidities"
"ae"	"model2"	"White"	"3-5"	1.004664	.34287959	.99505011	1.0143709	""	334	"+ co-morbidities"
"ae"	"model2"	"White"	"6-9"	1.1573974	1.194e-36	1.1314691	1.1839199	""	335	"+ co-morbidities"
"ae"	"model2"	"White"	"10+"	1.0220109	.0002239	1.0102613	1.0338972	""	336	"+ co-morbidities"
"ae"	"crude"	"South Asian"	"1-2"	1		1	1	""	337	"Crude"
"ae"	"crude"	"South Asian"	"3-5"	.92570151	1.115e-06	.89738196	.95491477	""	338	"Crude"
"ae"	"crude"	"South Asian"	"6-9"	.98440443	.4089154	.94835663	1.0218225	""	339	"Crude"
"ae"	"crude"	"South Asian"	"10+"	.8141944	2.413e-22	.7811458	.84864121	""	340	"Crude"
"ae"	"model0"	"South Asian"	"1-2"	1		1	1	""	341	"Age-sex"
"ae"	"model0"	"South Asian"	"3-5"	1.0016758	.91722871	.97053817	1.0338125	""	342	"Age-sex"
"ae"	"model0"	"South Asian"	"6-9"	1.0589909	.00303524	1.0196072	1.0998959	""	343	"Age-sex"
"ae"	"model0"	"South Asian"	"10+"	.87497739	4.074e-10	.83909433	.91239495	""	344	"Age-sex"
"ae"	"model1"	"South Asian"	"1-2"	1		1	1	""	345	"Age-sex-IMD"
"ae"	"model1"	"South Asian"	"3-5"	.99947176	.97399287	.96822133	1.0317308	""	346	"Age-sex-IMD"
"ae"	"model1"	"South Asian"	"6-9"	1.032171	.1037287	.9935418	1.0723021	""	347	"Age-sex-IMD"
"ae"	"model1"	"South Asian"	"10+"	.86304444	6.610e-12	.82750911	.90010575	""	348	"Age-sex-IMD"
"ae"	"model2"	"South Asian"	"1-2"	1		1	1	""	349	"+ co-morbidities"
"ae"	"model2"	"South Asian"	"3-5"	.95781201	.02280052	.92292261	.99402034	""	350	"+ co-morbidities"
"ae"	"model2"	"South Asian"	"6-9"	1.0127124	.57952109	.96845636	1.0589908	""	351	"+ co-morbidities"
"ae"	"model2"	"South Asian"	"10+"	.90696942	.00010697	.86325442	.95289815	""	352	"+ co-morbidities"
"ae"	"crude"	"Black"	"1-2"	1		1	1	""	353	"Crude"
"ae"	"crude"	"Black"	"3-5"	.89926875	3.405e-06	.85986871	.94047413	""	354	"Crude"
"ae"	"crude"	"Black"	"6-9"	.92133681	.01394437	.86308651	.98351846	""	355	"Crude"
"ae"	"crude"	"Black"	"10+"	.76180197	7.676e-13	.70717768	.82064559	""	356	"Crude"
"ae"	"model0"	"Black"	"1-2"	1		1	1	""	357	"Age-sex"
"ae"	"model0"	"Black"	"3-5"	.94357732	.01294044	.90133718	.98779699	""	358	"Age-sex"
"ae"	"model0"	"Black"	"6-9"	.98000019	.55017689	.91716044	1.0471454	""	359	"Age-sex"
"ae"	"model0"	"Black"	"10+"	.79068949	7.487e-10	.73371913	.85208337	""	360	"Age-sex"
"ae"	"model1"	"Black"	"1-2"	1		1	1	""	361	"Age-sex-IMD"
"ae"	"model1"	"Black"	"3-5"	.94457861	.01529041	.90204511	.98911766	""	362	"Age-sex-IMD"
"ae"	"model1"	"Black"	"6-9"	.96741835	.32951179	.90510475	1.034022	""	363	"Age-sex-IMD"
