outcome	model	eth16	estimate	p	min95	max95	idstr4	num	adjusted
"suspected"	"model1"	"All Other"	.87883846	8.260e-52	.86427076	.89365171	""	33	"Age-sex-IMD"
"suspected"	"model2"	"British or Mixed British"	1		1	1	""	34	"+ co-morbidities"
"suspected"	"model2"	"Irish"	.99865256	.9455977	.9607152	1.038088	""	35	"+ co-morbidities"
"suspected"	"model2"	"Other White"	.87219826	2.041e-88	.86055079	.88400338	""	36	"+ co-morbidities"
"suspected"	"model2"	"Indian"	1.2401778	1.96e-113	1.2172764	1.26351	""	37	"+ co-morbidities"
"suspected"	"model2"	"Pakistani"	.73565024	9.44e-146	.71863208	.75307141	""	38	"+ co-morbidities"
"suspected"	"model2"	"Bangladeshi"	.95686242	.05929172	.91400426	1.0017302	""	39	"+ co-morbidities"
"suspected"	"model2"	"Caribbean"	1.0730136	.00024053	1.0334037	1.1141418	""	40	"+ co-morbidities"
"suspected"	"model2"	"African"	1.065036	.00002578	1.0342328	1.0967565	""	41	"+ co-morbidities"
"suspected"	"model2"	"Chinese"	.64796782	4.460e-35	.60487248	.69413358	""	42	"+ co-morbidities"
"suspected"	"model2"	"All mixed"	1.0349912	.0305272	1.0032362	1.0677513	""	43	"+ co-morbidities"
"suspected"	"model2"	"All Other"	1.0284177	.00476806	1.0085985	1.0486264	""	44	"+ co-morbidities"
"suspected"	"model3"	"British or Mixed British"	1		1	1	""	45	"+ household size"
"suspected"	"model3"	"Irish"	.99855077	.94149251	.96061687	1.0379826	""	46	"+ household size"
"suspected"	"model3"	"Other White"	.87076085	2.144e-90	.85912469	.88255461	""	47	"+ household size"
"suspected"	"model3"	"Indian"	1.22837	1.68e-102	1.205548	1.251624	""	48	"+ household size"
"suspected"	"model3"	"Pakistani"	.72642143	2.08e-153	.70937681	.7438756	""	49	"+ household size"
"suspected"	"model3"	"Bangladeshi"	.9450723	.0160346	.90260167	.98954132	""	50	"+ household size"
"suspected"	"model3"	"Caribbean"	1.0720504	.00028879	1.0324741	1.1131438	""	51	"+ household size"
"suspected"	"model3"	"African"	1.0604622	.00009078	1.0297417	1.0920992	""	52	"+ household size"
"suspected"	"model3"	"Chinese"	.64569034	1.286e-35	.60274431	.69169632	""	53	"+ household size"
"suspected"	"model3"	"All mixed"	1.0334994	.03825846	1.0017844	1.0662184	""	54	"+ household size"
"suspected"	"model3"	"All Other"	1.0231013	.02183898	1.0033239	1.0432686	""	55	"+ household size"
"confirmed"	"crude"	"British or Mixed British"	1		1	1	""	56	"Crude"
"confirmed"	"crude"	"Irish"	1.1746921	.01324565	1.0341838	1.3342905	""	57	"Crude"
"confirmed"	"crude"	"Other White"	.72407097	6.858e-54	.69502473	.75433111	""	58	"Crude"
"confirmed"	"crude"	"Indian"	2.0041949	1.29e-218	1.9195035	2.0926229	""	59	"Crude"
"confirmed"	"crude"	"Pakistani"	2.4619317	0	2.3503674	2.5787917	""	60	"Crude"
"confirmed"	"crude"	"Bangladeshi"	1.269697	.00031281	1.1150951	1.4457338	""	61	"Crude"
"confirmed"	"crude"	"Caribbean"	1.6766021	2.460e-22	1.5107021	1.8607206	""	62	"Crude"
"confirmed"	"crude"	"African"	1.3759534	1.915e-16	1.2752184	1.4846458	""	63	"Crude"
"confirmed"	"crude"	"Chinese"	.32267095	3.248e-26	.26173355	.39779592	""	64	"Crude"
"confirmed"	"crude"	"All mixed"	.98779447	.79868975	.89883556	1.0855578	""	65	"Crude"
"confirmed"	"crude"	"All Other"	1.3132305	5.684e-28	1.250795	1.3787824	""	66	"Crude"
"confirmed"	"model0"	"British or Mixed British"	1		1	1	""	67	"Age-sex"
"confirmed"	"model0"	"Irish"	1.1298053	.06122005	.99427499	1.2838099	""	68	"Age-sex"
"confirmed"	"model0"	"Other White"	1.0176041	.41986508	.97535828	1.0616798	""	69	"Age-sex"
"confirmed"	"model0"	"Indian"	2.3924808	2.45e-292	2.283117	2.5070832	""	70	"Age-sex"
"confirmed"	"model0"	"Pakistani"	3.1386764	0	2.9884061	3.2965029	""	71	"Age-sex"
"confirmed"	"model0"	"Bangladeshi"	1.8074032	7.942e-19	1.5856084	2.0602226	""	72	"Age-sex"
"confirmed"	"model0"	"Caribbean"	1.777497	1.217e-26	1.5994817	1.9753245	""	73	"Age-sex"
"confirmed"	"model0"	"African"	2.0154311	3.290e-70	1.8650503	2.1779373	""	74	"Age-sex"
"confirmed"	"model0"	"Chinese"	.53355791	4.372e-09	.432594	.65808598	""	75	"Age-sex"
"confirmed"	"model0"	"All mixed"	1.5262503	3.314e-18	1.3875825	1.6787759	""	76	"Age-sex"
"confirmed"	"model0"	"All Other"	1.9221872	8.12e-139	1.8264926	2.0228954	""	77	"Age-sex"
"confirmed"	"model1"	"British or Mixed British"	1		1	1	""	78	"Age-sex-IMD"
"confirmed"	"model1"	"Irish"	1.0915823	.18091972	.96007822	1.2410988	""	79	"Age-sex-IMD"
"confirmed"	"model1"	"Other White"	.96792987	.13482013	.92744795	1.0101788	""	80	"Age-sex-IMD"
"confirmed"	"model1"	"Indian"	2.2510735	8.31e-247	2.1468655	2.3603398	""	81	"Age-sex-IMD"
"confirmed"	"model1"	"Pakistani"	2.7529705	0	2.6185343	2.8943087	""	82	"Age-sex-IMD"
"confirmed"	"model1"	"Bangladeshi"	1.5842505	6.440e-12	1.3893508	1.806491	""	83	"Age-sex-IMD"
"confirmed"	"model1"	"Caribbean"	1.5829828	2.377e-17	1.4234347	1.7604142	""	84	"Age-sex-IMD"
"confirmed"	"model1"	"African"	1.7991043	4.364e-49	1.6638355	1.9453704	""	85	"Age-sex-IMD"
"confirmed"	"model1"	"Chinese"	.53002279	3.680e-09	.42921484	.65450709	""	86	"Age-sex-IMD"
"confirmed"	"model1"	"All mixed"	1.4327985	1.975e-13	1.301785	1.5769974	""	87	"Age-sex-IMD"
"confirmed"	"model1"	"All Other"	1.7796426	3.18e-106	1.6901276	1.8738987	""	88	"Age-sex-IMD"
"confirmed"	"model2"	"British or Mixed British"	1		1	1	""	89	"+ co-morbidities"
"confirmed"	"model2"	"Irish"	1.0496687	.5119535	.90810084	1.2133063	""	90	"+ co-morbidities"
"confirmed"	"model2"	"Other White"	1.0949881	.00036022	1.041739	1.1509591	""	91	"+ co-morbidities"
"confirmed"	"model2"	"Indian"	2.0581659	8.39e-140	1.9456765	2.1771589	""	92	"+ co-morbidities"
"confirmed"	"model2"	"Pakistani"	2.2414863	2.74e-163	2.1149824	2.3755568	""	93	"+ co-morbidities"
"confirmed"	"model2"	"Bangladeshi"	1.4093647	4.932e-06	1.2164048	1.632934	""	94	"+ co-morbidities"
"confirmed"	"model2"	"Caribbean"	1.4801445	5.821e-11	1.3162253	1.6644777	""	95	"+ co-morbidities"
"confirmed"	"model2"	"African"	1.775099	4.200e-35	1.6207227	1.94418	""	96	"+ co-morbidities"
"confirmed"	"model2"	"Chinese"	.91208131	.45322866	.71712665	1.1600354	""	97	"+ co-morbidities"
"confirmed"	"model2"	"All mixed"	1.5533049	1.498e-15	1.3940072	1.730806	""	98	"+ co-morbidities"
"confirmed"	"model2"	"All Other"	1.8425211	1.082e-87	1.7346313	1.9571213	""	99	"+ co-morbidities"
"confirmed"	"model3"	"British or Mixed British"	1		1	1	""	100	"+ household size"
"confirmed"	"model3"	"Irish"	1.0487763	.5194024	.90732366	1.2122816	""	101	"+ household size"
"confirmed"	"model3"	"Other White"	1.0771761	.00348783	1.0247631	1.1322698	""	102	"+ household size"
"confirmed"	"model3"	"Indian"	1.8711601	1.35e-103	1.7678074	1.9805553	""	103	"+ household size"
"confirmed"	"model3"	"Pakistani"	1.9021934	1.457e-99	1.7923096	2.0188141	""	104	"+ household size"
"confirmed"	"model3"	"Bangladeshi"	1.2066191	.01276563	1.0408059	1.3988484	""	105	"+ household size"
"confirmed"	"model3"	"Caribbean"	1.4884421	3.131e-11	1.3235729	1.673848	""	106	"+ household size"
"confirmed"	"model3"	"African"	1.6983747	5.203e-30	1.5503095	1.8605811	""	107	"+ household size"
"confirmed"	"model3"	"Chinese"	.88120093	.30266051	.69284298	1.1207663	""	108	"+ household size"
"confirmed"	"model3"	"All mixed"	1.52683	1.810e-14	1.3702039	1.7013598	""	109	"+ household size"
"confirmed"	"model3"	"All Other"	1.7356172	5.899e-71	1.6334376	1.8441886	""	110	"+ household size"
"tested"	"crude"	"British or Mixed British"	1		1	1	""	111	"Crude"
"tested"	"crude"	"Irish"	1.0729892	5.805e-07	1.0437499	1.1030476	""	112	"Crude"
"tested"	"crude"	"Other White"	.67516496	0	.66930753	.68107365	""	113	"Crude"
"tested"	"crude"	"Indian"	1.1952785	3.30e-207	1.1817514	1.2089604	""	114	"Crude"
"tested"	"crude"	"Pakistani"	.89560059	3.413e-44	.88182758	.90958871	""	115	"Crude"
"tested"	"crude"	"Bangladeshi"	.68560091	2.715e-92	.66115507	.71095062	""	116	"Crude"
"tested"	"crude"	"Caribbean"	.95265638	.00085984	.92586777	.98022008	""	117	"Crude"
"tested"	"crude"	"African"	.90090638	4.048e-26	.88364349	.91850651	""	118	"Crude"
"tested"	"crude"	"Chinese"	.32262925	0	.30907198	.33678121	""	119	"Crude"
"tested"	"crude"	"All mixed"	.86744116	5.561e-41	.8495928	.88566448	""	120	"Crude"
"tested"	"crude"	"All Other"	.84079806	1.57e-164	.83040938	.85131671	""	121	"Crude"
"tested"	"model0"	"British or Mixed British"	1		1	1	""	122	"Age-sex"
"tested"	"model0"	"Irish"	1.0677432	3.578e-06	1.0385515	1.0977554	""	123	"Age-sex"
"tested"	"model0"	"Other White"	.7375314	0	.73089759	.74422543	""	124	"Age-sex"
"tested"	"model0"	"Indian"	1.1614089	3.76e-131	1.1475146	1.1754715	""	125	"Age-sex"
"tested"	"model0"	"Pakistani"	1.041865	4.318e-07	1.0254266	1.0585669	""	126	"Age-sex"
"tested"	"model0"	"Bangladeshi"	.76386856	1.898e-47	.7364997	.79225448	""	127	"Age-sex"
"tested"	"model0"	"Caribbean"	1.002505	.86468473	.97406937	1.0317708	""	128	"Age-sex"
"tested"	"model0"	"African"	1.0171261	.08941122	.99738951	1.0372533	""	129	"Age-sex"
"tested"	"model0"	"Chinese"	.35904467	0	.34391911	.37483546	""	130	"Age-sex"
"tested"	"model0"	"All mixed"	.98628652	.19657306	.96583159	1.0071747	""	131	"Age-sex"
"tested"	"model0"	"All Other"	.94673819	7.153e-17	.93464511	.95898774	""	132	"Age-sex"
"tested"	"model1"	"British or Mixed British"	1		1	1	""	133	"Age-sex-IMD"
"tested"	"model1"	"Irish"	1.0592123	.00005101	1.0301382	1.0891069	""	134	"Age-sex-IMD"
"tested"	"model1"	"Other White"	.72274097	0	.71618218	.72935983	""	135	"Age-sex-IMD"
"tested"	"model1"	"Indian"	1.1336208	7.888e-91	1.1199167	1.1474927	""	136	"Age-sex-IMD"
"tested"	"model1"	"Pakistani"	.99336658	.41733257	.97751764	1.0094725	""	137	"Age-sex-IMD"
"tested"	"model1"	"Bangladeshi"	.72838569	2.128e-64	.70216699	.75558339	""	138	"Age-sex-IMD"
"tested"	"model1"	"Caribbean"	.96162943	.0080686	.93419225	.98987244	""	139	"Age-sex-IMD"
"tested"	"model1"	"African"	.97118732	.00385599	.9521189	.99063764	""	140	"Age-sex-IMD"
"tested"	"model1"	"Chinese"	.35800828	0	.34278763	.37390476	""	141	"Age-sex-IMD"
"tested"	"model1"	"All mixed"	.96295506	.00046616	.94281006	.9835305	""	142	"Age-sex-IMD"
"tested"	"model1"	"All Other"	.92063957	9.006e-36	.9087664	.93266785	""	143	"Age-sex-IMD"
"tested"	"model2"	"British or Mixed British"	1		1	1	""	144	"+ co-morbidities"
"tested"	"model2"	"Irish"	1.0763241	6.222e-06	1.0425284	1.1112153	""	145	"+ co-morbidities"
"tested"	"model2"	"Other White"	.87083763	1.86e-136	.86139522	.88038355	""	146	"+ co-morbidities"
"tested"	"model2"	"Indian"	1.1795165	1.09e-111	1.162642	1.1966358	""	147	"+ co-morbidities"
"tested"	"model2"	"Pakistani"	.92968899	2.115e-14	.91247024	.94723267	""	148	"+ co-morbidities"
"tested"	"model2"	"Bangladeshi"	.6884144	6.435e-65	.65943355	.71866891	""	149	"+ co-morbidities"
"tested"	"model2"	"Caribbean"	.9770396	.16561834	.94547737	1.0096555	""	150	"+ co-morbidities"
"tested"	"model2"	"African"	1.0693102	3.736e-08	1.0440898	1.0951398	""	151	"+ co-morbidities"
"tested"	"model2"	"Chinese"	.59960373	1.014e-71	.56696065	.63412626	""	152	"+ co-morbidities"
"tested"	"model2"	"All mixed"	1.0251671	.05582296	.9993822	1.0516173	""	153	"+ co-morbidities"
"tested"	"model2"	"All Other"	1.0183629	.02303557	1.002508	1.0344685	""	154	"+ co-morbidities"
"tested"	"model3"	"British or Mixed British"	1		1	1	""	155	"+ household size"
"tested"	"model3"	"Irish"	1.0772494	4.845e-06	1.0434238	1.1121714	""	156	"+ household size"
"tested"	"model3"	"Other White"	.86662816	7.69e-146	.8572248	.87613467	""	157	"+ household size"
"tested"	"model3"	"Indian"	1.1438099	1.560e-73	1.1273238	1.1605371	""	158	"+ household size"
"tested"	"model3"	"Pakistani"	.88276047	4.280e-38	.86619761	.89964003	""	159	"+ household size"
"tested"	"model3"	"Bangladeshi"	.65570608	4.686e-82	.62803907	.6845919	""	160	"+ household size"
"tested"	"model3"	"Caribbean"	.97910246	.20751617	.9474709	1.0117901	""	161	"+ household size"
"tested"	"model3"	"African"	1.0577196	4.236e-06	1.032727	1.0833169	""	162	"+ household size"
"tested"	"model3"	"Chinese"	.59437378	3.959e-74	.56201441	.62859633	""	163	"+ household size"
"tested"	"model3"	"All mixed"	1.0227297	.08382006	.99700131	1.049122	""	164	"+ household size"
"tested"	"model3"	"All Other"	1.001494	.85258944	.98584676	1.0173897	""	165	"+ household size"
"positivetest"	"crude"	"British or Mixed British"	1		1	1	""	166	"Crude"
"positivetest"	"crude"	"Irish"	1.1709015	.00200921	1.0593573	1.2941907	""	167	"Crude"
"positivetest"	"crude"	"Other White"	.83043637	1.745e-33	.8057324	.85589777	""	168	"Crude"
"positivetest"	"crude"	"Indian"	2.1177356	0	2.0489044	2.1888792	""	169	"Crude"
"positivetest"	"crude"	"Pakistani"	2.4218714	0	2.3346754	2.512324	""	170	"Crude"
"positivetest"	"crude"	"Bangladeshi"	1.1111083	.05776715	.99653547	1.2388538	""	171	"Crude"
"positivetest"	"crude"	"Caribbean"	1.6105661	4.081e-29	1.4816912	1.7506503	""	172	"Crude"
"positivetest"	"crude"	"African"	1.6934151	1.408e-81	1.6044494	1.7873138	""	173	"Crude"
"positivetest"	"crude"	"Chinese"	.32945421	6.771e-41	.28004035	.38758726	""	174	"Crude"
"positivetest"	"crude"	"All mixed"	1.1529967	.00004817	1.0764962	1.2349336	""	175	"Crude"
"positivetest"	"crude"	"All Other"	1.5017943	4.31e-109	1.4488084	1.556718	""	176	"Crude"
"positivetest"	"model0"	"British or Mixed British"	1		1	1	""	177	"Age-sex"
"positivetest"	"model0"	"Irish"	1.1983965	.00041002	1.0839342	1.3249458	""	178	"Age-sex"
"positivetest"	"model0"	"Other White"	1.075066	5.984e-06	1.0418979	1.1092899	""	179	"Age-sex"
"positivetest"	"model0"	"Indian"	2.4181626	0	2.3332143	2.5062037	""	180	"Age-sex"
"positivetest"	"model0"	"Pakistani"	2.7262629	0	2.6229479	2.8336474	""	181	"Age-sex"
"positivetest"	"model0"	"Bangladeshi"	1.4023039	1.456e-09	1.2567943	1.5646604	""	182	"Age-sex"
"positivetest"	"model0"	"Caribbean"	1.7659138	7.370e-40	1.623063	1.9213374	""	183	"Age-sex"
"positivetest"	"model0"	"African"	2.2915009	3.86e-191	2.1686318	2.4213315	""	184	"Age-sex"
"positivetest"	"model0"	"Chinese"	.46328537	2.046e-20	.39366033	.5452247	""	185	"Age-sex"
"positivetest"	"model0"	"All mixed"	1.596816	5.712e-40	1.4898715	1.7114371	""	186	"Age-sex"
"positivetest"	"model0"	"All Other"	2.052555	7.69e-308	1.9768539	2.1311549	""	187	"Age-sex"
"positivetest"	"model1"	"British or Mixed British"	1		1	1	""	188	"Age-sex-IMD"
"positivetest"	"model1"	"Irish"	1.1699549	.00224542	1.0578997	1.2938792	""	189	"Age-sex-IMD"
"positivetest"	"model1"	"Other White"	1.0243469	.13586428	.99247026	1.0572474	""	190	"Age-sex-IMD"
"positivetest"	"model1"	"Indian"	2.2895914	0	2.2081585	2.3740273	""	191	"Age-sex-IMD"
"positivetest"	"model1"	"Pakistani"	2.4420579	0	2.3477937	2.5401069	""	192	"Age-sex-IMD"
"positivetest"	"model1"	"Bangladeshi"	1.251358	.00006419	1.1210575	1.3968032	""	193	"Age-sex-IMD"
"positivetest"	"model1"	"Caribbean"	1.60238	1.271e-27	1.4720277	1.7442754	""	194	"Age-sex-IMD"
"positivetest"	"model1"	"African"	2.0700748	3.23e-144	1.95779	2.1887994	""	195	"Age-sex-IMD"
"positivetest"	"model1"	"Chinese"	.46447893	3.667e-20	.39445421	.54693466	""	196	"Age-sex-IMD"
"positivetest"	"model1"	"All mixed"	1.513992	2.472e-31	1.4118987	1.6234676	""	197	"Age-sex-IMD"
"positivetest"	"model1"	"All Other"	1.9215883	5.17e-249	1.8499693	1.9959799	""	198	"Age-sex-IMD"
"positivetest"	"model2"	"British or Mixed British"	1		1	1	""	199	"+ co-morbidities"
"positivetest"	"model2"	"Irish"	1.1758535	.00545839	1.0488868	1.3181893	""	200	"+ co-morbidities"
"positivetest"	"model2"	"Other White"	1.1550735	1.594e-13	1.1116801	1.2001608	""	201	"+ co-morbidities"
"positivetest"	"model2"	"Indian"	2.0762327	4.90e-234	1.9871876	2.1692678	""	202	"+ co-morbidities"
"positivetest"	"model2"	"Pakistani"	2.0504088	6.65e-205	1.9580805	2.1470905	""	203	"+ co-morbidities"
"positivetest"	"model2"	"Bangladeshi"	1.0894039	.18948527	.95860058	1.2380558	""	204	"+ co-morbidities"
"positivetest"	"model2"	"Caribbean"	1.4786845	4.134e-16	1.3456907	1.6248219	""	205	"+ co-morbidities"
"positivetest"	"model2"	"African"	2.0637871	2.15e-101	1.931149	2.2055352	""	206	"+ co-morbidities"
"positivetest"	"model2"	"Chinese"	.79463776	.02411923	.65074155	.97035323	""	207	"+ co-morbidities"
"positivetest"	"model2"	"All mixed"	1.5871421	8.179e-28	1.4609835	1.7241948	""	208	"+ co-morbidities"
"positivetest"	"model2"	"All Other"	1.9769032	1.19e-186	1.8883217	2.0696401	""	209	"+ co-morbidities"
"positivetest"	"model3"	"British or Mixed British"	1		1	1	""	210	"+ household size"
"positivetest"	"model3"	"Irish"	1.1759152	.00544576	1.0489355	1.3182666	""	211	"+ household size"
"positivetest"	"model3"	"Other White"	1.1366926	5.599e-11	1.0939645	1.1810895	""	212	"+ household size"
"positivetest"	"model3"	"Indian"	1.8809349	4.79e-172	1.7994568	1.9661022	""	213	"+ household size"
"positivetest"	"model3"	"Pakistani"	1.7521196	1.44e-120	1.6715439	1.8365794	""	214	"+ household size"
"positivetest"	"model3"	"Bangladeshi"	.93738999	.32321093	.82453669	1.0656894	""	215	"+ household size"
"positivetest"	"model3"	"Caribbean"	1.4837614	2.334e-16	1.3502756	1.6304434	""	216	"+ household size"
"positivetest"	"model3"	"African"	1.9748967	3.719e-89	1.8476082	2.1109545	""	217	"+ household size"
"positivetest"	"model3"	"Chinese"	.76733034	.00936911	.62837817	.93700875	""	218	"+ household size"
"positivetest"	"model3"	"All mixed"	1.560732	6.191e-26	1.4366423	1.69554	""	219	"+ household size"
"positivetest"	"model3"	"All Other"	1.8622339	5.73e-154	1.7783269	1.9500998	""	220	"+ household size"
"ae"	"crude"	"British or Mixed British"	1		1	1	""	221	"Crude"
"ae"	"crude"	"Irish"	.98654452	.49031959	.94929272	1.0252581	""	222	"Crude"
"ae"	"crude"	"Other White"	.67878372	0	.67090423	.68675575	""	223	"Crude"
"ae"	"crude"	"Indian"	.65958668	0	.64637652	.67306681	""	224	"Crude"
"ae"	"crude"	"Pakistani"	.88135899	4.026e-32	.8630596	.90004638	""	225	"Crude"
"ae"	"crude"	"Bangladeshi"	.75221341	5.554e-33	.71792868	.78813541	""	226	"Crude"
"ae"	"crude"	"Caribbean"	.92447632	.00007082	.8893518	.96098807	""	227	"Crude"
"ae"	"crude"	"African"	.79711475	1.060e-58	.7754835	.81934939	""	228	"Crude"
"ae"	"crude"	"Chinese"	.24416938	0	.22848599	.26092928	""	229	"Crude"
"ae"	"crude"	"All mixed"	.82723218	9.359e-39	.80394793	.85119079	""	230	"Crude"
"ae"	"crude"	"All Other"	.71685124	2.70e-288	.70407692	.72985733	""	231	"Crude"
"ae"	"model0"	"British or Mixed British"	1		1	1	""	232	"Age-sex"
"ae"	"model0"	"Irish"	1.0325718	.10375301	.99346017	1.0732232	""	233	"Age-sex"
"ae"	"model0"	"Other White"	.75842967	0	.74930417	.76766631	""	234	"Age-sex"
"ae"	"model0"	"Indian"	.80407091	3.092e-92	.78737551	.8211203	""	235	"Age-sex"
"ae"	"model0"	"Pakistani"	.99225159	.47955859	.97108411	1.0138805	""	236	"Age-sex"
"ae"	"model0"	"Bangladeshi"	.91857228	.00038566	.87648896	.96267616	""	237	"Age-sex"
"ae"	"model0"	"Caribbean"	1.0994206	1.962e-06	1.057316	1.1432019	""	238	"Age-sex"
"ae"	"model0"	"African"	.96272535	.00746559	.93630246	.98989391	""	239	"Age-sex"
"ae"	"model0"	"Chinese"	.27106094	0	.25361573	.28970614	""	240	"Age-sex"
"ae"	"model0"	"All mixed"	.94391339	.00008447	.91713796	.97147052	""	241	"Age-sex"
"ae"	"model0"	"All Other"	.86037627	5.275e-57	.84458507	.87646273	""	242	"Age-sex"
"ae"	"model1"	"British or Mixed British"	1		1	1	""	243	"Age-sex-IMD"
"ae"	"model1"	"Irish"	1.0002787	.98878393	.9621653	1.0399018	""	244	"Age-sex-IMD"
"ae"	"model1"	"Other White"	.71514049	0	.7064681	.72391934	""	245	"Age-sex-IMD"
"ae"	"model1"	"Indian"	.75888916	6.58e-144	.74299206	.7751264	""	246	"Age-sex-IMD"
"ae"	"model1"	"Pakistani"	.86127428	3.633e-41	.84271657	.88024065	""	247	"Age-sex-IMD"
"ae"	"model1"	"Bangladeshi"	.80206538	3.590e-20	.76524763	.8406545	""	248	"Age-sex-IMD"
"ae"	"model1"	"Caribbean"	.97497537	.20577514	.93744165	1.0140119	""	249	"Age-sex-IMD"
"ae"	"model1"	"African"	.84652113	3.181e-31	.82306589	.87064479	""	250	"Age-sex-IMD"
"ae"	"model1"	"Chinese"	.2698121	0	.25228279	.28855941	""	251	"Age-sex-IMD"
"ae"	"model1"	"All mixed"	.88533758	1.772e-16	.8600486	.91137016	""	252	"Age-sex-IMD"
"ae"	"model1"	"All Other"	.79528611	7.20e-128	.78058209	.81026712	""	253	"Age-sex-IMD"
"ae"	"model2"	"British or Mixed British"	1		1	1	""	254	"+ co-morbidities"
"ae"	"model2"	"Irish"	1.0561868	.01492769	1.0107056	1.1037147	""	255	"+ co-morbidities"
"ae"	"model2"	"Other White"	.89017261	9.773e-54	.87711728	.90342225	""	256	"+ co-morbidities"
"ae"	"model2"	"Indian"	.89753021	1.619e-17	.87548002	.92013577	""	257	"+ co-morbidities"
"ae"	"model2"	"Pakistani"	.88881616	9.088e-20	.86653523	.91166998	""	258	"+ co-morbidities"
"ae"	"model2"	"Bangladeshi"	.83769569	4.439e-10	.79235398	.88563202	""	259	"+ co-morbidities"
"ae"	"model2"	"Caribbean"	.99331919	.77486053	.94872446	1.0400101	""	260	"+ co-morbidities"
"ae"	"model2"	"African"	1.0400866	.02460135	1.0050427	1.0763525	""	261	"+ co-morbidities"
"ae"	"model2"	"Chinese"	.56727371	1.113e-39	.52141747	.61716279	""	262	"+ co-morbidities"
"ae"	"model2"	"All mixed"	.98868042	.531267	.95406553	1.0245512	""	263	"+ co-morbidities"
"ae"	"model2"	"All Other"	.97691574	.04306106	.95506039	.99927122	""	264	"+ co-morbidities"
"ae"	"model3"	"British or Mixed British"	1		1	1	""	265	"+ household size"
"ae"	"model3"	"Irish"	1.055709	.01578	1.0102481	1.1032157	""	266	"+ household size"
"ae"	"model3"	"Other White"	.88692225	5.969e-57	.87390255	.90013592	""	267	"+ household size"
"ae"	"model3"	"Indian"	.88617912	2.632e-21	.86430619	.90860559	""	268	"+ household size"
"ae"	"model3"	"Pakistani"	.86494831	2.594e-28	.84294384	.8875272	""	269	"+ household size"
