outcome	model	eth16	estimate	p	min95	max95	idstr4	num	adjusted
"suspected"	"crude"	"British or Mixed British"	1		1	1	""	1	"Crude"
"suspected"	"crude"	"Irish"	1.0389459	.03045273	1.0036113	1.0755246	""	2	"Crude"
"suspected"	"crude"	"Other White"	.62652816	0	.61958433	.63354982	""	3	"Crude"
"suspected"	"crude"	"Indian"	1.0032237	.67935751	.9880294	1.0186516	""	4	"Crude"
"suspected"	"crude"	"Pakistani"	.81535797	1.181e-88	.79917897	.8318645	""	5	"Crude"
"suspected"	"crude"	"Bangladeshi"	.88315139	8.485e-10	.84878263	.91891181	""	6	"Crude"
"suspected"	"crude"	"Caribbean"	1.0842004	1.611e-06	1.0489728	1.120611	""	7	"Crude"
"suspected"	"crude"	"African"	.85330518	7.448e-37	.83263893	.87448437	""	8	"Crude"
"suspected"	"crude"	"Chinese"	.27947646	0	.263966	.2958983	""	9	"Crude"
"suspected"	"crude"	"All mixed"	.82826586	6.645e-45	.80679463	.85030851	""	10	"Crude"
"suspected"	"crude"	"All Other"	.76839608	6.56e-228	.75618405	.78080533	""	11	"Crude"
"suspected"	"model0"	"British or Mixed British"	1		1	1	""	12	"Age-sex"
"suspected"	"model0"	"Irish"	.99116124	.61626886	.95733698	1.0261806	""	13	"Age-sex"
"suspected"	"model0"	"Other White"	.73461422	0	.72617943	.74314697	""	14	"Age-sex"
"suspected"	"model0"	"Indian"	1.186653	3.542e-97	1.1677782	1.2058329	""	15	"Age-sex"
"suspected"	"model0"	"Pakistani"	.87284753	1.357e-38	.85512275	.89093971	""	16	"Age-sex"
"suspected"	"model0"	"Bangladeshi"	1.0905895	.00002076	1.0479004	1.1350177	""	17	"Age-sex"
"suspected"	"model0"	"Caribbean"	1.1394308	1.694e-14	1.1020614	1.1780674	""	18	"Age-sex"
"suspected"	"model0"	"African"	1.0363758	.0048093	1.0109522	1.0624387	""	19	"Age-sex"
"suspected"	"model0"	"Chinese"	.3467054	3.70e-288	.3274205	.36712617	""	20	"Age-sex"
"suspected"	"model0"	"All mixed"	1.0010432	.93848884	.97488269	1.0279056	""	21	"Age-sex"
"suspected"	"model0"	"All Other"	.92985198	8.196e-18	.91456078	.94539884	""	22	"Age-sex"
"suspected"	"model1"	"British or Mixed British"	1		1	1	""	23	"Age-sex-IMD"
"suspected"	"model1"	"Irish"	.97037603	.0907922	.93714101	1.0047897	""	24	"Age-sex-IMD"
"suspected"	"model1"	"Other White"	.70437399	0	.69622229	.71262113	""	25	"Age-sex-IMD"
"suspected"	"model1"	"Indian"	1.1328736	1.469e-51	1.114684	1.1513601	""	26	"Age-sex-IMD"
"suspected"	"model1"	"Pakistani"	.78320502	6.50e-118	.76712372	.79962343	""	27	"Age-sex-IMD"
"suspected"	"model1"	"Bangladeshi"	.98058702	.33867172	.9419888	1.0207668	""	28	"Age-sex-IMD"
"suspected"	"model1"	"Caribbean"	1.0411173	.01864123	1.006748	1.0766599	""	29	"Age-sex-IMD"
"suspected"	"model1"	"African"	.94233372	3.547e-06	.91896716	.96629443	""	30	"Age-sex-IMD"
"suspected"	"model1"	"Chinese"	.34604083	1.28e-284	.32664205	.36659167	""	31	"Age-sex-IMD"
"suspected"	"model1"	"All mixed"	.95319099	.00043156	.92808363	.97897757	""	32	"Age-sex-IMD"
