parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"
"2.eth5"	"Eth 5 categories"	1.2565527	.02624359	10.934535	7.881e-28	1.2061547	1.3090564	"crude"	"hes"
"3.eth5"	"Eth 5 categories"	1.3886092	.04464909	10.21038	1.782e-24	1.3037991	1.4789362	"crude"	"hes"
"4.eth5"	"Eth 5 categories"	.86196287	.05008614	-2.556368	.01057712	.76917954	.96593832	"crude"	"hes"
"5.eth5"	"Eth 5 categories"	.77400572	.03514524	-5.6417803	1.683e-08	.70809856	.84604728	"crude"	"hes"
"6.eth5"	"Eth 5 categories"	.9087237	.01246157	-6.9796793	2.959e-12	.88462478	.93347912	"crude"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"hes"
"2.eth5"	"Eth 5 categories"	2.0427901	.04378216	33.328618	1.49e-243	1.958756	2.1304294	"model0"	"hes"
"3.eth5"	"Eth 5 categories"	2.1820914	.07111708	23.941513	1.13e-126	2.047063	2.3260265	"model0"	"hes"
"4.eth5"	"Eth 5 categories"	1.7777042	.10378945	9.8541204	6.579e-23	1.585488	1.9932237	"model0"	"hes"
"5.eth5"	"Eth 5 categories"	1.5180957	.06951778	9.116217	7.779e-20	1.3877789	1.6606496	"model0"	"hes"
"6.eth5"	"Eth 5 categories"	.96419237	.01332837	-2.6378885	.0083424	.93841996	.99067259	"model0"	"hes"
"0b.male"	"Male"	1	0			1	1	"model0"	"hes"
"1.male"	"Male"	1.4497353	.01628739	33.056502	1.25e-239	1.4181615	1.4820121	"model0"	"hes"
"age1"	"Age spline 1"	1.0763172	.00341318	23.191877	5.50e-119	1.0696483	1.0830278	"model0"	"hes"
"age2"	"Age spline 2"	.92806111	.00770296	-8.9948443	2.366e-19	.91308573	.9432821	"model0"	"hes"
"age3"	"Age spline 3"	1.264332	.02595166	11.426683	3.076e-30	1.2144773	1.3162333	"model0"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"hes"
"2.eth5"	"Eth 5 categories"	1.8340889	.03955557	28.124044	4.98e-174	1.7581771	1.9132783	"model1"	"hes"
"3.eth5"	"Eth 5 categories"	1.8854582	.06181329	19.34378	2.300e-83	1.7681167	2.0105871	"model1"	"hes"
"4.eth5"	"Eth 5 categories"	1.6443902	.09605279	8.5147935	1.669e-17	1.466507	1.8438501	"model1"	"hes"
"5.eth5"	"Eth 5 categories"	1.4339515	.06568242	7.8688445	3.579e-15	1.3108259	1.5686422	"model1"	"hes"
"6.eth5"	"Eth 5 categories"	.96774974	.01338184	-2.370715	.01775371	.94187403	.99433632	"model1"	"hes"
"0b.male"	"Male"	1	0			1	1	"model1"	"hes"
"1.male"	"Male"	1.4523994	.0163251	33.204082	9.40e-242	1.4207526	1.484751	"model1"	"hes"
"age1"	"Age spline 1"	1.0771001	.00342358	23.366994	9.26e-121	1.0704109	1.0838311	"model1"	"hes"
"age2"	"Age spline 2"	.93061354	.00774028	-8.6458827	5.339e-18	.91556586	.94590853	"model1"	"hes"
"age3"	"Age spline 3"	1.2529263	.02576401	10.965378	5.607e-28	1.2034338	1.3044542	"model1"	"hes"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"hes"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1344946	.02161932	6.6217969	3.549e-11	1.092903	1.1776689	"model1"	"hes"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3310488	.0251052	15.16165	6.345e-52	1.2827419	1.3811749	"model1"	"hes"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.5812385	.02935926	24.678304	1.83e-134	1.5247298	1.6398414	"model1"	"hes"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9072349	.03555829	34.630874	8.67e-263	1.8387999	1.9782169	"model1"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"hes"
"2.eth5"	"Eth 5 categories"	1.5870254	.03521614	20.813917	3.238e-96	1.5194824	1.6575707	"model2"	"hes"
"3.eth5"	"Eth 5 categories"	1.8143259	.06007418	17.991411	2.275e-72	1.7003219	1.9359737	"model2"	"hes"
"4.eth5"	"Eth 5 categories"	1.6537448	.09669526	8.6033537	7.742e-18	1.4746818	1.8545505	"model2"	"hes"
"5.eth5"	"Eth 5 categories"	1.5860727	.0729303	10.031407	1.109e-23	1.4493839	1.7356525	"model2"	"hes"
"6.eth5"	"Eth 5 categories"	1.0599675	.01491373	4.1391818	.00003485	1.0311365	1.0896046	"model2"	"hes"
"0b.male"	"Male"	1	0			1	1	"model2"	"hes"
"1.male"	"Male"	1.4148489	.01654957	29.667528	2.02e-193	1.3827814	1.4476602	"model2"	"hes"
"age1"	"Age spline 1"	1.0836707	.00350466	24.846171	2.84e-136	1.0768234	1.0905616	"model2"	"hes"
"age2"	"Age spline 2"	.86253163	.00731701	-17.432541	4.672e-68	.84830911	.8769926	"model2"	"hes"
