Table 2: Association between ethnicity in 16 categories and COVID-19 outcomes - No care homes
	Denominator	Event	Total person-weeks	Rate per 1,000	Crude		Age/Sex Adjusted		Age/Sex/IMD Adjusted		plus co-morbidities		plus hh siz		
					HR	95% CI	HR	95% CI	HR	95% CI	HR	95% CI	HR	95% CI		
hes
British	9683276	18627	 253579301	0.07	1.00		1.00		1.00		1.00		1.00
Irish	79945	257	   2090362	0.12	1.47	(1.30 - 1.67)	1.23	(1.09 - 1.40)	1.16	(1.03 - 1.31)	1.14	(1.01 - 1.29)	1.14	(1.00 - 1.29)
Other White	1347091	1620	  35346194	0.05	0.58	(0.55 - 0.61)	1.01	(0.96 - 1.06)	0.96	(0.91 - 1.01)	1.06	(1.00 - 1.11)	1.04	(0.99 - 1.10)
White + Caribbean	39631	79	   4511889	0.02	0.87	(0.70 - 1.08)	1.68	(1.35 - 2.09)	1.49	(1.20 - 1.87)	1.43	(1.15 - 1.79)	1.43	(1.14 - 1.78)
White + African	33438	65	   4511889	0.01	0.90	(0.70 - 1.14)	2.03	(1.59 - 2.59)	1.81	(1.42 - 2.32)	1.92	(1.50 - 2.45)	1.86	(1.46 - 2.38)
White + Asian	34629	63	   4511889	0.01	0.87	(0.68 - 1.11)	2.03	(1.59 - 2.61)	1.96	(1.53 - 2.51)	2.02	(1.58 - 2.59)	1.98	(1.55 - 2.54)
Other mixed	64235	95	   4511889	0.02	0.68	(0.56 - 0.84)	1.61	(1.32 - 1.97)	1.51	(1.23 - 1.85)	1.58	(1.29 - 1.94)	1.55	(1.27 - 1.90)
Indian	432760	1179	  11345167	0.10	1.14	(1.08 - 1.22)	1.75	(1.65 - 1.86)	1.62	(1.52 - 1.73)	1.48	(1.39 - 1.58)	1.41	(1.32 - 1.50)
Pakistani	300528	924	   7879394	0.12	1.29	(1.21 - 1.38)	2.47	(2.31 - 2.64)	2.07	(1.93 - 2.22)	1.65	(1.54 - 1.76)	1.48	(1.38 - 1.59)
Bangladeshi	70395	153	   1846720	0.08	0.89	(0.76 - 1.04)	1.97	(1.68 - 2.31)	1.63	(1.39 - 1.92)	1.34	(1.14 - 1.57)	1.21	(1.03 - 1.42)
Other Asian	222868	580	   5845323	0.10	1.17	(1.07 - 1.27)	2.23	(2.05 - 2.43)	2.05	(1.88 - 2.23)	1.95	(1.79 - 2.12)	1.85	(1.70 - 2.02)
Caribbean	83042	393	   2171166	0.18	1.92	(1.74 - 2.13)	1.96	(1.77 - 2.17)	1.68	(1.52 - 1.86)	1.58	(1.43 - 1.75)	1.58	(1.43 - 1.75)
African	190395	499	   4994136	0.10	1.12	(1.02 - 1.23)	2.51	(2.29 - 2.75)	2.15	(1.96 - 2.35)	2.19	(2.00 - 2.40)	2.10	(1.91 - 2.30)
Other Black	69124	159	   1812825	0.09	0.98	(0.84 - 1.15)	1.98	(1.69 - 2.31)	1.72	(1.47 - 2.01)	1.67	(1.43 - 1.96)	1.63	(1.39 - 1.90)
Chinese	104560	70	   2746276	0.03	0.31	(0.25 - 0.39)	0.76	(0.60 - 0.96)	0.75	(0.60 - 0.95)	1.00	(0.79 - 1.26)	0.97	(0.77 - 1.23)
Other	218969	434	   5745151	0.08	0.91	(0.83 - 1.01)	1.82	(1.65 - 2.00)	1.67	(1.52 - 1.85)	1.79	(1.62 - 1.97)	1.74	(1.58 - 1.91)
Unknown	4408386	7276	 115450414	0.06	0.86	(0.84 - 0.89)	0.97	(0.94 - 0.99)	0.97	(0.94 - 0.99)	1.07	(1.04 - 1.10)	1.07	(1.04 - 1.10)
onsdeath
British	9683276	55471	 253773477	0.22	1.00		1.00		1.00		1.00		1.00
Irish	79945	601	   2093066	0.29	1.38	(1.28 - 1.50)	1.12	(1.03 - 1.21)	1.06	(0.98 - 1.15)	1.00	(0.92 - 1.08)	1.00	(0.92 - 1.08)
Other White	1347091	3256	  35364617	0.09	0.44	(0.43 - 0.46)	0.95	(0.91 - 0.98)	0.91	(0.88 - 0.95)	0.96	(0.92 - 0.99)	0.95	(0.91 - 0.98)
