parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"hes"
"2.ethnicity_16"	"Eth 16 categories"	1.4744964	.09298203	6.1578706	7.373e-10	1.3030671	1.6684786	"crude"	"hes"
"3.ethnicity_16"	"Eth 16 categories"	.58073537	.01532368	-20.595997	2.981e-94	.55146492	.61155943	"crude"	"hes"
"4.ethnicity_16"	"Eth 16 categories"	.86952938	.09813923	-1.2386784	.21546461	.69696921	1.0848131	"crude"	"hes"
"5.ethnicity_16"	"Eth 16 categories"	.89668823	.11147913	-.87712563	.3804184	.70277675	1.1441041	"crude"	"hes"
"6.ethnicity_16"	"Eth 16 categories"	.8704783	.10991966	-1.0984947	.27198851	.67962987	1.1149193	"crude"	"hes"
"7.ethnicity_16"	"Eth 16 categories"	.68476275	.07056207	-3.6748909	.00023795	.55953493	.83801743	"crude"	"hes"
"8.ethnicity_16"	"Eth 16 categories"	1.1438813	.03572305	4.3044658	.00001674	1.0759651	1.2160843	"crude"	"hes"
"9.ethnicity_16"	"Eth 16 categories"	1.2910913	.04443255	7.4237957	1.138e-13	1.2068773	1.3811817	"crude"	"hes"
"10.ethnicity_16"	"Eth 16 categories"	.88928033	.07247382	-1.4398387	.14991305	.75799821	1.0433	"crude"	"hes"
"11.ethnicity_16"	"Eth 16 categories"	1.1659435	.05001256	3.5792615	.00034457	1.0719281	1.2682047	"crude"	"hes"
"12.ethnicity_16"	"Eth 16 categories"	1.9230594	.09936223	12.655935	1.037e-36	1.7378493	2.1280081	"crude"	"hes"
"13.ethnicity_16"	"Eth 16 categories"	1.1205491	.05127912	2.4871641	.0128766	1.0244194	1.2256994	"crude"	"hes"
"14.ethnicity_16"	"Eth 16 categories"	.97947854	.07827507	-.25946238	.7952785	.83747358	1.1455624	"crude"	"hes"
"15.ethnicity_16"	"Eth 16 categories"	.31139441	.03733051	-9.7320483	2.201e-22	.24618823	.3938713	"crude"	"hes"
"16.ethnicity_16"	"Eth 16 categories"	.91296326	.0447815	-1.8564385	.06339108	.82928011	1.0050909	"crude"	"hes"
"17.ethnicity_16"	"Eth 16 categories"	.86359014	.01200516	-10.549755	5.093e-26	.84037811	.88744331	"crude"	"hes"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"hes"
"2.ethnicity_16"	"Eth 16 categories"	1.2329788	.07780803	3.3187644	.00090417	1.0895318	1.395312	"model0"	"hes"
"3.ethnicity_16"	"Eth 16 categories"	1.0101175	.02688512	.37822199	.70526569	.95877449	1.06421	"model0"	"hes"
"4.ethnicity_16"	"Eth 16 categories"	1.6788684	.1896387	4.586908	4.499e-06	1.3454517	2.0949092	"model0"	"hes"
"5.ethnicity_16"	"Eth 16 categories"	2.0306136	.25278352	5.6900896	1.270e-08	1.5909788	2.5917327	"model0"	"hes"
"6.ethnicity_16"	"Eth 16 categories"	2.0344103	.25720442	5.617518	1.937e-08	1.587902	2.6064742	"model0"	"hes"
"7.ethnicity_16"	"Eth 16 categories"	1.6117203	.16642244	4.6224385	3.793e-06	1.3164265	1.9732528	"model0"	"hes"
"8.ethnicity_16"	"Eth 16 categories"	1.7527589	.05534606	17.772404	1.156e-70	1.6475711	1.8646622	"model0"	"hes"
"9.ethnicity_16"	"Eth 16 categories"	2.4710293	.0856773	26.090681	4.65e-150	2.3086836	2.644791	"model0"	"hes"
"10.ethnicity_16"	"Eth 16 categories"	1.972306	.16113583	8.3134643	9.295e-17	1.6804741	2.3148177	"model0"	"hes"
"11.ethnicity_16"	"Eth 16 categories"	2.2279586	.09671438	18.454194	4.825e-76	2.0462418	2.4258128	"model0"	"hes"
"12.ethnicity_16"	"Eth 16 categories"	1.9591183	.10144013	12.98792	1.433e-38	1.770055	2.1683759	"model0"	"hes"
"13.ethnicity_16"	"Eth 16 categories"	2.51139	.11639842	19.867789	7.734e-88	2.2933086	2.7502098	"model0"	"hes"
"14.ethnicity_16"	"Eth 16 categories"	1.9755579	.1582173	8.5013469	1.874e-17	1.6885706	2.3113211	"model0"	"hes"
"15.ethnicity_16"	"Eth 16 categories"	.76228797	.09145819	-2.2623289	.02367709	.60255009	.96437284	"model0"	"hes"
"16.ethnicity_16"	"Eth 16 categories"	1.8183648	.08995824	12.086372	1.247e-33	1.6503282	2.0035109	"model0"	"hes"
"17.ethnicity_16"	"Eth 16 categories"	.96740089	.01355177	-2.365881	.01798723	.94120122	.99432987	"model0"	"hes"
"0b.male"	"Male"	1	0			1	1	"model0"	"hes"
"1.male"	"Male"	1.449269	.01628325	33.025634	3.48e-239	1.4177033	1.4815376	"model0"	"hes"
"age1"	"Age spline 1"	1.0756109	.00340899	22.998025	4.88e-117	1.0689501	1.0823132	"model0"	"hes"
"age2"	"Age spline 2"	.93038027	.00772747	-8.6882267	3.681e-18	.91535732	.94564977	"model0"	"hes"
"age3"	"Age spline 3"	1.2561965	.02581179	11.100509	1.247e-28	1.2066115	1.3078192	"model0"	"hes"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model1"	"hes"
"2.ethnicity_16"	"Eth 16 categories"	1.1612963	.07332129	2.3684339	.01786357	1.0261252	1.3142735	"model1"	"hes"
"3.ethnicity_16"	"Eth 16 categories"	.96023437	.02557271	-1.5236665	.12759205	.91139841	1.0116871	"model1"	"hes"
"4.ethnicity_16"	"Eth 16 categories"	1.4945957	.16887961	3.5564497	.0003759	1.1976874	1.865108	"model1"	"hes"
"5.ethnicity_16"	"Eth 16 categories"	1.8145294	.2259515	4.7848501	1.711e-06	1.4215739	2.3161068	"model1"	"hes"
"6.ethnicity_16"	"Eth 16 categories"	1.9596971	.24777477	5.3212213	1.031e-07	1.5295619	2.5107925	"model1"	"hes"
"7.ethnicity_16"	"Eth 16 categories"	1.5076963	.15569951	3.9758263	.00007014	1.231432	1.8459388	"model1"	"hes"
"8.ethnicity_16"	"Eth 16 categories"	1.6215112	.05144474	15.23521	2.065e-52	1.5237524	1.725542	"model1"	"hes"
"9.ethnicity_16"	"Eth 16 categories"	2.0691376	.07239948	20.781032	6.426e-96	1.9319936	2.2160168	"model1"	"hes"
"10.ethnicity_16"	"Eth 16 categories"	1.6326863	.13363216	5.9894745	2.105e-09	1.3907004	1.9167785	"model1"	"hes"
"11.ethnicity_16"	"Eth 16 categories"	2.0461683	.0889028	16.478591	5.229e-61	1.879135	2.228049	"model1"	"hes"
"12.ethnicity_16"	"Eth 16 categories"	1.6823331	.08732082	10.02188	1.222e-23	1.5196051	1.8624871	"model1"	"hes"
"13.ethnicity_16"	"Eth 16 categories"	2.1482341	.09994285	16.435782	1.060e-60	1.9610151	2.353327	"model1"	"hes"
"14.ethnicity_16"	"Eth 16 categories"	1.7201508	.13789714	6.7661331	1.323e-11	1.4700406	2.0128143	"model1"	"hes"
"15.ethnicity_16"	"Eth 16 categories"	.75354983	.0904062	-2.3585168	.01834813	.59564861	.95330929	"model1"	"hes"
