char	general_pop	confirmed0	confirmed1	tested0	tested1	tested_pop	positive0	positive1	infected_pop	ae0	ae1	icu0	icu1	onscoviddeath0	onscoviddeath1	ons_noncoviddeath0	ons_noncoviddeath1	icu_pop	ventilated0	ventilated1
"4"	"172,188 (1.1)"	"171,553 (1.1)"	"635 (1.1)"	"160,742 (1.1)"	"11,446 (1.0)"	"11,446 (1.0)"	"10,582 (1.0)"	"864 (1.2)"	"1,076 (1.2)"	"719 (1.2)"	"357 (1.0)"	"1,022 (1.1)"	"54 (2.0)"	"1,020 (1.3)"	"56 (0.5)"	"1,072 (1.2)"	"4 (0.3)"	"55 (1.9)"	"23 (1.9)"	"32 (1.9)"
"5"	"324,505 (2.0)"	"323,568 (2.0)"	"937 (1.6)"	"309,311 (2.0)"	"15,194 (1.4)"	"15,194 (1.4)"	"13,939 (1.3)"	"1,255 (1.7)"	"1,578 (1.7)"	"1,025 (1.8)"	"553 (1.6)"	"1,489 (1.7)"	"89 (3.2)"	"1,481 (1.8)"	"97 (0.9)"	"1,567 (1.7)"	"11 (0.7)"	"90 (3.1)"	"29 (2.4)"	"61 (3.7)"
"6"	"3416823 (21.0)"	"3406528 (21.0)"	"10,295 (17.9)"	"3206767 (21.1)"	"210,056 (18.7)"	"210,056 (18.7)"	"196,817 (18.7)"	"13,239 (18.0)"	"16,851 (18.3)"	"10,571 (18.2)"	"6,280 (18.3)"	"16,380 (18.3)"	"471 (17.2)"	"14,639 (18.0)"	"2,212 (20.2)"	"16,540 (18.2)"	"311 (20.7)"	"491 (17.2)"	"203 (16.8)"	"288 (17.4)"
"Eth 16 collapsed"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"9588581 (58.8)"	"9557051 (58.8)"	"31,530 (54.8)"	"8881225 (58.5)"	"707,356 (62.9)"	"707,356 (62.9)"	"666,534 (63.4)"	"40,822 (55.4)"	"51,449 (55.8)"	"30,653 (52.8)"	"20,796 (60.7)"	"50,049 (55.9)"	"1,400 (51.0)"	"44,207 (54.4)"	"7,242 (66.1)"	"50,419 (55.5)"	"1,030 (68.7)"	"1,465 (51.2)"	"675 (55.9)"	"790 (47.8)"
"2"	"79,279 (0.5)"	"78,990 (0.5)"	"289 (0.5)"	"73,004 (0.5)"	"6,275 (0.6)"	"6,275 (0.6)"	"5,877 (0.6)"	"398 (0.5)"	"498 (0.5)"	"237 (0.4)"	"261 (0.8)"	"493 (0.6)"	"5 (0.2)"	"403 (0.5)"	"95 (0.9)"	"486 (0.5)"	"12 (0.8)"	"5 (0.2)"	"3 (0.2)"	"2 (0.1)"
"3"	"1350734 (8.3)"	"1346987 (8.3)"	"3,747 (6.5)"	"1279377 (8.4)"	"71,357 (6.3)"	"71,357 (6.3)"	"66,460 (6.3)"	"4,897 (6.6)"	"5,944 (6.4)"	"4,120 (7.1)"	"1,824 (5.3)"	"5,777 (6.5)"	"167 (6.1)"	"5,528 (6.8)"	"416 (3.8)"	"5,888 (6.5)"	"56 (3.7)"	"178 (6.2)"	"79 (6.5)"	"99 (6.0)"
"4"	"435,896 (2.7)"	"432,461 (2.7)"	"3,435 (6.0)"	"396,941 (2.6)"	"38,955 (3.5)"	"38,955 (3.5)"	"34,843 (3.3)"	"4,112 (5.6)"	"4,973 (5.4)"	"3,690 (6.4)"	"1,283 (3.7)"	"4,827 (5.4)"	"146 (5.3)"	"4,706 (5.8)"	"267 (2.4)"	"4,952 (5.5)"	"21 (1.4)"	"154 (5.4)"	"46 (3.8)"	"108 (6.5)"
"5"	"302,775 (1.9)"	"299,484 (1.8)"	"3,291 (5.7)"	"281,616 (1.9)"	"21,159 (1.9)"	"21,159 (1.9)"	"17,677 (1.7)"	"3,482 (4.7)"	"4,316 (4.7)"	"3,427 (5.9)"	"889 (2.6)"	"4,208 (4.7)"	"108 (3.9)"	"4,149 (5.1)"	"167 (1.5)"	"4,293 (4.7)"	"23 (1.5)"	"110 (3.8)"	"44 (3.6)"	"66 (4.0)"
"6"	"70,201 (0.4)"	"69,869 (0.4)"	"332 (0.6)"	"66,397 (0.4)"	"3,804 (0.3)"	"3,804 (0.3)"	"3,435 (0.3)"	"369 (0.5)"	"469 (0.5)"	"319 (0.5)"	"150 (0.4)"	"445 (0.5)"	"24 (0.9)"	"429 (0.5)"	"40 (0.4)"	"467 (0.5)"	"2 (0.1)"	"24 (0.8)"	"4 (0.3)"	"20 (1.2)"
"7"	"83,167 (0.5)"	"82,735 (0.5)"	"432 (0.8)"	"77,274 (0.5)"	"5,893 (0.5)"	"5,893 (0.5)"	"5,324 (0.5)"	"569 (0.8)"	"696 (0.8)"	"313 (0.5)"	"383 (1.1)"	"657 (0.7)"	"39 (1.4)"	"572 (0.7)"	"124 (1.1)"	"685 (0.8)"	"11 (0.7)"	"40 (1.4)"	"13 (1.1)"	"27 (1.6)"
"8"	"192,185 (1.2)"	"191,206 (1.2)"	"979 (1.7)"	"178,523 (1.2)"	"13,662 (1.2)"	"13,662 (1.2)"	"12,246 (1.2)"	"1,416 (1.9)"	"1,700 (1.8)"	"1,127 (1.9)"	"573 (1.7)"	"1,591 (1.8)"	"109 (4.0)"	"1,618 (2.0)"	"82 (0.7)"	"1,697 (1.9)"	"3 (0.2)"	"115 (4.0)"	"39 (3.2)"	"76 (4.6)"
"9"	"105,432 (0.6)"	"105,324 (0.6)"	"108 (0.2)"	"102,708 (0.7)"	"2,724 (0.2)"	"2,724 (0.2)"	"2,577 (0.2)"	"147 (0.2)"	"197 (0.2)"	"132 (0.2)"	"65 (0.2)"	"181 (0.2)"	"16 (0.6)"	"177 (0.2)"	"20 (0.2)"	"197 (0.2)"	"0 (0.0)"	"16 (0.6)"	"5 (0.4)"	"11 (0.7)"
"10"	"172,188 (1.1)"	"171,553 (1.1)"	"635 (1.1)"	"160,742 (1.1)"	"11,446 (1.0)"	"11,446 (1.0)"	"10,582 (1.0)"	"864 (1.2)"	"1,076 (1.2)"	"719 (1.2)"	"357 (1.0)"	"1,022 (1.1)"	"54 (2.0)"	"1,020 (1.3)"	"56 (0.5)"	"1,072 (1.2)"	"4 (0.3)"	"55 (1.9)"	"23 (1.9)"	"32 (1.9)"
"11"	"511,984 (3.1)"	"509,522 (3.1)"	"2,462 (4.3)"	"479,227 (3.2)"	"32,757 (2.9)"	"32,757 (2.9)"	"29,428 (2.8)"	"3,329 (4.5)"	"4,099 (4.4)"	"2,721 (4.7)"	"1,378 (4.0)"	"3,895 (4.4)"	"204 (7.4)"	"3,861 (4.7)"	"238 (2.2)"	"4,073 (4.5)"	"26 (1.7)"	"206 (7.2)"	"74 (6.1)"	"132 (8.0)"
"12"	"3416823 (21.0)"	"3406528 (21.0)"	"10,295 (17.9)"	"3206767 (21.1)"	"210,056 (18.7)"	"210,056 (18.7)"	"196,817 (18.7)"	"13,239 (18.0)"	"16,851 (18.3)"	"10,571 (18.2)"	"6,280 (18.3)"	"16,380 (18.3)"	"471 (17.2)"	"14,639 (18.0)"	"2,212 (20.2)"	"16,540 (18.2)"	"311 (20.7)"	"491 (17.2)"	"203 (16.8)"	"288 (17.4)"
"Number of GP consultations in the 12 months prior to baseline"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
