parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	comorbidity_cat
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"confirmed"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7513383	.02320589	42.29165	0	1.7064412	1.7974168	"crude"	"confirmed"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.0761297	.04682958	73.811501	0	2.9857012	3.1692971	"crude"	"confirmed"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.0482752	.09887801	110.09044	0	5.8575498	6.2452108	"crude"	"confirmed"	"1"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"confirmed"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.4819376	.02224106	26.209222	2.09e-151	1.4389808	1.5261767	"model0"	"confirmed"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.1979476	.04064215	42.589693	0	2.1197167	2.2790658	"model0"	"confirmed"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.8318981	.07794684	66.040128	0	3.6821304	3.9877574	"model0"	"confirmed"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"1"	""
"1.male"	"Male"	.81394826	.00880141	-19.037651	8.318e-81	.79687933	.8313828	"model0"	"confirmed"	"1"	""
"age1"	"Age spline 1"	1.0494606	.00213815	23.695299	4.03e-124	1.0452783	1.0536597	"model0"	"confirmed"	"1"	""
"age2"	"Age spline 2"	.84038023	.00523573	-27.91262	1.88e-171	.8301808	.85070497	"model0"	"confirmed"	"1"	""
"age3"	"Age spline 3"	1.6774446	.02697485	32.166796	5.14e-227	1.6253994	1.7311564	"model0"	"confirmed"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"confirmed"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2017141	.02536503	8.7054385	3.163e-18	1.1530139	1.2524713	"model2"	"confirmed"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6652496	.04079867	20.815281	3.147e-96	1.5871752	1.7471645	"model2"	"confirmed"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.6586146	.07039045	36.931248	1.46e-298	2.5241704	2.8002197	"model2"	"confirmed"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"1"	""
"1.male"	"Male"	.9781946	.01463152	-1.4739357	.14049889	.94993363	1.0072963	"model2"	"confirmed"	"1"	""
"age1"	"Age spline 1"	1.0308896	.00395515	7.9293665	2.203e-15	1.0231667	1.0386708	"model2"	"confirmed"	"1"	""
"age2"	"Age spline 2"	.87553772	.00943727	-12.331304	6.144e-35	.85723502	.8942312	"model2"	"confirmed"	"1"	""
"age3"	"Age spline 3"	1.4990787	.04031422	15.05432	3.234e-51	1.4221106	1.5802126	"model2"	"confirmed"	"1"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"1"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0981153	.0265726	3.8678382	.0001098	1.0472497	1.1514515	"model2"	"confirmed"	"1"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2268362	.0295337	8.4924244	2.024e-17	1.1702955	1.2861085	"model2"	"confirmed"	"1"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3075821	.03144815	11.15064	7.109e-29	1.2473751	1.3706952	"model2"	"confirmed"	"1"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4460672	.03549467	15.026999	4.886e-51	1.3781458	1.517336	"model2"	"confirmed"	"1"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0189375	.0012733	15.012742	6.059e-51	1.016445	1.0214362	"model2"	"confirmed"	"1"	""
"hba1c_pct"	"HbA1c %"	1.1081475	.00669036	17.008848	7.061e-65	1.0951119	1.1213382	"model2"	"confirmed"	"1"	""
"bp_map"	"Mean Arterial Pressure"	1.0000015	.00017425	.00881929	.99296331	.99966007	1.0003431	"model2"	"confirmed"	"1"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"1"	""
"2.hh_total_cat"	"Number of people in household"	1.1967441	.02248373	9.5598373	1.179e-21	1.1534783	1.2416328	"model2"	"confirmed"	"1"	""
"3.hh_total_cat"	"Number of people in household"	1.5269313	.05996235	10.778247	4.361e-27	1.4138162	1.6490965	"model2"	"confirmed"	"1"	""
"4.hh_total_cat"	"Number of people in household"	3.2970997	.15417557	25.513656	1.39e-143	3.0083549	3.6135584	"model2"	"confirmed"	"1"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"confirmed"	"1"	""
"1.carehome"	"Care home y/n"	3.8532517	.18212082	28.539945	3.74e-179	3.5123358	4.2272578	"model2"	"confirmed"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"confirmed"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.3252889	.03661533	10.193592	2.118e-24	1.2554326	1.3990322	"crude"	"confirmed"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6162257	.06874876	11.286597	1.528e-29	1.4869445	1.756747	"crude"	"confirmed"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.3638239	.13835973	14.697571	6.681e-49	2.1076207	2.6511713	"crude"	"confirmed"	"2"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"confirmed"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.337025	.04132726	9.39658	5.637e-21	1.2584298	1.4205288	"model0"	"confirmed"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7312052	.08406556	11.302086	1.281e-29	1.5740374	1.9040661	"model0"	"confirmed"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.6564012	.17404812	14.910993	2.796e-50	2.3362683	3.0204011	"model0"	"confirmed"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"2"	""
"1.male"	"Male"	.88814174	.01942215	-5.4244704	5.813e-08	.85087929	.92703602	"model0"	"confirmed"	"2"	""
"age1"	"Age spline 1"	1.0119769	.00287333	4.1931749	.00002751	1.0063609	1.0176242	"model0"	"confirmed"	"2"	""
"age2"	"Age spline 2"	.97393291	.01023677	-2.5129365	.01197309	.95407446	.9942047	"model0"	"confirmed"	"2"	""
"age3"	"Age spline 3"	1.0377424	.03156315	1.2180604	.22320102	.97768754	1.1014861	"model0"	"confirmed"	"2"	""
