parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	comorbidity_cat
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"confirmed"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.145494	.04481506	3.4720321	.00051653	1.0609413	1.2367853	"model2"	"confirmed"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.3865446	.07981848	5.677172	1.369e-08	1.238606	1.5521529	"model2"	"confirmed"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.1028609	.15905061	9.8274001	8.581e-23	1.8131329	2.4388858	"model2"	"confirmed"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"2"	""
"1.male"	"Male"	1.0497087	.03188791	1.5969754	.11027119	.98903375	1.1141059	"model2"	"confirmed"	"2"	""
"age1"	"Age spline 1"	.99951049	.00529884	-.09235838	.92641331	.98917871	1.0099502	"model2"	"confirmed"	"2"	""
"age2"	"Age spline 2"	.97921386	.01624761	-1.2659458	.20553248	.94788137	1.0115821	"model2"	"confirmed"	"2"	""
"age3"	"Age spline 3"	1.0630907	.04774334	1.3622907	.17310616	.97351556	1.1609078	"model2"	"confirmed"	"2"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"2"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.4001984	.11311174	4.1669089	.00003088	1.1951633	1.6404081	"model2"	"confirmed"	"2"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.4599398	.1104367	5.0022695	5.666e-07	1.258769	1.6932607	"model2"	"confirmed"	"2"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6480416	.11800474	6.9771879	3.011e-12	1.4322524	1.8963424	"model2"	"confirmed"	"2"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.8440449	.13287796	8.492638	2.020e-17	1.6011636	2.1237689	"model2"	"confirmed"	"2"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0224693	.00286039	7.9429355	1.975e-15	1.0168784	1.028091	"model2"	"confirmed"	"2"	""
"hba1c_pct"	"HbA1c %"	1.0646235	.01224931	5.4425927	5.251e-08	1.040884	1.0889045	"model2"	"confirmed"	"2"	""
"bp_map"	"Mean Arterial Pressure"	1.0003894	.00056786	.68594134	.4927501	.99927708	1.001503	"model2"	"confirmed"	"2"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"2"	""
"2.hh_total_cat"	"Number of people in household"	1.260115	.05252528	5.5467064	2.911e-08	1.1612604	1.3673848	"model2"	"confirmed"	"2"	""
"3.hh_total_cat"	"Number of people in household"	1.3994401	.0642082	7.3248115	2.392e-13	1.2790869	1.5311178	"model2"	"confirmed"	"2"	""
"4.hh_total_cat"	"Number of people in household"	1.4038384	.12319236	3.8654691	.00011088	1.1820091	1.6672987	"model2"	"confirmed"	"2"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"confirmed"	"2"	""
"1.carehome"	"Care home y/n"	5.6310381	1.1790651	8.2540717	1.531e-16	3.7355804	8.4882634	"model2"	"confirmed"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"confirmed"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.0415784	.11648977	12.508583	6.701e-36	1.8255663	2.2831502	"crude"	"confirmed"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.9578145	.29628768	18.376511	2.026e-75	3.4176947	4.5832929	"crude"	"confirmed"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	5.832607	.60743909	16.932715	2.582e-64	4.7556952	7.1533822	"crude"	"confirmed"	"3"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"confirmed"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6482393	.10328504	7.9744138	1.531e-15	1.457742	1.8636306	"model0"	"confirmed"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.1240649	.26549267	13.404255	5.709e-41	2.6447359	3.6902669	"model0"	"confirmed"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.6317864	.54179696	13.105026	3.082e-39	3.682819	5.8252783	"model0"	"confirmed"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"3"	""
"1.male"	"Male"	.76768107	.03805706	-5.3330499	9.658e-08	.69659976	.84601554	"model0"	"confirmed"	"3"	""
"age1"	"Age spline 1"	1.0620282	.00858357	7.446008	9.621e-14	1.0453372	1.0789856	"model0"	"confirmed"	"3"	""
"age2"	"Age spline 2"	.8822785	.02293437	-4.8182357	1.448e-06	.83845383	.9283938	"model0"	"confirmed"	"3"	""
"age3"	"Age spline 3"	1.3151415	.09250591	3.8946209	.00009835	1.1457759	1.5095422	"model0"	"confirmed"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"confirmed"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.129633	.09634299	1.4292074	.15294462	.95574262	1.3351614	"model2"	"confirmed"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.8941562	.20972606	5.7691291	7.968e-09	1.5246441	2.3532231	"model2"	"confirmed"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.9004821	.41638824	7.4177327	1.191e-13	2.1891381	3.8429721	"model2"	"confirmed"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"3"	""
"1.male"	"Male"	1.0334256	.07200269	.47190079	.63699761	.90151462	1.184638	"model2"	"confirmed"	"3"	""
"age1"	"Age spline 1"	1.0563544	.01764382	3.2823534	.00102945	1.022333	1.0915079	"model2"	"confirmed"	"3"	""
"age2"	"Age spline 2"	.86969871	.04010284	-3.0276478	.00246465	.79454575	.95196009	"model2"	"confirmed"	"3"	""
"age3"	"Age spline 3"	1.4037689	.16422423	2.899105	.0037423	1.1161311	1.7655339	"model2"	"confirmed"	"3"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"3"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3321449	.26044049	1.4669237	.14239681	.90810828	1.9541834	"model2"	"confirmed"	"3"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.451461	.26665509	2.027982	.04256208	1.0125743	2.0805771	"model2"	"confirmed"	"3"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4994468	.26538799	2.2888006	.02209094	1.059928	2.1212201	"model2"	"confirmed"	"3"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4731612	.2580418	2.2117276	.02698549	1.0450862	2.0765787	"model2"	"confirmed"	"3"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0399609	.00592031	6.8829062	5.864e-12	1.0284218	1.0516295	"model2"	"confirmed"	"3"	""
"hba1c_pct"	"HbA1c %"	1.1241339	.02385582	5.5138801	3.510e-08	1.0783364	1.1718765	"model2"	"confirmed"	"3"	""
"bp_map"	"Mean Arterial Pressure"	1.000713	.00158349	.45044894	.65238676	.99761425	1.0038214	"model2"	"confirmed"	"3"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"3"	""
"2.hh_total_cat"	"Number of people in household"	1.087174	.08250332	1.1013833	.27072986	.93692142	1.2615223	"model2"	"confirmed"	"3"	""
"3.hh_total_cat"	"Number of people in household"	1.1158948	.11848682	1.0327328	.30172896	.90623708	1.3740568	"model2"	"confirmed"	"3"	""
"4.hh_total_cat"	"Number of people in household"	1.9115239	.4380394	2.8273205	.00469393	1.2198903	2.9952885	"model2"	"confirmed"	"3"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"confirmed"	"3"	""
"1.carehome"	"Care home y/n"	2.9870124	1.0219268	3.1984767	.00138156	1.5276402	5.8405397	"model2"	"confirmed"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"confirmed"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.3238553	.21810528	8.984372	2.602e-19	1.9333907	2.7931776	"crude"	"confirmed"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.5143848	.50278868	8.7852127	1.561e-18	2.6550419	4.6518665	"crude"	"confirmed"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.0429498	1.204108	9.0279407	1.749e-19	4.0892155	8.930134	"crude"	"confirmed"	"4"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"confirmed"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7226537	.17823822	5.2564071	1.469e-07	1.4064571	2.1099368	"model0"	"confirmed"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.4030867	.3866836	5.448682	5.074e-08	1.7530793	3.294104	"model0"	"confirmed"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.0895047	.90036301	6.3971487	1.583e-10	2.6562351	6.2961478	"model0"	"confirmed"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"4"	""
"1.male"	"Male"	.72995127	.05912311	-3.8863355	.00010177	.62280197	.85553496	"model0"	"confirmed"	"4"	""
"age1"	"Age spline 1"	1.0471837	.01197444	4.0319008	.00005533	1.0239753	1.0709182	"model0"	"confirmed"	"4"	""
"age2"	"Age spline 2"	.943468	.03753108	-1.4628696	.14350306	.87270295	1.0199712	"model0"	"confirmed"	"4"	""
"age3"	"Age spline 3"	1.0896364	.12162024	.76910592	.44183044	.87553677	1.356091	"model0"	"confirmed"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"confirmed"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.0804482	.15112911	.55317409	.58014421	.82137412	1.4212382	"model2"	"confirmed"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.3812265	.27515645	1.6212496	.10496412	.93475029	2.0409586	"model2"	"confirmed"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.1008617	.56648102	2.7530836	.00590368	1.2384474	3.563833	"model2"	"confirmed"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"4"	""
"1.male"	"Male"	.87700054	.10042366	-1.1461868	.25171788	.70069722	1.0976638	"model2"	"confirmed"	"4"	""
"age1"	"Age spline 1"	1.0156477	.02066044	.76326985	.44530248	.9759506	1.0569595	"model2"	"confirmed"	"4"	""
"age2"	"Age spline 2"	.99028076	.06257496	-.15456434	.87716479	.8749267	1.1208436	"model2"	"confirmed"	"4"	""
"age3"	"Age spline 3"	.99838357	.16875575	-.00957077	.99236375	.71683583	1.3905133	"model2"	"confirmed"	"4"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"4"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.4742082	.32639775	1.7529877	.07960411	.95520847	2.2751996	"model2"	"confirmed"	"4"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1300106	.25763136	.5361062	.59188516	.72279788	1.7666403	"model2"	"confirmed"	"4"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.5983835	.33548712	2.2344535	.02545325	1.059305	2.4117982	"model2"	"confirmed"	"4"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.440771	.30360654	1.7329616	.0831025	.95329097	2.1775315	"model2"	"confirmed"	"4"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.018255	.00939213	1.9612848	.04984581	1.0000122	1.0368307	"model2"	"confirmed"	"4"	""
"hba1c_pct"	"HbA1c %"	1.1816732	.04167792	4.7329231	2.213e-06	1.1027455	1.2662501	"model2"	"confirmed"	"4"	""
"bp_map"	"Mean Arterial Pressure"	1.0032508	.00250059	1.3021216	.19287482	.99836168	1.0081639	"model2"	"confirmed"	"4"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"4"	""
"2.hh_total_cat"	"Number of people in household"	1.1968454	.14899474	1.4434082	.14890551	.93771821	1.5275792	"model2"	"confirmed"	"4"	""
"3.hh_total_cat"	"Number of people in household"	1.4203644	.25782782	1.9331699	.05321527	.99514809	2.0272712	"model2"	"confirmed"	"4"	""
"4.hh_total_cat"	"Number of people in household"	2.5082739	.92449657	2.4949749	.0125966	1.2179799	5.1654695	"model2"	"confirmed"	"4"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"confirmed"	"4"	""
"1.carehome"	"Care home y/n"	2.5908622	1.4252884	1.7305106	.08353908	.88141459	7.6156748	"model2"	"confirmed"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"confirmed"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.5498818	.20555314	11.611641	3.596e-31	2.1772199	2.98633	"crude"	"confirmed"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.7752033	.46730109	10.732235	7.184e-27	2.9619462	4.8117551	"crude"	"confirmed"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	8.5009637	1.2379845	14.696136	6.824e-49	6.3901163	11.309087	"crude"	"confirmed"	"5"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"confirmed"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.9476249	.17317818	7.4969457	6.532e-14	1.6361326	2.3184201	"model0"	"confirmed"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.7737324	.38742461	7.3039883	2.794e-13	2.109463	3.6471802	"model0"	"confirmed"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.197933	1.0361558	10.911841	1.012e-27	4.4662704	8.6009961	"model0"	"confirmed"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"5"	""
"1.male"	"Male"	.85089073	.05609045	-2.4495195	.0143047	.74776108	.96824382	"model0"	"confirmed"	"5"	""
"age1"	"Age spline 1"	1.0959828	.01164427	8.6264223	6.330e-18	1.0733964	1.1190444	"model0"	"confirmed"	"5"	""
"age2"	"Age spline 2"	.80818783	.02809032	-6.1271045	8.949e-10	.75496523	.86516244	"model0"	"confirmed"	"5"	""
"age3"	"Age spline 3"	1.6414614	.1561566	5.2094298	1.894e-07	1.3622399	1.9779156	"model0"	"confirmed"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"confirmed"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2320259	.14587022	1.7623501	.07801017	.97687437	1.5538209	"model2"	"confirmed"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6792113	.28065032	3.1012822	.00192685	1.2101581	2.3300678	"model2"	"confirmed"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.0622011	.63163817	5.4255958	5.776e-08	2.0438873	4.5878635	"model2"	"confirmed"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"5"	""
"1.male"	"Male"	.99525922	.09229404	-.0512441	.95913101	.829853	1.1936342	"model2"	"confirmed"	"5"	""
"age1"	"Age spline 1"	1.0140161	.01874127	.75308938	.4513962	.97794121	1.0514217	"model2"	"confirmed"	"5"	""
"age2"	"Age spline 2"	.98505025	.05393813	-.27508265	.78325274	.88480867	1.0966484	"model2"	"confirmed"	"5"	""
"age3"	"Age spline 3"	1.009403	.14521056	.06505746	.94812825	.76139941	1.3381864	"model2"	"confirmed"	"5"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"5"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.5721152	.3090674	2.3013086	.02137419	1.0694089	2.311133	"model2"	"confirmed"	"5"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.6524139	.31733437	2.6152343	.00891663	1.1341007	2.4076095	"model2"	"confirmed"	"5"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.5304871	.28762308	2.2646095	.02353665	1.0589224	2.2120514	"model2"	"confirmed"	"5"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6211714	.30786522	2.5441888	.01095319	1.1173346	2.3522019	"model2"	"confirmed"	"5"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0247613	.00848568	2.9538384	.00313848	1.0082639	1.0415286	"model2"	"confirmed"	"5"	""
"hba1c_pct"	"HbA1c %"	1.1402349	.04150883	3.6049666	.00031219	1.0617137	1.2245634	"model2"	"confirmed"	"5"	""
"bp_map"	"Mean Arterial Pressure"	.99979733	.00188518	-.10749626	.91439529	.99610926	1.0034991	"model2"	"confirmed"	"5"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"5"	""
"2.hh_total_cat"	"Number of people in household"	1.2054215	.1266254	1.778538	.07531554	.98112228	1.4809989	"model2"	"confirmed"	"5"	""
"3.hh_total_cat"	"Number of people in household"	1.2224733	.18124654	1.3548709	.17545869	.91419406	1.6347087	"model2"	"confirmed"	"5"	""
"4.hh_total_cat"	"Number of people in household"	2.3457199	.6021567	3.3212996	.00089599	1.4183027	3.8795679	"model2"	"confirmed"	"5"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"confirmed"	"5"	""
"1.carehome"	"Care home y/n"	6.7261217	2.374587	5.3988249	6.708e-08	3.367107	13.436079	"model2"	"confirmed"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"tested"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2749484	.00355312	87.16072	0	1.2680034	1.2819315	"crude"	"tested"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.9335151	.00671112	189.95988	0	1.9204062	1.9467135	"crude"	"tested"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.2839249	.01338491	291.72514	0	3.2577954	3.3102639	"crude"	"tested"	"1"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"tested"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.3655353	.0042724	99.575838	0	1.3571872	1.3739348	"model0"	"tested"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.0363786	.00843563	171.67866	0	2.019912	2.0529794	"model0"	"tested"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.3196854	.01622302	245.52716	0	3.2880406	3.3516346	"model0"	"tested"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	"1"	""
"1.male"	"Male"	.70087855	.00162201	-153.57943	0	.69770668	.70406485	"model0"	"tested"	"1"	""
"age1"	"Age spline 1"	1.0242929	.00036281	67.764979	0	1.023582	1.0250042	"model0"	"tested"	"1"	""
"age2"	"Age spline 2"	.87787798	.00102588	-111.45757	0	.8758696	.87989096	"model0"	"tested"	"1"	""
"age3"	"Age spline 3"	1.4843778	.0046388	126.39532	0	1.4753137	1.4934975	"model0"	"tested"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"tested"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.1721323	.00528653	35.214682	1.19e-271	1.1618165	1.1825396	"model2"	"tested"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6850892	.00924152	95.147862	0	1.6670731	1.7032999	"model2"	"tested"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.601971	.01631996	152.46268	0	2.5701803	2.634155	"model2"	"tested"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"tested"	"1"	""
"1.male"	"Male"	.84630545	.00287463	-49.128881	0	.84069	.85195841	"model2"	"tested"	"1"	""
"age1"	"Age spline 1"	1.008337	.00069984	11.962262	5.601e-33	1.0069663	1.0097096	"model2"	"tested"	"1"	""
"age2"	"Age spline 2"	.90523028	.00188238	-47.880808	0	.90154838	.90892721	"model2"	"tested"	"1"	""
"age3"	"Age spline 3"	1.3679658	.0072999	58.71553	0	1.3537329	1.3823485	"model2"	"tested"	"1"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"tested"	"1"	""
