eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"3.eth16"	"Eth 16 collapsed"	.80131424	.13868294	-1.2798459	.20059934	.57080262	1.1249151	"crude"	"ventilated"
"ventilated"	"4.eth16"	"Eth 16 collapsed"	1.199006	.24470469	.88928048	.37385236	.80371111	1.7887217	"crude"	"ventilated"
"ventilated"	"5.eth16"	"Eth 16 collapsed"	1.5140217	.33906342	1.8520724	.06401543	.97612737	2.3483223	"crude"	"ventilated"
"ventilated"	"6.eth16"	"Eth 16 collapsed"	3.0157177	1.7554058	1.8963498	.05791381	.96364826	9.4376277	"crude"	"ventilated"
"ventilated"	"7.eth16"	"Eth 16 collapsed"	1.0846651	.39474247	.22331557	.82328991	.53151762	2.2134702	"crude"	"ventilated"
"ventilated"	"8.eth16"	"Eth 16 collapsed"	1.2057827	.26534083	.85036597	.39512165	.78335075	1.8560166	"crude"	"ventilated"
"ventilated"	"9.eth16"	"Eth 16 collapsed"	.91881069	.52359958	-.14858769	.88187898	.3007147	2.8073556	"crude"	"ventilated"
"ventilated"	"10.eth16"	"Eth 16 collapsed"	1.087628	.31946372	.2859788	.77489436	.61159095	1.9341925	"crude"	"ventilated"
"ventilated"	"11.eth16"	"Eth 16 collapsed"	1.0381321	.17639017	.22025093	.82567573	.74408757	1.4483757	"crude"	"ventilated"
"ventilated"	"12.eth16"	"Eth 16 collapsed"	1.1089648	.12646362	.90695515	.36443051	.88684723	1.3867133	"crude"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	.76389417	.14621178	-1.4071135	.15939373	.52494101	1.1116188	"crude"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.56632841	.14263822	-2.257485	.02397778	.34568504	.92780371	"crude"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	2.6800143	1.1393361	2.3189097	.02039993	1.1648544	6.1659866	"crude"	"ventilated"
