parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"crude"	"suspected"	""
"2.eth16"	"Eth 16 collapsed"	1.023146	.01739595	1.3458224	.17835982	.98961244	1.0578159	"crude"	"suspected"	""
"3.eth16"	"Eth 16 collapsed"	.64348128	.00353825	-80.177101	0	.63658367	.65045363	"crude"	"suspected"	""
"4.eth16"	"Eth 16 collapsed"	1.0766482	.00822095	9.6720345	3.964e-22	1.0606554	1.0928821	"crude"	"suspected"	""
"5.eth16"	"Eth 16 collapsed"	.78185937	.0075869	-25.359526	7.06e-142	.76712983	.79687173	"crude"	"suspected"	""
"6.eth16"	"Eth 16 collapsed"	.8890802	.01723449	-6.0650022	1.320e-09	.85593485	.92350907	"crude"	"suspected"	""
"7.eth16"	"Eth 16 collapsed"	1.1087218	.01814491	6.3063819	2.856e-10	1.0737227	1.1448616	"crude"	"suspected"	""
"8.eth16"	"Eth 16 collapsed"	.8766284	.01046482	-11.030051	2.737e-28	.85635581	.8973809	"crude"	"suspected"	""
"9.eth16"	"Eth 16 collapsed"	.27591571	.00773735	-45.918238	0	.26116	.29150513	"crude"	"suspected"	""
"10.eth16"	"Eth 16 collapsed"	.8413654	.01072273	-13.5533	7.575e-42	.82060954	.86264625	"crude"	"suspected"	""
"11.eth16"	"Eth 16 collapsed"	.79410298	.00631543	-28.988377	9.22e-185	.78182093	.80657798	"crude"	"suspected"	""
"12.eth16"	"Eth 16 collapsed"	.76973238	.00257286	-78.297555	0	.76470615	.77479164	"crude"	"suspected"	""
"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"model0"	"suspected"	""
"2.eth16"	"Eth 16 collapsed"	.98649981	.01677664	-.79924568	.42414797	.95416016	1.0199355	"model0"	"suspected"	""
"3.eth16"	"Eth 16 collapsed"	.73019555	.00405906	-56.565946	0	.72228311	.73819467	"model0"	"suspected"	""
"4.eth16"	"Eth 16 collapsed"	1.2037831	.00924136	24.159274	5.97e-129	1.1858059	1.2220328	"model0"	"suspected"	""
"5.eth16"	"Eth 16 collapsed"	.90963294	.00886212	-9.7217213	2.436e-22	.89242828	.92716928	"model0"	"suspected"	""
"6.eth16"	"Eth 16 collapsed"	1.0655299	.02068584	3.2694641	.00107751	1.0257481	1.1068547	"model0"	"suspected"	""
"7.eth16"	"Eth 16 collapsed"	1.1219029	.01836965	7.0250814	2.139e-12	1.0864706	1.1584907	"model0"	"suspected"	""
"8.eth16"	"Eth 16 collapsed"	1.037766	.01243484	3.0937512	.00197643	1.0136781	1.0624263	"model0"	"suspected"	""
"9.eth16"	"Eth 16 collapsed"	.33292533	.00934351	-39.189096	0	.31510694	.35175129	"model0"	"suspected"	""
"10.eth16"	"Eth 16 collapsed"	.99682319	.01274385	-.24888549	.80344936	.97215604	1.0221162	"model0"	"suspected"	""
"11.eth16"	"Eth 16 collapsed"	.92527235	.00741584	-9.6905128	3.309e-22	.91085114	.93992188	"model0"	"suspected"	""
"12.eth16"	"Eth 16 collapsed"	.8087129	.00272016	-63.120851	0	.80339902	.81406193	"model0"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"suspected"	""
"1.male"	"Male"	.71618442	.00182259	-131.1729	0	.7126211	.71976557	"model0"	"suspected"	""
"age1"	"Age spline 1"	1.0152606	.00039373	39.053544	0	1.0144892	1.0160325	"model0"	"suspected"	""
"age2"	"Age spline 2"	.97427593	.0012459	-20.379113	2.563e-92	.97183707	.97672091	"model0"	"suspected"	""
"age3"	"Age spline 3"	1.1011043	.00376163	28.192918	7.14e-175	1.0937563	1.1085017	"model0"	"suspected"	""
"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"model1"	"suspected"	""
"2.eth16"	"Eth 16 collapsed"	.96903417	.01654177	-1.84269	.06537428	.93714926	1.0020039	"model1"	"suspected"	""
"3.eth16"	"Eth 16 collapsed"	.70261161	.00393474	-63.025178	0	.69494184	.71036603	"model1"	"suspected"	""
"4.eth16"	"Eth 16 collapsed"	1.1538191	.00893762	18.470864	3.544e-76	1.136434	1.1714702	"model1"	"suspected"	""
"5.eth16"	"Eth 16 collapsed"	.82380962	.00810506	-19.699708	2.169e-86	.80807618	.8398494	"model1"	"suspected"	""
"6.eth16"	"Eth 16 collapsed"	.96583135	.01885958	-1.7804291	.07500576	.92956566	1.0035119	"model1"	"suspected"	""
"7.eth16"	"Eth 16 collapsed"	1.0339233	.0170312	2.0252442	.04284229	1.0010759	1.0678486	"model1"	"suspected"	""
"8.eth16"	"Eth 16 collapsed"	.95136482	.01151667	-4.1186257	.00003811	.92905824	.97420698	"model1"	"suspected"	""
"9.eth16"	"Eth 16 collapsed"	.33263718	.00941257	-38.898495	0	.31469114	.35160664	"model1"	"suspected"	""
"10.eth16"	"Eth 16 collapsed"	.95473992	.01229828	-3.5956276	.00032361	.93093747	.97915096	"model1"	"suspected"	""
"11.eth16"	"Eth 16 collapsed"	.87944084	.00710049	-15.911706	5.256e-57	.86563367	.89346823	"model1"	"suspected"	""
"12.eth16"	"Eth 16 collapsed"	.8078799	.00272827	-63.173525	0	.80255024	.81324495	"model1"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"suspected"	""
"1.male"	"Male"	.71593332	.00183008	-130.7276	0	.7123554	.71952922	"model1"	"suspected"	""
"age1"	"Age spline 1"	1.0160008	.00039721	40.603855	0	1.0152226	1.0167796	"model1"	"suspected"	""
"age2"	"Age spline 2"	.97506931	.00125525	-19.611511	1.233e-85	.97261217	.97753265	"model1"	"suspected"	""
"age3"	"Age spline 3"	1.0974536	.00377157	27.059038	2.99e-161	1.0900863	1.1048707	"model1"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0859731	.0044448	20.150996	2.638e-90	1.0772963	1.0947197	"model1"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2132044	.00492302	47.627315	0	1.2035937	1.2228918	"model1"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3576178	.00551877	75.210053	0	1.3468442	1.3684776	"model1"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4375702	.00615242	84.807731	0	1.4255622	1.4496795	"model1"	"suspected"	""
"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"model2"	"suspected"	""
"2.eth16"	"Eth 16 collapsed"	1.031047	.0212301	1.4848758	.13757674	.99026524	1.0735083	"model2"	"suspected"	""
"3.eth16"	"Eth 16 collapsed"	.88248479	.00666689	-16.547859	1.659e-61	.8695142	.89564887	"model2"	"suspected"	""
"4.eth16"	"Eth 16 collapsed"	1.2164653	.01150325	20.721584	2.213e-95	1.194127	1.2392215	"model2"	"suspected"	""
"5.eth16"	"Eth 16 collapsed"	.74176975	.00898177	-24.669846	2.25e-134	.72437306	.75958424	"model2"	"suspected"	""
"6.eth16"	"Eth 16 collapsed"	.92830818	.02256999	-3.0597379	.00221531	.88510926	.97361548	"model2"	"suspected"	""
"7.eth16"	"Eth 16 collapsed"	1.0654163	.02088639	3.232284	.00122805	1.0252562	1.1071495	"model2"	"suspected"	""
"8.eth16"	"Eth 16 collapsed"	1.0499492	.01685687	3.035936	.0023979	1.0174247	1.0835133	"model2"	"suspected"	""
"9.eth16"	"Eth 16 collapsed"	.64690148	.02538027	-11.101744	1.230e-28	.59902156	.69860845	"model2"	"suspected"	""
"10.eth16"	"Eth 16 collapsed"	1.0408462	.01820609	2.2887548	.0220936	1.0057677	1.0771482	"model2"	"suspected"	""
"11.eth16"	"Eth 16 collapsed"	1.0012586	.01037629	.12137484	.90339414	.98112663	1.0218037	"model2"	"suspected"	""
"12.eth16"	"Eth 16 collapsed"	.92662416	.00428808	-16.46785	6.245e-61	.91825767	.93506687	"model2"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"suspected"	""
"1.male"	"Male"	.80559848	.00272125	-63.994856	0	.80028254	.81094973	"model2"	"suspected"	""
"age1"	"Age spline 1"	1.0053703	.00070547	7.6328461	2.296e-14	1.0039886	1.006754	"model2"	"suspected"	""
"age2"	"Age spline 2"	.95339349	.00197706	-23.015514	3.26e-117	.94952638	.95727635	"model2"	"suspected"	""
"age3"	"Age spline 3"	1.1666748	.00621006	28.961385	2.02e-184	1.1545666	1.17891	"model2"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0572135	.00560499	10.494196	9.186e-26	1.0462848	1.0682564	"model2"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1244253	.0059305	22.234836	1.58e-109	1.1128616	1.1361091	"model2"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2026762	.00638453	34.764186	8.46e-265	1.1902276	1.2152549	"model2"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2267245	.00685912	36.546704	2.01e-292	1.2133543	1.2402421	"model2"	"suspected"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0094454	.0002867	33.100074	2.96e-240	1.0088836	1.0100074	"model2"	"suspected"	""
"hba1c_pct"	"HbA1c %"	1.0611098	.00202493	31.082641	4.13e-212	1.0571484	1.065086	"model2"	"suspected"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0126292	.00005431	234.01228	0	1.0125227	1.0127356	"model2"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0896546	.00403951	23.160871	1.13e-118	1.081766	1.0976007	"model2"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0735713	.00554013	13.756644	4.646e-43	1.0627676	1.0844849	"model2"	"suspected"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"suspected"	""
"1.hypertension"	"Diagnosed hypertension"	1.0520159	.00406852	13.111872	2.816e-39	1.0440719	1.0600204	"model2"	"suspected"	""
"bp_map"	"Mean Arterial Pressure"	1.0000772	8.771e-06	8.8077491	1.277e-18	1.0000601	1.0000944	"model2"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"suspected"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.8550696	.00902651	126.9913	0	1.8374621	1.8728459	"model2"	"suspected"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2633805	.00576465	51.237616	0	1.2521324	1.2747297	"model2"	"suspected"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"suspected"	""
"1.dm_type"	"Diabetes Type"	1.0692398	.01630152	4.3912077	.00001127	1.037762	1.1016723	"model2"	"suspected"	""
"2.dm_type"	"Diabetes Type"	1.0565945	.00589398	9.8688015	5.684e-23	1.0451054	1.0682099	"model2"	"suspected"	""
"3.dm_type"	"Diabetes Type"	1.0079016	.00811346	.97772653	.32820959	.99212431	1.0239298	"model2"	"suspected"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"suspected"	""
"1.cancer"	"Cancer"	1.311357	.00664458	53.496224	0	1.2983984	1.3244451	"model2"	"suspected"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.3480634	.01760522	22.869634	9.32e-116	1.3139957	1.3830144	"model2"	"suspected"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"suspected"	""
"1.stroke"	"Stroke"	1.1946241	.00831176	25.559194	4.34e-144	1.1784439	1.2110264	"model2"	"suspected"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"suspected"	""
"1.dementia"	"Dementia"	1.5850276	.02573726	28.366138	5.29e-177	1.5353778	1.636283	"model2"	"suspected"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"suspected"	""
"1.other_neuro"	"Neurological disease"	1.3510112	.01504716	27.012145	1.06e-160	1.3218388	1.3808273	"model2"	"suspected"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"suspected"	""
"1.egfr60"	"CKD defined by egfr<60"	1.0384236	.00553565	7.0727988	1.518e-12	1.0276304	1.0493302	"model2"	"suspected"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"suspected"	""
"1.esrf"	"end stage renal failure"	1.6449056	.03921381	20.876363	8.783e-97	1.5698159	1.7235872	"model2"	"suspected"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"suspected"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.6578388	.0251914	33.267784	1.13e-242	1.6091926	1.7079557	"model2"	"suspected"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"suspected"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.2542973	.00701574	40.507946	0	1.2406218	1.2681235	"model2"	"suspected"	""
"1b.eth16"	"Eth 16 collapsed"	1	0			1	1	"model3"	"suspected"	""
"2.eth16"	"Eth 16 collapsed"	1.0386114	.02232556	1.7624379	.07799534	.99576306	1.0833036	"model3"	"suspected"	""
"3.eth16"	"Eth 16 collapsed"	.87904837	.007004	-16.179735	7.010e-59	.86542742	.89288371	"model3"	"suspected"	""
"4.eth16"	"Eth 16 collapsed"	1.2089939	.01215985	18.869738	2.023e-79	1.1853944	1.2330632	"model3"	"suspected"	""
"5.eth16"	"Eth 16 collapsed"	.73039621	.00968212	-23.700095	3.60e-124	.711664	.74962149	"model3"	"suspected"	""
"6.eth16"	"Eth 16 collapsed"	.87514745	.02337102	-4.9938847	5.918e-07	.83051923	.92217379	"model3"	"suspected"	""
"7.eth16"	"Eth 16 collapsed"	1.0709658	.02184143	3.3617895	.00077439	1.0290016	1.1146413	"model3"	"suspected"	""
"8.eth16"	"Eth 16 collapsed"	1.0434644	.01734278	2.5598861	.01047065	1.0100208	1.0780153	"model3"	"suspected"	""
"9.eth16"	"Eth 16 collapsed"	.6507523	.02681907	-10.424679	1.913e-25	.60025479	.70549799	"model3"	"suspected"	""
"10.eth16"	"Eth 16 collapsed"	1.0344093	.01892024	1.8495886	.06437287	.99798318	1.072165	"model3"	"suspected"	""
"11.eth16"	"Eth 16 collapsed"	.99240991	.01081418	-.69919443	.48443053	.97143925	1.0138333	"model3"	"suspected"	""
"12.eth16"	"Eth 16 collapsed"	.92025042	.00461076	-16.587616	8.565e-62	.91125773	.92933186	"model3"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"suspected"	""
"1.male"	"Male"	.80899606	.00292142	-58.696058	0	.8032904	.81474225	"model3"	"suspected"	""
"age1"	"Age spline 1"	1.0035776	.00074799	4.791526	1.655e-06	1.0021126	1.0050447	"model3"	"suspected"	""
"age2"	"Age spline 2"	.96164186	.00213929	-17.581938	3.388e-69	.95745806	.96584395	"model3"	"suspected"	""
"age3"	"Age spline 3"	1.1368556	.00649616	22.447142	1.36e-111	1.1241944	1.1496594	"model3"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0525665	.00596855	9.0347788	1.643e-19	1.0409332	1.0643299	"model3"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1174642	.00630967	19.669467	3.939e-86	1.1051656	1.1298996	"model3"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1974508	.00680212	31.721673	7.81e-221	1.1841928	1.2108572	"model3"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2140496	.00729829	32.264955	2.17e-228	1.1998292	1.2284386	"model3"	"suspected"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0097151	.00030555	31.949257	5.53e-224	1.0091164	1.0103141	"model3"	"suspected"	""
"hba1c_pct"	"HbA1c %"	1.0603857	.00215193	28.891908	1.51e-183	1.0561764	1.0646118	"model3"	"suspected"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0124848	.00005733	219.12318	0	1.0123724	1.0125971	"model3"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0942262	.00434183	22.69374	5.17e-114	1.0857494	1.1027692	"model3"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0793355	.00593112	13.893227	6.963e-44	1.067773	1.0910231	"model3"	"suspected"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"suspected"	""
"1.hypertension"	"Diagnosed hypertension"	1.0553661	.00436727	13.022133	9.158e-39	1.046841	1.0639606	"model3"	"suspected"	""
"bp_map"	"Mean Arterial Pressure"	1.0000734	9.458e-06	7.7573397	8.673e-15	1.0000548	1.0000919	"model3"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model3"	"suspected"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"suspected"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.8639606	.00966591	120.08132	0	1.8451117	1.883002	"model3"	"suspected"	""
