parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"
"2.eth5"	"Eth 5 categories"	1.3107688	.2400847	1.4774462	.13955607	.91541338	1.8768733	"crude"	"hes"
"3.eth5"	"Eth 5 categories"	1.0564309	.2116421	.27401936	.78406975	.71336867	1.5644734	"crude"	"hes"
"4.eth5"	"Eth 5 categories"	.82585399	.31338039	-.50423277	.61409781	.39255856	1.7374091	"crude"	"hes"
"5.eth5"	"Eth 5 categories"	1.2011886	.30299519	.72671683	.46739944	.7326539	1.9693527	"crude"	"hes"
"6.eth5"	"Eth 5 categories"	.99165197	.0469701	-.17698677	.85951878	.90373621	1.0881202	"crude"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"hes"
"2.eth5"	"Eth 5 categories"	1.451732	.26770552	2.0214142	.04323691	1.0113961	2.0837788	"model0"	"hes"
"3.eth5"	"Eth 5 categories"	1.2136663	.24301644	.9671007	.3334937	.81971028	1.7969592	"model0"	"hes"
"4.eth5"	"Eth 5 categories"	1.0047351	.38177498	.01243207	.9900809	.47710678	2.1158629	"model0"	"hes"
"5.eth5"	"Eth 5 categories"	1.4347827	.36235115	1.4294857	.15286469	.87461533	2.353722	"model0"	"hes"
"6.eth5"	"Eth 5 categories"	1.0031821	.04763201	.06691189	.94665185	.91403734	1.101021	"model0"	"hes"
"0b.male"	"Male"	1	0			1	1	"model0"	"hes"
"1.male"	"Male"	1.8954748	.07930143	15.284694	9.672e-53	1.7462487	2.0574531	"model0"	"hes"
"age1"	"Age spline 1"	1.0217722	.04320793	.50934039	.61051365	.94050072	1.1100667	"model0"	"hes"
"age2"	"Age spline 2"	1.2029239	.11551613	1.923943	.05436173	.9965469	1.45204	"model0"	"hes"
"age3"	"Age spline 3"	.54477893	.12074423	-2.7403812	.0061368	.35282625	.84116214	"model0"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"hes"
"2.eth5"	"Eth 5 categories"	1.4119264	.26063921	1.8686791	.06166748	.98329015	2.0274138	"model1"	"hes"
"3.eth5"	"Eth 5 categories"	1.1780488	.23592347	.81820833	.41323824	.79560284	1.7443365	"model1"	"hes"
"4.eth5"	"Eth 5 categories"	.97472059	.37041264	-.06737665	.94628186	.46281467	2.0528308	"model1"	"hes"
"5.eth5"	"Eth 5 categories"	1.424444	.35975061	1.4008095	.16127104	.8683006	2.3367954	"model1"	"hes"
"6.eth5"	"Eth 5 categories"	1.0094447	.04795617	.19787116	.84314587	.91969555	1.1079521	"model1"	"hes"
"0b.male"	"Male"	1	0			1	1	"model1"	"hes"
"1.male"	"Male"	1.888769	.07908774	15.187133	4.303e-52	1.7399501	2.0503165	"model1"	"hes"
"age1"	"Age spline 1"	1.0220628	.04311556	.51731791	.60493425	.94095704	1.1101595	"model1"	"hes"
"age2"	"Age spline 2"	1.1996806	.11497286	1.8996509	.05747895	.9942365	1.4475767	"model1"	"hes"
"age3"	"Age spline 3"	.54998272	.12168035	-2.702304	.00688608	.35647235	.84853985	"model1"	"hes"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"hes"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1738344	.08277511	2.2728704	.02303399	1.0223104	1.3478169	"model1"	"hes"
