idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	dm_type
"crude_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	1.9775957	.10774127	12.51597	6.106e-36	1.7773102	2.2004513	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	2.5969018	.03796914	65.270714	0	2.5235398	2.6723965	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.7997009	.05509551	19.194688	4.099e-82	1.6948915	1.9109915	"crude"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	2.138263	.11652717	13.945818	3.336e-44	1.9216482	2.3792954	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	1.8078046	.02784733	38.439052	0	1.7540405	1.8632167	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.2675474	.0392375	7.658874	1.876e-14	1.1929298	1.3468323	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"1.male"	"Male"	.83216132	.00900173	-16.98475	1.065e-64	.81470396	.84999274	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age1"	"Age spline 1"	1.0489852	.00213013	23.550591	1.24e-122	1.0448185	1.0531685	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age2"	"Age spline 2"	.85607508	.00528518	-25.170714	8.38e-140	.84577875	.86649676	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age3"	"Age spline 3"	1.6273296	.02591046	30.582729	2.08e-205	1.5773303	1.6789139	"model0"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
