idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	dm_type
"model1_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	2.1298684	.1164152	13.832462	1.624e-43	1.9134956	2.3707081	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	1.74332	.02698832	35.901536	2.89e-282	1.6912183	1.7970268	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.2472927	.03878856	7.1057261	1.197e-12	1.173539	1.3256815	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"1.male"	"Male"	.83524446	.00907205	-16.575065	1.055e-61	.8176515	.85321596	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age1"	"Age spline 1"	1.0501125	.00214946	23.888626	4.02e-126	1.0459081	1.0543338	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age2"	"Age spline 2"	.85729157	.00532885	-24.771441	1.82e-135	.84691058	.86779981	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age3"	"Age spline 3"	1.6183112	.02592787	30.045958	2.47e-198	1.5682831	1.6699352	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1169753	.01960962	6.3012332	2.953e-10	1.0791949	1.1560784	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2487026	.02193615	12.643203	1.220e-36	1.2064403	1.2924454	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3938523	.02437928	18.985733	2.238e-80	1.3468796	1.4424633	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6120522	.0287025	26.818843	1.95e-158	1.5567666	1.6693012	"model1"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	1.6433467	.09184376	8.8880027	6.222e-19	1.472845	1.8335864	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	1.333123	.02223744	17.236936	1.403e-66	1.2902432	1.3774279	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.0730014	.0343633	2.2001227	.02779819	1.0077208	1.142511	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.male"	"Male"	.87002942	.01010442	-11.988089	4.103e-33	.85044882	.89006084	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age1"	"Age spline 1"	1.045642	.0025083	18.605484	2.901e-77	1.0407374	1.0505697	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age2"	"Age spline 2"	.8478175	.00603182	-23.204633	4.09e-119	.8360774	.85972246	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age3"	"Age spline 3"	1.6427536	.02990494	27.267063	1.04e-163	1.5851743	1.7024243	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.110303	.02049611	5.668113	1.444e-08	1.0708494	1.1512102	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2313621	.02278467	11.247573	2.381e-29	1.187505	1.2768389	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3492056	.02500377	16.16191	9.362e-59	1.3010785	1.399113	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.5381726	.02934908	22.567301	9.08e-113	1.4817118	1.5967849	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0196697	.00102133	19.447168	3.080e-84	1.0176699	1.0216734	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0106173	.00024261	43.994012	0	1.0101419	1.0110929	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0640079	.0133296	4.9524389	7.329e-07	1.0382005	1.0904568	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.70772911	.01383628	-17.682329	5.738e-70	.68112349	.73537398	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.hypertension"	"Diagnosed hypertension"	1.0006097	.01450174	.0420529	.96645652	.97258666	1.0294401	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"bp_map"	"Mean Arterial Pressure"	1.0001246	.00001664	7.4869448	7.050e-14	1.0000919	1.0001572	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6631386	.02899689	29.177247	3.77e-187	1.6072658	1.7209536	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2858988	.02092725	15.451118	7.415e-54	1.2455294	1.3275766	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.cancer"	"Cancer"	1.2372467	.02195197	11.998722	3.608e-33	1.1949611	1.2810286	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_liver_disease"	"Chronic liver disease"	1.5408763	.07356553	9.0558706	1.355e-19	1.403231	1.6920236	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.stroke"	"Stroke"	1.5697567	.03376018	20.966589	1.324e-97	1.5049632	1.6373398	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.dementia"	"Dementia"	3.6469166	.12306914	38.341699	0	3.4135095	3.8962834	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.other_neuro"	"Neurological disease"	1.8792949	.06069343	19.534914	5.544e-85	1.7640247	2.0020975	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.egfr60"	"CKD defined by egfr<60"	1.1392601	.02055712	7.2255047	4.992e-13	1.099673	1.1802722	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.esrf"	"end stage renal failure"	3.2138321	.22421099	16.734387	7.361e-63	2.8031068	3.684739	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.3162025	.07868941	4.5956319	4.314e-06	1.1706673	1.4798304	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.ra_sle_psoriasis"	"Autoimmune disease"	1.1421449	.02354211	6.448029	1.133e-10	1.0969229	1.1892313	"model2"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	1.5796163	.0947453	7.6222464	2.493e-14	1.4044186	1.7766694	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	1.3374951	.02355119	16.514735	2.874e-61	1.2921231	1.3844604	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.0936554	.03713357	2.636705	.00837156	1.0232438	1.1689122	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.male"	"Male"	.92119047	.01140929	-6.6278527	3.406e-11	.8990979	.94382589	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"age1"	"Age spline 1"	1.0344096	.00260235	13.44741	3.188e-41	1.0293216	1.0395227	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"age2"	"Age spline 2"	.89633166	.00680236	-14.421282	3.802e-47	.88309794	.9097637	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"age3"	"Age spline 3"	1.3769561	.02680176	16.433783	1.096e-60	1.325415	1.4305015	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1106804	.02174757	5.3611147	8.271e-08	1.0688635	1.1541333	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2146421	.02391495	9.876103	5.285e-23	1.1686625	1.2624307	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3045571	.0257346	13.47735	2.126e-41	1.2550808	1.3559838	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4512537	.02964036	18.234836	2.731e-74	1.394307	1.5105262	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0219655	.00107673	20.622609	1.720e-94	1.0198573	1.024078	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0107342	.00024593	43.881335	0	1.0102523	1.0112163	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0829439	.01440068	5.992242	2.070e-09	1.0550837	1.1115397	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.70901328	.01476453	-16.513644	2.927e-61	.68065792	.73854989	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.hypertension"	"Diagnosed hypertension"	1.0117852	.01551137	.76423872	.444725	.9818357	1.0426483	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"bp_map"	"Mean Arterial Pressure"	1.000123	.00001722	7.1449236	9.005e-13	1.0000893	1.0001568	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1o.asthma"	"Asthma category"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6884921	.03116005	28.385467	3.06e-177	1.6285108	1.7506826	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2989075	.02230118	15.232152	2.164e-52	1.2559253	1.3433608	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.cancer"	"Cancer"	1.3115851	.02453919	14.497202	1.262e-47	1.2643603	1.3605737	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.chronic_liver_disease"	"Chronic liver disease"	1.5333677	.07672967	8.5425001	1.313e-17	1.3901198	1.691377	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.stroke"	"Stroke"	1.4057457	.03191007	15.003162	7.000e-51	1.344574	1.4697005	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.dementia"	"Dementia"	1.6903777	.06159034	14.407569	4.637e-47	1.5738723	1.8155073	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.other_neuro"	"Neurological disease"	1.6101756	.05454689	14.061229	6.573e-45	1.5067376	1.7207147	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.egfr60"	"CKD defined by egfr<60"	1.1513726	.02197748	7.384447	1.531e-13	1.1090934	1.1952636	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.esrf"	"end stage renal failure"	3.2856758	.24057035	16.247011	2.345e-59	2.8464366	3.792695	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.3409822	.08480008	4.6397039	3.489e-06	1.1846644	1.5179263	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.ra_sle_psoriasis"	"Autoimmune disease"	1.1506062	.02526445	6.3891076	1.669e-10	1.1021392	1.2012046	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	"1"
"model3_confirmed_eth5_1"	"2.hh_total_cat"	"Number of people in household"	1.1860038	.01782302	11.351603	7.282e-30	1.1515808	1.2214558	"model3"	"confirmed"	"eth5"	""	"2"
"model3_confirmed_eth5_1"	"3.hh_total_cat"	"Number of people in household"	1.3844057	.04279487	10.522452	6.808e-26	1.3030197	1.4708751	"model3"	"confirmed"	"eth5"	""	"3"
"model3_confirmed_eth5_1"	"4.hh_total_cat"	"Number of people in household"	2.7588002	.10411348	26.890074	2.87e-159	2.5621056	2.9705952	"model3"	"confirmed"	"eth5"	""	"4"
"model3_confirmed_eth5_1"	"0b.carehome"	"Care home y/n"	1	0			1	1	"model3"	"confirmed"	"eth5"	""	""
"model3_confirmed_eth5_1"	"1.carehome"	"Care home y/n"	4.2202276	.16551371	36.713935	4.38e-295	3.9079813	4.5574222	"model3"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_2"	"1.dm_type"	"Diabetes Type"	1.623976	.28783432	2.7357034	.00622471	1.147393	2.2985131	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_2"	"2.dm_type"	"Diabetes Type"	1.6254383	.0447573	17.641847	1.176e-69	1.5400408	1.7155713	"crude"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_2"	"3.dm_type"	"Diabetes Type"	1.4292819	.07357462	6.9385292	3.962e-12	1.2921142	1.5810109	"crude"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"1.dm_type"	"Diabetes Type"	1.6390442	.29058529	2.7870423	.00531915	1.1579281	2.3200628	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"2.dm_type"	"Diabetes Type"	1.5971893	.0508543	14.706261	5.877e-49	1.500563	1.7000376	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"3.dm_type"	"Diabetes Type"	1.3853509	.07274149	6.2077354	5.375e-10	1.2498711	1.535516	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"1.male"	"Male"	.89625771	.01959726	-5.0091028	5.468e-07	.8586592	.93550256	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0110797	.00286762	3.8850642	.0001023	1.0054749	1.0167158	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age2"	"Age spline 2"	.97530667	.01018785	-2.3936276	.01668268	.95554187	.99548029	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age3"	"Age spline 3"	1.0517622	.03184385	1.6668619	.09554188	.9911651	1.116064	"model0"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1.dm_type"	"Diabetes Type"	1.6555949	.29352769	2.8436341	.00446022	1.1696093	2.3435128	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"2.dm_type"	"Diabetes Type"	1.5421435	.04940525	13.521145	1.173e-41	1.4482885	1.6420808	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"3.dm_type"	"Diabetes Type"	1.3556781	.07141953	5.7762253	7.640e-09	1.2226827	1.5031399	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1.male"	"Male"	.89151792	.01958302	-5.2276306	1.717e-07	.85395041	.93073813	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0111091	.00287796	3.8814071	.00010385	1.0054841	1.0167655	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age2"	"Age spline 2"	.9795688	.01026933	-1.9690705	.04894499	.95964666	.99990454	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age3"	"Age spline 3"	1.0379218	.03152059	1.2256103	.22034537	.9779453	1.1015767	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.2944318	.07692239	4.3427725	.00001407	1.1521155	1.4543279	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.5376157	.08395513	7.8796018	3.284e-15	1.3815655	1.7112921	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6840187	.08695293	10.093759	5.887e-24	1.5219339	1.8633653	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9228373	.09987701	12.587026	2.489e-36	1.7367167	2.128904	"model1"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.dm_type"	"Diabetes Type"	1.1378161	.20997836	.69961617	.48416704	.79247764	1.6336429	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"2.dm_type"	"Diabetes Type"	1.2206121	.04173805	5.8299798	5.543e-09	1.1414881	1.3052207	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"3.dm_type"	"Diabetes Type"	1.1544164	.06255867	2.6498061	.0080538	1.0380906	1.2837774	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.male"	"Male"	1.0818814	.02763384	3.0812122	.0020616	1.0290534	1.1374213	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0059436	.00366814	1.6251335	.10413412	.9987798	1.0131588	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age2"	"Age spline 2"	.97157988	.01212473	-2.3103508	.02086874	.94810412	.99563693	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age3"	"Age spline 3"	1.0600953	.03723917	1.6613126	.09665068	.98956377	1.135654	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3253887	.08576023	4.353645	.00001339	1.1675235	1.5045993	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.5489603	.09245826	7.3308781	2.286e-13	1.3779442	1.7412012	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.7343498	.09792401	9.7523535	1.802e-22	1.5526607	1.9372997	"model2"	"confirmed"	"eth5"	""	""
