idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	hh_total_cat
"model1_confirmed_eth5_1"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1248347	.0209616	6.3125488	2.745e-10	1.0844919	1.1666782	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.261894	.02359894	12.43844	1.616e-35	1.2164784	1.3090052	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3957146	.02599751	17.899421	1.192e-71	1.3456793	1.4476103	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.5876537	.03024248	24.267338	4.34e-130	1.5294723	1.6480482	"model1"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	"1"
"model2_confirmed_eth5_1"	"2.hh_total_cat"	"Number of people in household"	1.2628127	.02370217	12.432055	1.751e-35	1.2172014	1.3101332	"model2"	"confirmed"	"eth5"	""	"2"
"model2_confirmed_eth5_1"	"3.hh_total_cat"	"Number of people in household"	1.8589131	.07151356	16.115981	1.970e-58	1.723903	2.0044968	"model2"	"confirmed"	"eth5"	""	"3"
"model2_confirmed_eth5_1"	"4.hh_total_cat"	"Number of people in household"	8.2680132	.22343546	78.167108	0	7.8414833	8.7177438	"model2"	"confirmed"	"eth5"	""	"4"
"model2_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.male"	"Male"	.96522132	.01457431	-2.3443143	.0190621	.93707473	.99421333	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age1"	"Age spline 1"	1.0373991	.00400269	9.5160618	1.799e-21	1.0295835	1.0452739	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age2"	"Age spline 2"	.86583513	.00936927	-13.312974	1.946e-40	.84766506	.88439468	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"age3"	"Age spline 3"	1.538209	.04153352	15.948121	2.936e-57	1.4589213	1.6218058	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1009409	.02664366	3.9736347	.00007078	1.0499394	1.1544198	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2316958	.02970064	8.642083	5.520e-18	1.1748378	1.2913055	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3236817	.03196202	11.613246	3.530e-31	1.2624965	1.3878321	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4705464	.03649987	15.536844	1.954e-54	1.4007202	1.5438535	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.016811	.00130162	13.023356	9.012e-39	1.014263	1.0193653	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"hba1c_pct"	"HbA1c %"	1.053835	.00874519	6.3187678	2.637e-10	1.0368334	1.0711155	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0095803	.0002976	32.346108	1.57e-229	1.0089972	1.0101637	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0702724	.01732896	4.1944575	.00002735	1.0368415	1.1047812	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.69449483	.01854251	-13.654698	1.893e-42	.6590867	.73180519	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.hypertension"	"Diagnosed hypertension"	.98236397	.01705158	-1.0251008	.30531565	.94950558	1.0163595	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"bp_map"	"Mean Arterial Pressure"	1.0000447	.000082	.54541574	.58546761	.99988403	1.0002054	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6407899	.03420513	23.753244	1.02e-124	1.5751002	1.7092192	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2770107	.02408104	12.966929	1.884e-38	1.2306743	1.3250917	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.dm_type"	"Diabetes Type"	1.2264272	.08194781	3.0546291	.00225339	1.0758851	1.3980337	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"2.dm_type"	"Diabetes Type"	1.2271807	.02877122	8.7319103	2.504e-18	1.1720661	1.2848869	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"3.dm_type"	"Diabetes Type"	1.0323326	.03795371	.86552071	.38675306	.96056155	1.1094662	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.cancer"	"Cancer"	1.2725961	.02722681	11.267231	1.905e-29	1.2203359	1.3270943	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.chronic_liver_disease"	"Chronic liver disease"	1.5055392	.08434522	7.3032361	2.809e-13	1.3489784	1.6802703	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.stroke"	"Stroke"	1.4181696	.0353101	14.031725	9.970e-45	1.3506245	1.4890925	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.dementia"	"Dementia"	2.0047227	.07945514	17.548218	6.138e-69	1.8548885	2.1666602	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.other_neuro"	"Neurological disease"	1.6228246	.06313272	12.445528	1.479e-35	1.5036865	1.751402	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.egfr60"	"CKD defined by egfr<60"	1.144219	.02410956	6.393804	1.618e-10	1.0979276	1.1924622	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.esrf"	"end stage renal failure"	3.4288571	.28885391	14.627222	1.883e-48	2.9069826	4.0444208	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_1"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.2500442	.09540567	2.9241818	.00345363	1.0763663	1.451746	"model2"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"confirmed"	"eth5"	""	"1"
"crude_confirmed_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.3687304	.04522942	9.4987313	2.125e-21	1.2828921	1.4603122	"crude"	"confirmed"	"eth5"	""	"2"
"crude_confirmed_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.4938734	.05420131	11.062454	1.908e-28	1.3913301	1.6039744	"crude"	"confirmed"	"eth5"	""	"3"
"crude_confirmed_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.4958475	.09335766	6.4522525	1.102e-10	1.3236184	1.690487	"crude"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	"1"
"model0_confirmed_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.418177	.047519	10.426813	1.871e-25	1.3280339	1.5144388	"model0"	"confirmed"	"eth5"	""	"2"
"model0_confirmed_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.5721161	.05764497	12.338644	5.609e-35	1.4630983	1.689257	"model0"	"confirmed"	"eth5"	""	"3"
"model0_confirmed_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.6380405	.10297505	7.8501949	4.154e-15	1.4481517	1.8528286	"model0"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"1.male"	"Male"	.91083826	.02128221	-3.9969132	.00006417	.87006661	.95352049	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0114333	.00304379	3.7776609	.00015831	1.0054851	1.0174166	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age2"	"Age spline 2"	.99721716	.01094589	-.25388219	.79958657	.97599273	1.0189031	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_2"	"age3"	"Age spline 3"	.99525254	.03158043	-.14997173	.88078692	.93524148	1.0591143	"model0"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	"1"
"model1_confirmed_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.4169486	.04780129	10.330571	5.125e-25	1.32629	1.5138041	"model1"	"confirmed"	"eth5"	""	"2"
"model1_confirmed_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.519808	.05615144	11.329492	9.375e-30	1.4136435	1.6339455	"model1"	"confirmed"	"eth5"	""	"3"
"model1_confirmed_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.6111597	.10142002	7.576901	3.539e-14	1.4241534	1.8227219	"model1"	"confirmed"	"eth5"	""	"4"
"model1_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1.male"	"Male"	.90526507	.02126021	-4.2379058	.00002256	.8645403	.94790821	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0112081	.0030552	3.6890243	.00022512	1.0052377	1.017214	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age2"	"Age spline 2"	1.0009441	.01102982	.08563387	.93175748	.97955781	1.0227973	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"age3"	"Age spline 3"	.98391292	.03132763	-.50935819	.61050118	.92438852	1.0472703	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3046059	.08195136	4.2329505	.00002306	1.1534784	1.475534	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.5522652	.08978307	7.6022657	2.910e-14	1.3859016	1.7385991	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6808453	.0921507	9.4720673	2.744e-21	1.5095985	1.8715181	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9926319	.10994945	12.49513	7.937e-36	1.7883786	2.2202132	"model1"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	"1"
"model2_confirmed_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.2502506	.05226884	5.3423029	9.177e-08	1.1518904	1.3570098	"model2"	"confirmed"	"eth5"	""	"2"
"model2_confirmed_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.394113	.06412171	7.2238521	5.054e-13	1.2739351	1.5256281	"model2"	"confirmed"	"eth5"	""	"3"
"model2_confirmed_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.510376	.12973837	4.8005581	1.582e-06	1.2763463	1.7873172	"model2"	"confirmed"	"eth5"	""	"4"
"model2_confirmed_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.male"	"Male"	1.1496237	.0375516	4.2687254	.00001966	1.0783304	1.2256306	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age1"	"Age spline 1"	1.0012669	.00533054	.23781857	.81202182	.99087355	1.0117693	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age2"	"Age spline 2"	.97377376	.01624231	-1.593325	.1110873	.94245414	1.0061342	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"age3"	"Age spline 3"	1.0731784	.04857506	1.5603253	.11868304	.98207385	1.1727345	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3977531	.11292434	4.144899	.000034	1.1930591	1.6375665	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.4640828	.11079978	5.0374717	4.717e-07	1.2622572	1.6981787	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6524662	.11842136	7.0087215	2.405e-12	1.4359278	1.9016588	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.853729	.13376509	8.5532057	1.197e-17	1.6092501	2.1353494	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0211823	.00289021	7.4060443	1.301e-13	1.0155332	1.0268627	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"hba1c_pct"	"HbA1c %"	1.0539397	.0159429	3.4729549	.00051476	1.0231509	1.085655	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0071754	.00116548	6.178615	6.467e-10	1.0048937	1.0094623	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.94416439	.03700352	-1.4659945	.14264978	.87435436	1.0195482	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.58880018	.03671418	-8.4945062	1.988e-17	.52106501	.66534049	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.hypertension"	"Diagnosed hypertension"	1.0715612	.04250156	1.742588	.0814056	.99141523	1.1581862	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"bp_map"	"Mean Arterial Pressure"	1.0002292	.00058235	.39359417	.69388069	.99908844	1.0013712	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.4740236	.11267894	5.0756159	3.862e-07	1.268925	1.7122727	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.1826028	.06162908	3.2183425	.00128934	1.067776	1.3097778	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.dm_type"	"Diabetes Type"	.81504693	.17586479	-.94780148	.34323053	.53396975	1.2440808	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"2.dm_type"	"Diabetes Type"	1.0425567	.05098613	.8521867	.39411048	.94726563	1.1474338	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"3.dm_type"	"Diabetes Type"	1.0366996	.0643379	.5807609	.56140161	.91796705	1.1707894	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.cancer"	"Cancer"	1.143313	.09440363	1.6220156	.1048	.97248126	1.3441541	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.chronic_liver_disease"	"Chronic liver disease"	1.0977667	.16354784	.62610006	.53124932	.81977763	1.4700227	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.stroke"	"Stroke"	1.2698027	.1122378	2.7023603	.00688491	1.0678213	1.5099894	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.dementia"	"Dementia"	.93186337	.27335662	-.24056756	.8098903	.52439349	1.6559499	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.other_neuro"	"Neurological disease"	1.0964918	.16641066	.60695744	.54387915	.81436957	1.4763496	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.egfr60"	"CKD defined by egfr<60"	1.2093123	.08455931	2.7179988	.00656781	1.0544343	1.3869393	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.esrf"	"end stage renal failure"	4.4945838	.68416557	9.8730326	5.449e-23	3.3351823	6.0570252	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"confirmed"	"eth5"	""	""
"model2_confirmed_eth5_2"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.66277099	.12191708	-2.2360672	.02534737	.46215165	.95047888	"model2"	"confirmed"	"eth5"	""	""
"crude_confirmed_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"confirmed"	"eth5"	""	"1"
"crude_confirmed_eth5_3"	"2.hh_total_cat"	"Number of people in household"	.98909308	.05612856	-.19325665	.84675798	.88498031	1.1054541	"crude"	"confirmed"	"eth5"	""	"2"
"crude_confirmed_eth5_3"	"3.hh_total_cat"	"Number of people in household"	.88608085	.06940581	-1.5440911	.12256626	.75997553	1.0331113	"crude"	"confirmed"	"eth5"	""	"3"
"crude_confirmed_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.2650744	.19870687	1.4969692	.13440126	.92985819	1.7211368	"crude"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	"1"
"model0_confirmed_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.1282489	.0657023	2.0721059	.03825557	1.0065518	1.2646597	"model0"	"confirmed"	"eth5"	""	"2"
"model0_confirmed_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.0983499	.08780549	1.1734471	.24061656	.93905935	1.2846606	"model0"	"confirmed"	"eth5"	""	"3"
"model0_confirmed_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.7582357	.27729477	3.5781111	.00034609	1.2907212	2.3950895	"model0"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_3"	"1.male"	"Male"	.76513594	.03950218	-5.1852384	2.157e-07	.69150138	.84661148	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_3"	"age1"	"Age spline 1"	1.0658806	.00893437	7.6115709	2.708e-14	1.0485126	1.0835363	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_3"	"age2"	"Age spline 2"	.9121471	.02453618	-3.4184447	.0006298	.86530278	.96152741	"model0"	"confirmed"	"eth5"	""	""
