idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	hh_total_cat
"crude_confirmed_eth5_1"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"confirmed"	"eth5"	""	"1"
"crude_confirmed_eth5_1"	"2.hh_total_cat"	"Number of people in household"	.83011956	.01046996	-14.761873	2.580e-49	.80985037	.85089605	"crude"	"confirmed"	"eth5"	""	"2"
"crude_confirmed_eth5_1"	"3.hh_total_cat"	"Number of people in household"	1.0469602	.02852104	1.6845816	.09206933	.99252617	1.1043797	"crude"	"confirmed"	"eth5"	""	"3"
"crude_confirmed_eth5_1"	"4.hh_total_cat"	"Number of people in household"	10.076483	.20246	114.97943	0	9.6873806	10.481214	"crude"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_1"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	"1"
"model0_confirmed_eth5_1"	"2.hh_total_cat"	"Number of people in household"	1.2424321	.01752668	15.387723	1.979e-53	1.2085509	1.277263	"model0"	"confirmed"	"eth5"	""	"2"
"model0_confirmed_eth5_1"	"3.hh_total_cat"	"Number of people in household"	1.6329513	.04598771	17.41294	6.582e-68	1.5452595	1.7256195	"model0"	"confirmed"	"eth5"	""	"3"
"model0_confirmed_eth5_1"	"4.hh_total_cat"	"Number of people in household"	7.5439379	.15999452	95.280573	0	7.2367825	7.8641301	"model0"	"confirmed"	"eth5"	""	"4"
"model0_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"1.male"	"Male"	.88843109	.01023746	-10.2662	1.001e-24	.86859092	.90872444	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age1"	"Age spline 1"	1.0441317	.0022107	20.396903	1.781e-92	1.0398078	1.0484736	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age2"	"Age spline 2"	.90446778	.00591854	-15.34438	3.862e-53	.89294173	.91614262	"model0"	"confirmed"	"eth5"	""	""
"model0_confirmed_eth5_1"	"age3"	"Age spline 3"	1.3656129	.02309341	18.426453	8.060e-76	1.3210926	1.4116336	"model0"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	"1"
"model1_confirmed_eth5_1"	"2.hh_total_cat"	"Number of people in household"	1.2586265	.01780959	16.255883	2.029e-59	1.2241999	1.2940212	"model1"	"confirmed"	"eth5"	""	"2"
"model1_confirmed_eth5_1"	"3.hh_total_cat"	"Number of people in household"	1.5671761	.04436953	15.868856	1.041e-56	1.4825822	1.6565969	"model1"	"confirmed"	"eth5"	""	"3"
"model1_confirmed_eth5_1"	"4.hh_total_cat"	"Number of people in household"	7.3489227	.15622186	93.826953	0	7.0490244	7.66158	"model1"	"confirmed"	"eth5"	""	"4"
"model1_confirmed_eth5_1"	"0b.male"	"Male"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"1.male"	"Male"	.89028637	.01030421	-10.040752	1.009e-23	.87031783	.91071307	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age1"	"Age spline 1"	1.044713	.00223047	20.488077	2.750e-93	1.0403505	1.0490938	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age2"	"Age spline 2"	.90643239	.00597349	-14.907011	2.967e-50	.89479986	.91821616	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"age3"	"Age spline 3"	1.3565078	.02309232	17.911477	9.595e-72	1.3119944	1.4025314	"model1"	"confirmed"	"eth5"	""	""
"model1_confirmed_eth5_1"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"confirmed"	"eth5"	""	""
