parm	label	estimate	stderr	dof	t	p	min95	max95	model	outcome	idstr4
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.0867765	.01295865	2.904e+09	6.9789053	2.975e-12	1.0616725	1.1124741	"model4"	"onsdeath"	"mi"
"1b.hh_total_cat"	"Number of people in household"	1	0	0					"model4"	"onsdeath"	"mi"
"2.hh_total_cat"	"Number of people in household"	.99007415	.0106731	7084173.5	-.92535659	.35478048	.9693747	1.0112156	"model4"	"onsdeath"	"mi"
"3.hh_total_cat"	"Number of people in household"	1.3175304	.0312214	211255.66	11.636919	2.735e-31	1.2577365	1.3801669	"model4"	"onsdeath"	"mi"
"4.hh_total_cat"	"Number of people in household"	3.7838973	.07294614	27697696	69.029537	0	3.6435928	3.9296045	"model4"	"onsdeath"	"mi"
"9.hh_total_cat"	"Number of people in household"	.89098192	.00984113	3.596e+08	-10.450735	1.454e-25	.87190094	.91048048	"model4"	"onsdeath"	"mi"
"1b.eth5"	"Eth 5 categories"	1	0	0					"model5"	"onsdeath"	"mi"
"2.eth5"	"Eth 5 categories"	.90570567	.09551761	202.60993	-.93911372	.34879056	.73566173	1.1150543	"model5"	"onsdeath"	"mi"
"3.eth5"	"Eth 5 categories"	1.1090512	.11041456	296.93065	1.0396469	.29934978	.9117192	1.3490935	"model5"	"onsdeath"	"mi"
"4.eth5"	"Eth 5 categories"	.84477241	.1565037	248.36829	-.91054071	.36342025	.58650642	1.2167649	"model5"	"onsdeath"	"mi"
"5.eth5"	"Eth 5 categories"	1.0677636	.12741004	265.56743	.54948108	.58313711	.8441919	1.350545	"model5"	"onsdeath"	"mi"
"0b.male"	"Male"	1	0	0					"model5"	"onsdeath"	"mi"
"1.male"	"Male"	1.518247	.02649921	1.070e+09	23.923499	1.74e-126	1.4671878	1.5710831	"model5"	"onsdeath"	"mi"
"age1"	"Age spline 1"	1.0193298	.03901437	1.368e+10	.50021236	.61692556	.94566083	1.0987378	"model5"	"onsdeath"	"mi"
"age2"	"Age spline 2"	1.2481844	.10287807	5.665e+10	2.6896896	.00715185	1.0619911	1.467022	"model5"	"onsdeath"	"mi"
"age3"	"Age spline 3"	.52539493	.09761073	4.800e+10	-3.4642384	.00053173	.36504384	.75618268	"model5"	"onsdeath"	"mi"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0	0					"model5"	"onsdeath"	"mi"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0455012	.02598293	1.561e+09	1.7904457	.07338229	.99579597	1.0976874	"model5"	"onsdeath"	"mi"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.055374	.02640371	1.978e+09	2.1542289	.03122223	1.004872	1.1084142	"model5"	"onsdeath"	"mi"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0772276	.02683657	1.665e+08	2.9860627	.00282595	1.0258923	1.1311316	"model5"	"onsdeath"	"mi"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0905965	.02938871	35323706	3.2183027	.00128952	1.0344904	1.1497456	"model5"	"onsdeath"	"mi"
"1b.bmicat_sa"	"BMI with SA categories"	1	0	0					"model5"	"onsdeath"	"mi"
"2.bmicat_sa"	"BMI with SA categories"	.76960712	.02001842	1.684e+09	-10.067778	7.669e-24	.7313551	.80985984	"model5"	"onsdeath"	"mi"
"3.bmicat_sa"	"BMI with SA categories"	.63658693	.0184209	3.217e+09	-15.607517	6.471e-55	.60148738	.6737347	"model5"	"onsdeath"	"mi"
"4.bmicat_sa"	"BMI with SA categories"	.60879089	.02192477	1.790e+09	-13.780352	3.346e-43	.56730066	.65331555	"model5"	"onsdeath"	"mi"
"5.bmicat_sa"	"BMI with SA categories"	.58463949	.03249557	5.872e+10	-9.6570412	4.589e-22	.5242959	.65192829	"model5"	"onsdeath"	"mi"
"6.bmicat_sa"	"BMI with SA categories"	.5516247	.04952689	2.406e+10	-6.6257854	3.454e-11	.46261499	.65776037	"model5"	"onsdeath"	"mi"
"7.bmicat_sa"	"BMI with SA categories"	.7541111	.02423806	9.862e+09	-8.780484	1.628e-18	.70807077	.80314507	"model5"	"onsdeath"	"mi"
"0b.hba1ccat"	"HbA1c category"	1	0	0					"model5"	"onsdeath"	"mi"
"1.hba1ccat"	"HbA1c category"	1.0345656	.0365185	1.174e+09	.96269494	.33570063	.96541039	1.1086745	"model5"	"onsdeath"	"mi"
"2.hba1ccat"	"HbA1c category"	1.0881245	.06642806	3.546e+08	1.3834236	.166535	.96541544	1.2264304	"model5"	"onsdeath"	"mi"
"3.hba1ccat"	"HbA1c category"	1.1119439	.06533591	2.393e+09	1.8058697	.0709387	.99098655	1.2476651	"model5"	"onsdeath"	"mi"
"4.hba1ccat"	"HbA1c category"	1.1171073	.06583168	6.026e+09	1.8792064	.06021632	.99525222	1.2538818	"model5"	"onsdeath"	"mi"
"5.hba1ccat"	"HbA1c category"	1.1001915	.02032952	2.524e+09	5.1674083	2.374e-07	1.0610592	1.1407669	"model5"	"onsdeath"	"mi"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0041609	.00053696	1.583e+09	7.7652041	8.151e-15	1.0031091	1.0052139	"model5"	"onsdeath"	"mi"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0	0					"model5"	"onsdeath"	"mi"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0705404	.01774022	19152247	4.1133599	.00003899	1.0363288	1.1058814	"model5"	"onsdeath"	"mi"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.81729044	.03776373	3.192e+09	-4.3665483	.00001262	.74652747	.89476099	"model5"	"onsdeath"	"mi"
"0b.hypertension"	"Diagnosed hypertension"	1	0	0					"model5"	"onsdeath"	"mi"
"1.hypertension"	"Diagnosed hypertension"	.96428008	.01660563	6.936e+09	-2.1121897	.03467018	.93227678	.99738199	"model5"	"onsdeath"	"mi"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0	0					"model5"	"onsdeath"	"mi"
"2.bp_cat"	"Blood pressure four levels non-missing"	.85196367	.01990611	2.284e+10	-6.8569033	7.037e-12	.81382827	.89188607	"model5"	"onsdeath"	"mi"
"3.bp_cat"	"Blood pressure four levels non-missing"	.8502656	.01755372	1.254e+09	-7.856943	3.936e-15	.81654771	.88537582	"model5"	"onsdeath"	"mi"
"4.bp_cat"	"Blood pressure four levels non-missing"	.80591618	.01723164	1.301e+09	-10.091725	6.010e-24	.77284067	.84040724	"model5"	"onsdeath"	"mi"
"5.bp_cat"	"Blood pressure four levels non-missing"	.74882754	.03745212	1.315e+10	-5.7832716	7.326e-09	.6789058	.82595065	"model5"	"onsdeath"	"mi"
"0b.asthma"	"Asthma category"	1	0	0					"model5"	"onsdeath"	"mi"
"1.asthma"	"Asthma category"	.93787627	.02451569	3.673e+09	-2.4536456	.01414163	.89103651	.98717828	"model5"	"onsdeath"	"mi"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0	0					"model5"	"onsdeath"	"mi"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.2465224	.02666525	5.023e+09	10.301074	6.968e-25	1.1953399	1.2998964	"model5"	"onsdeath"	"mi"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0	0					"model5"	"onsdeath"	"mi"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.0928227	.0185724	1.027e+10	5.2229815	1.761e-07	1.0570211	1.129837	"model5"	"onsdeath"	"mi"
"0b.dm_type"	"Diabetes Type"	1	0	0					"model5"	"onsdeath"	"mi"
"1.dm_type"	"Diabetes Type"	1.2827409	.1273767	5.553e+09	2.5075337	.0121577	1.0558793	1.558345	"model5"	"onsdeath"	"mi"
"2.dm_type"	"Diabetes Type"	1.0992987	.02959428	1.221e+08	3.5166683	.000437	1.0427987	1.1588599	"model5"	"onsdeath"	"mi"
"3.dm_type"	"Diabetes Type"	.9759357	.03906845	8.875e+08	-.60848077	.54286866	.90228988	1.0555926	"model5"	"onsdeath"	"mi"
"0b.cancer"	"Cancer"	1	0	0					"model5"	"onsdeath"	"mi"
"1.cancer"	"Cancer"	1.2272789	.02428368	3.513e+09	10.350406	4.167e-25	1.1805948	1.2758089	"model5"	"onsdeath"	"mi"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0	0					"model5"	"onsdeath"	"mi"
"1.chronic_liver_disease"	"Chronic liver disease"	1.1273105	.08587205	2.632e+09	1.5731649	.11568065	.9709657	1.3088299	"model5"	"onsdeath"	"mi"
"0b.stroke"	"Stroke"	1	0	0					"model5"	"onsdeath"	"mi"
"1.stroke"	"Stroke"	1.0560734	.01946786	5.360e+09	2.9595937	.00308045	1.0185982	1.0949274	"model5"	"onsdeath"	"mi"
"0b.dementia"	"Dementia"	1	0	0					"model5"	"onsdeath"	"mi"
"1.dementia"	"Dementia"	1.1508806	.02403343	3.351e+09	6.7293854	1.704e-11	1.1047269	1.1989625	"model5"	"onsdeath"	"mi"
"0b.other_neuro"	"Neurological disease"	1	0	0					"model5"	"onsdeath"	"mi"
"1.other_neuro"	"Neurological disease"	1.1089917	.03193579	1.303e+10	3.5924127	.00032763	1.0481323	1.1733848	"model5"	"onsdeath"	"mi"
"0b.egfr60"	"CKD defined by egfr<60"	1	0	0					"model5"	"onsdeath"	"mi"
"1.egfr60"	"CKD defined by egfr<60"	1.0916428	.01820838	6.797e+09	5.2568821	1.465e-07	1.0565321	1.1279203	"model5"	"onsdeath"	"mi"
"0b.esrf"	"end stage renal failure"	1	0	0					"model5"	"onsdeath"	"mi"
"1.esrf"	"end stage renal failure"	1.7303166	.22416389	1.800e+09	4.2323505	.00002313	1.3423066	2.2304855	"model5"	"onsdeath"	"mi"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0	0					"model5"	"onsdeath"	"mi"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.5821441	.16309702	1.034e+08	4.4504651	8.568e-06	1.2927038	1.936391	"model5"	"onsdeath"	"mi"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0	0					"model5"	"onsdeath"	"mi"
"1.ra_sle_psoriasis"	"Autoimmune disease"	.98741698	.03006683	2.271e+09	-.41585758	.67751422	.93021111	1.0481409	"model5"	"onsdeath"	"mi"
