parm	label	estimate	stderr	dof	t	p	min95	max95	model	outcome	idstr4
"2.bp_cat"	"Blood pressure four levels non-missing"	.79671791	.01587777	9.701e+08	-11.403229	4.029e-30	.766198	.82845352	"model4"	"hes"	"mi"
"3.bp_cat"	"Blood pressure four levels non-missing"	.76605536	.01290025	85789644	-15.825617	2.072e-56	.74118404	.79176127	"model4"	"hes"	"mi"
"4.bp_cat"	"Blood pressure four levels non-missing"	.78235368	.01357835	19842679	-14.142174	2.088e-45	.75618815	.80942459	"model4"	"hes"	"mi"
"5.bp_cat"	"Blood pressure four levels non-missing"	.45011859	.01207993	3.526e+09	-29.743921	2.08e-194	.42705427	.47442857	"model4"	"hes"	"mi"
"0b.asthma"	"Asthma category"	1	0	0					"model4"	"hes"	"mi"
"1.asthma"	"Asthma category"	1.1291371	.01678153	7.162e+08	8.1719548	3.034e-16	1.0967203	1.162512	"model4"	"hes"	"mi"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0	0					"model4"	"hes"	"mi"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.8976537	.02867879	3.552e+08	42.389218	0	1.8422686	1.9547038	"model4"	"hes"	"mi"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0	0					"model4"	"hes"	"mi"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.3963822	.0192266	33995262	24.249258	6.75e-130	1.3592027	1.4345787	"model4"	"hes"	"mi"
"0b.dm_type"	"Diabetes Type"	1	0	0					"model4"	"hes"	"mi"
"1.dm_type"	"Diabetes Type"	1.7326778	.09295633	2.050e+08	10.245646	1.238e-24	1.5597383	1.9247923	"model4"	"hes"	"mi"
"2.dm_type"	"Diabetes Type"	1.2815114	.02787363	29193796	11.403836	4.002e-30	1.2280282	1.3373239	"model4"	"hes"	"mi"
"3.dm_type"	"Diabetes Type"	1.0700897	.02873391	69528911	2.5228194	.01164182	1.0152285	1.1279154	"model4"	"hes"	"mi"
"0b.cancer"	"Cancer"	1	0	0					"model4"	"hes"	"mi"
"1.cancer"	"Cancer"	1.5166661	.02241573	86544738	28.18171	9.82e-175	1.4733623	1.5612427	"model4"	"hes"	"mi"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0	0					"model4"	"hes"	"mi"
"1.chronic_liver_disease"	"Chronic liver disease"	2.0175	.07430618	3.446e+08	19.056299	5.826e-81	1.8769949	2.1685228	"model4"	"hes"	"mi"
"0b.stroke"	"Stroke"	1	0	0					"model4"	"hes"	"mi"
"1.stroke"	"Stroke"	1.5519641	.02786658	4.931e+09	24.478116	2.53e-132	1.4982965	1.6075541	"model4"	"hes"	"mi"
"0b.dementia"	"Dementia"	1	0	0					"model4"	"hes"	"mi"
"1.dementia"	"Dementia"	2.0039694	.07042673	71938750	19.779693	4.456e-87	1.8705822	2.1468682	"model4"	"hes"	"mi"
"0b.other_neuro"	"Neurological disease"	1	0	0					"model4"	"hes"	"mi"
"1.other_neuro"	"Neurological disease"	2.211253	.06042582	1.785e+08	29.039914	2.07e-185	2.0959363	2.3329144	"model4"	"hes"	"mi"
"0b.egfr60"	"CKD defined by egfr<60"	1	0	0					"model4"	"hes"	"mi"
"1.egfr60"	"CKD defined by egfr<60"	1.3273134	.01976511	35974290	19.015228	1.277e-80	1.2891344	1.3666232	"model4"	"hes"	"mi"
"0b.esrf"	"end stage renal failure"	1	0	0					"model4"	"hes"	"mi"
"1.esrf"	"end stage renal failure"	4.8957205	.21386145	41505353	36.360802	1.79e-289	4.4940022	5.3333483	"model4"	"hes"	"mi"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0	0					"model4"	"hes"	"mi"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.1275535	.05580999	7364666.3	2.4254273	.0152904	1.0233062	1.2424207	"model4"	"hes"	"mi"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0	0					"model4"	"hes"	"mi"
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.215664	.02373136	54527396	10.003959	1.464e-23	1.17003	1.2630779	"model4"	"hes"	"mi"
"1b.hh_total_cat"	"Number of people in household"	1	0	0					"model4"	"hes"	"mi"
"2.hh_total_cat"	"Number of people in household"	1.0225408	.01565539	1899125.7	1.4559191	.14541515	.99231261	1.0536898	"model4"	"hes"	"mi"
"3.hh_total_cat"	"Number of people in household"	1.2766271	.0358749	91843.407	8.6907533	3.658e-18	1.208214	1.348914	"model4"	"hes"	"mi"
"4.hh_total_cat"	"Number of people in household"	2.5220452	.09940363	1556987.3	23.47066	8.54e-122	2.3345526	2.7245957	"model4"	"hes"	"mi"
"9.hh_total_cat"	"Number of people in household"	.89389661	.01660082	19692919	-6.0397043	1.544e-09	.86194464	.92703304	"model4"	"hes"	"mi"
"1b.eth5"	"Eth 5 categories"	1	0	0					"model5"	"hes"	"mi"
"2.eth5"	"Eth 5 categories"	1.2695361	.23420306	322.13275	1.2936501	.19671311	.88312842	1.8250143	"model5"	"hes"	"mi"
"3.eth5"	"Eth 5 categories"	1.3235255	.25275055	186.36256	1.4677825	.14384901	.90806689	1.9290645	"model5"	"hes"	"mi"
"4.eth5"	"Eth 5 categories"	1.1667925	.41887488	106.77989	.42969334	.66828458	.57268031	2.377251	"model5"	"hes"	"mi"
"5.eth5"	"Eth 5 categories"	1.4747281	.38965985	92.469309	1.4702387	.14489166	.87261197	2.4923139	"model5"	"hes"	"mi"
"0b.male"	"Male"	1	0	0					"model5"	"hes"	"mi"
"1.male"	"Male"	1.7490275	.07583181	1.059e+08	12.894472	4.836e-38	1.6065397	1.9041528	"model5"	"hes"	"mi"
"age1"	"Age spline 1"	1.0236465	.04399096	4.648e+08	.54383637	.58655408	.94095709	1.1136025	"model5"	"hes"	"mi"
"age2"	"Age spline 2"	1.1577684	.11270705	3.391e+08	1.5048439	.13236421	.95666187	1.4011509	"model5"	"hes"	"mi"
"age3"	"Age spline 3"	.60993098	.13689914	2.833e+08	-2.2027578	.02761182	.39285142	.94696312	"model5"	"hes"	"mi"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0	0					"model5"	"hes"	"mi"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1553561	.08150181	1.036e+09	2.0471122	.04064707	1.0061666	1.3266666	"model5"	"hes"	"mi"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1551221	.08123812	8.266e+08	2.0504605	.04031951	1.0063848	1.3258418	"model5"	"hes"	"mi"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2005365	.0821799	23545804	2.6699996	.00758514	1.0498043	1.3729109	"model5"	"hes"	"mi"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3088787	.0924722	18334236	3.8099232	.00013901	1.1396253	1.5032692	"model5"	"hes"	"mi"
"1b.bmicat_sa"	"BMI with SA categories"	1	0	0					"model5"	"hes"	"mi"
"2.bmicat_sa"	"BMI with SA categories"	1.1966913	.10727135	1.122e+09	2.0031303	.0451633	1.0038769	1.4265395	"model5"	"hes"	"mi"
"3.bmicat_sa"	"BMI with SA categories"	1.2678123	.11776127	8.880e+08	2.5546831	.01062845	1.056795	1.5209648	"model5"	"hes"	"mi"
"4.bmicat_sa"	"BMI with SA categories"	1.4529968	.1467673	4.664e+08	3.6989207	.00021652	1.1920233	1.7711061	"model5"	"hes"	"mi"
"5.bmicat_sa"	"BMI with SA categories"	1.3672642	.1767667	9.554e+08	2.4195531	.01553959	1.0612187	1.7615704	"model5"	"hes"	"mi"
"6.bmicat_sa"	"BMI with SA categories"	1.7504651	.27633079	2.269e+08	3.5466662	.00039014	1.2846406	2.3852026	"model5"	"hes"	"mi"
"7.bmicat_sa"	"BMI with SA categories"	1.178675	.12365463	7.764e+09	1.5669729	.11712103	.9596097	1.4477498	"model5"	"hes"	"mi"
"0b.hba1ccat"	"HbA1c category"	1	0	0					"model5"	"hes"	"mi"
"1.hba1ccat"	"HbA1c category"	1.2236661	.10070667	43092452	2.452654	.01418067	1.0413813	1.4378582	"model5"	"hes"	"mi"
"2.hba1ccat"	"HbA1c category"	1.4038496	.18409849	41950215	2.5867204	.00968942	1.085664	1.8152888	"model5"	"hes"	"mi"
"3.hba1ccat"	"HbA1c category"	1.3034717	.16970538	6.659e+08	2.0356496	.04178555	1.0099026	1.6823785	"model5"	"hes"	"mi"
"4.hba1ccat"	"HbA1c category"	1.2055841	.15822452	3.725e+08	1.4245645	.15428312	.93214448	1.5592358	"model5"	"hes"	"mi"
"5.hba1ccat"	"HbA1c category"	.99852656	.0506843	3.897e+08	-.02904941	.97682518	.90396873	1.1029754	"model5"	"hes"	"mi"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0046482	.00120818	2.777e+08	3.8562141	.00011516	1.002283	1.007019	"model5"	"hes"	"mi"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0	0					"model5"	"hes"	"mi"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1924099	.05295288	2228482.2	3.9626931	.00007411	1.0930126	1.3008464	"model5"	"hes"	"mi"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.071121	.09668788	18114736	.76113127	.44657867	.89743358	1.2784235	"model5"	"hes"	"mi"
"0b.hypertension"	"Diagnosed hypertension"	1	0	0					"model5"	"hes"	"mi"
"1.hypertension"	"Diagnosed hypertension"	.92371197	.04138948	1.286e+09	-1.7710089	.07655921	.84605019	1.0085026	"model5"	"hes"	"mi"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0	0					"model5"	"hes"	"mi"
"2.bp_cat"	"Blood pressure four levels non-missing"	1.1560647	.07009773	7.809e+09	2.3917257	.01676937	1.0265255	1.3019508	"model5"	"hes"	"mi"
"3.bp_cat"	"Blood pressure four levels non-missing"	.99497681	.05552563	6.908e+08	-.09023851	.92809768	.89188908	1.1099798	"model5"	"hes"	"mi"
"4.bp_cat"	"Blood pressure four levels non-missing"	1.1440875	.06378761	1.363e+08	2.4143031	.01576534	1.0256548	1.2761956	"model5"	"hes"	"mi"
"5.bp_cat"	"Blood pressure four levels non-missing"	.76174391	.10426907	7.175e+08	-1.9881705	.04679284	.58249845	.99614648	"model5"	"hes"	"mi"
"0b.asthma"	"Asthma category"	1	0	0					"model5"	"hes"	"mi"
"1.asthma"	"Asthma category"	1.1869109	.07206753	9.933e+08	2.8221032	.00477098	1.0537422	1.3369091	"model5"	"hes"	"mi"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0	0					"model5"	"hes"	"mi"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.3505259	.0697384	1.427e+08	5.8192479	5.911e-09	1.2205304	1.4943669	"model5"	"hes"	"mi"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0	0					"model5"	"hes"	"mi"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.0962422	.04870431	7.799e+08	2.0682298	.03861842	1.0048217	1.1959804	"model5"	"hes"	"mi"
"0b.dm_type"	"Diabetes Type"	1	0	0					"model5"	"hes"	"mi"
"1.dm_type"	"Diabetes Type"	1.3069584	.27412465	5.435e+09	1.2763398	.20183543	.86642043	1.9714913	"model5"	"hes"	"mi"
"2.dm_type"	"Diabetes Type"	1.0352079	.06951151	13692436	.51531819	.6063307	.90755219	1.1808196	"model5"	"hes"	"mi"
"3.dm_type"	"Diabetes Type"	.9591149	.10064876	2.303e+08	-.39779599	.69078057	.78081153	1.178135	"model5"	"hes"	"mi"
"0b.cancer"	"Cancer"	1	0	0					"model5"	"hes"	"mi"
"1.cancer"	"Cancer"	.99227714	.0555507	3.946e+08	-.13848532	.88985687	.88916043	1.1073524	"model5"	"hes"	"mi"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0	0					"model5"	"hes"	"mi"
"1.chronic_liver_disease"	"Chronic liver disease"	.85616451	.14935586	2.286e+09	-.8901969	.37336017	.60822902	1.2051672	"model5"	"hes"	"mi"
"0b.stroke"	"Stroke"	1	0	0					"model5"	"hes"	"mi"
"1.stroke"	"Stroke"	1.0671686	.05074426	2.174e+08	1.3671611	.17157481	.97220558	1.1714075	"model5"	"hes"	"mi"
"0b.dementia"	"Dementia"	1	0	0					"model5"	"hes"	"mi"
"1.dementia"	"Dementia"	1.0590062	.05903887	3.920e+08	1.0283697	.30377594	.94938987	1.1812788	"model5"	"hes"	"mi"
"0b.other_neuro"	"Neurological disease"	1	0	0					"model5"	"hes"	"mi"
"1.other_neuro"	"Neurological disease"	1.0917089	.07549626	1.222e+10	1.2688198	.20450536	.95332869	1.2501755	"model5"	"hes"	"mi"
"0b.egfr60"	"CKD defined by egfr<60"	1	0	0					"model5"	"hes"	"mi"
"1.egfr60"	"CKD defined by egfr<60"	1.302477	.05772079	3.399e+08	5.9632362	2.473e-09	1.1941202	1.4206662	"model5"	"hes"	"mi"
"0b.esrf"	"end stage renal failure"	1	0	0					"model5"	"hes"	"mi"
"1.esrf"	"end stage renal failure"	1.6176703	.43982991	1.244e+08	1.7690439	.07688656	.94941482	2.7562843	"model5"	"hes"	"mi"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0	0					"model5"	"hes"	"mi"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.8545447	.42074391	97388354	2.7224151	.00648067	1.1888407	2.8930167	"model5"	"hes"	"mi"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0	0					"model5"	"hes"	"mi"
