parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"ae"	""
"2.eth5"	"Eth 5 categories"	.56348739	.06844495	-4.7223673	2.331e-06	.44411104	.71495192	"crude"	"ae"	""
"3.eth5"	"Eth 5 categories"	.8801248	.17002518	-.66098747	.50862035	.60270746	1.2852333	"crude"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.22854	.31115284	.81267471	.41640459	.74783386	2.0182431	"crude"	"ae"	""
"5.eth5"	"Eth 5 categories"	.98276983	.23496393	-.07269572	.94204826	.61509709	1.570218	"crude"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"ae"	""
"2.eth5"	"Eth 5 categories"	1.0538614	.13980907	.39544362	.69251552	.81256861	1.3668063	"model0"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.311569	.25986598	1.3688949	.17103213	.88948674	1.9339393	"model0"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.9786471	.50732236	2.661533	.00777857	1.1970753	3.2705081	"model0"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.3893413	.33855961	1.349413	.17720434	.86175763	2.2399213	"model0"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"ae"	""
"1.male"	"Male"	1.6896325	.12435358	7.1267018	1.028e-12	1.4626672	1.9518165	"model0"	"ae"	""
"age1"	"Age spline 1"	1.0424876	.01997698	2.1713807	.0299024	1.0040596	1.0823863	"model0"	"ae"	""
"age2"	"Age spline 2"	1.0377006	.05409621	.70989201	.47777111	.9369107	1.1493331	"model0"	"ae"	""
"age3"	"Age spline 3"	.83733792	.11210264	-1.326022	.18483243	.64408333	1.0885778	"model0"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"ae"	""
"2.eth5"	"Eth 5 categories"	1.0706192	.14350448	.5090855	.61069229	.82326762	1.3922879	"model1"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.374566	.27358838	1.5983932	.10995551	.93056283	2.0304183	"model1"	"ae"	""
"4.eth5"	"Eth 5 categories"	2.0342478	.52198833	2.7674422	.00564981	1.2302274	3.3637392	"model1"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.4376841	.35085675	1.4875804	.13686159	.89111489	2.319494	"model1"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"ae"	""
"1.male"	"Male"	1.6838174	.12423921	7.0619871	1.641e-12	1.4571012	1.9458092	"model1"	"ae"	""
"age1"	"Age spline 1"	1.0432749	.0200952	2.1994318	.02784724	1.0046232	1.0834136	"model1"	"ae"	""
"age2"	"Age spline 2"	1.0350559	.05419097	.65810376	.51047146	.93411131	1.146909	"model1"	"ae"	""
"age3"	"Age spline 3"	.84227921	.11322542	-1.2768504	.20165506	.64718919	1.0961776	"model1"	"ae"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"ae"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.69866369	.08851732	-2.8303035	.00465039	.54503582	.89559425	"model1"	"ae"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.81083844	.09667508	-1.7586934	.07862959	.64186961	1.0242874	"model1"	"ae"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.78320707	.09143571	-2.0930885	.03634125	.62302125	.98457849	"model1"	"ae"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.66562274	.07960369	-3.4034841	.00066532	.52653902	.841445	"model1"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"ae"	""
"2.eth5"	"Eth 5 categories"	1.0640443	.1586238	.41641081	.67710942	.79444841	1.4251274	"model2"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.3942563	.29757017	1.5572683	.11940679	.91764414	2.1184144	"model2"	"ae"	""
"4.eth5"	"Eth 5 categories"	2.1129392	.58307499	2.710882	.00671045	1.2302522	3.6289406	"model2"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.7125652	.43289687	2.1283291	.0333098	1.0434774	2.8106786	"model2"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"ae"	""
"1.male"	"Male"	1.5614272	.12607818	5.5185787	3.418e-08	1.33288	1.829163	"model2"	"ae"	""
"age1"	"Age spline 1"	1.048337	.02371138	2.0870501	.0368836	1.0028786	1.0958559	"model2"	"ae"	""
"age2"	"Age spline 2"	.98168524	.05943008	-.30533381	.76011193	.87184947	1.1053581	"model2"	"ae"	""
"age3"	"Age spline 3"	.96951778	.14962551	-.20058643	.84102197	.71645678	1.3119629	"model2"	"ae"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"ae"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.64214635	.08704552	-3.2676202	.00108456	.49232312	.83756362	"model2"	"ae"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.73974391	.0938504	-2.3760868	.01749735	.57688666	.94857636	"model2"	"ae"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.7072745	.08815865	-2.7785693	.00545989	.55397412	.90299745	"model2"	"ae"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.59272057	.07566083	-4.0973902	.00004178	.46152375	.76121257	"model2"	"ae"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0170855	.00696715	2.4731267	.01339367	1.0035214	1.0308329	"model2"	"ae"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0065075	.00212618	3.0706023	.00213627	1.0023489	1.0106834	"model2"	"ae"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"ae"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1564553	.10119527	1.6611628	.09668075	.97419236	1.3728181	"model2"	"ae"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.79345395	.1321374	-1.3892609	.16475343	.57248929	1.0997047	"model2"	"ae"	""
"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model2"	"ae"	""
"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1.1191212	.10588869	1.1894577	.23425962	.9296905	1.3471498	"model2"	"ae"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"ae"	""
"chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.3677811	.15589874	2.7477776	.00600007	1.0939494	1.7101569	"model2"	"ae"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"ae"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.1705366	.12037572	1.5311676	.12572798	.95686153	1.4319272	"model2"	"ae"	""
"1b.diabcat"	"Diabetes and HbA1c combined"	1	0			1	1	"model2"	"ae"	""
"2.diabcat"	"Diabetes and HbA1c combined"	1.2264979	.87647397	.28569628	.77511075	.30226322	4.9767786	"model2"	"ae"	""
"3.diabcat"	"Diabetes and HbA1c combined"	2.6905995	.88080531	3.0234362	.00249922	1.416434	5.1109516	"model2"	"ae"	""
"4.diabcat"	"Diabetes and HbA1c combined"	1.1561395	.14326892	1.1708061	.24167672	.90683703	1.4739787	"model2"	"ae"	""
"5.diabcat"	"Diabetes and HbA1c combined"	1.4914611	.19626286	3.0378695	.00238257	1.1523953	1.9302893	"model2"	"ae"	""
"6.diabcat"	"Diabetes and HbA1c combined"	1.0730248	.27897815	.27109113	.78632094	.64462026	1.7861404	"model2"	"ae"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"ae"	""
"1.cancer"	"Cancer"	1.1047276	.12934044	.85069664	.39493789	.87820787	1.3896744	"model2"	"ae"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"ae"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.0521191	.30932633	.17280866	.86280183	.59130146	1.8720646	"model2"	"ae"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"ae"	""
"1.stroke"	"Stroke"	1.0455456	.14537322	.32033008	.74871812	.79614371	1.3730758	"model2"	"ae"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"ae"	""
"1.dementia"	"Dementia"	.40371572	.13583326	-2.6958643	.00702063	.20877685	.78067267	"model2"	"ae"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"ae"	""
"1.other_neuro"	"Neurological disease"	1.1159521	.24677515	.49611497	.6198133	.72346216	1.7213743	"model2"	"ae"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"ae"	""
"1.egfr60"	"CKD defined by egfr<60"	1.4252932	.16296555	3.0993788	.00193927	1.1391458	1.7833194	"model2"	"ae"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"ae"	""
"1.esrf"	"end stage renal failure"	1.5871561	.40904936	1.7923924	.07307014	.95773194	2.6302397	"model2"	"ae"	""
"0b.other_immuno"	"Immunosuppressed (combination algorithm)"	1	0			1	1	"model2"	"ae"	""
"1.other_immuno"	"Immunosuppressed (combination algorithm)"	.69938435	.26454313	-.94528348	.34451417	.33323278	1.4678582	"model2"	"ae"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"ae"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	.93407542	.14163919	-.44974956	.65289103	.69391998	1.2573451	"model2"	"ae"	""
