eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1000309	.19151848	.54759759	.58396825	.7820028	1.547396	"model2"	"ventilated"
"ventilated"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1112853	.18762031	.62498433	.53198135	.79820722	1.5471608	"model2"	"ventilated"
"ventilated"	"5.imd"	"Index of Multiple Deprivation (IMD)"	.7702948	.1351603	-1.4873676	.13691774	.54613537	1.0864597	"model2"	"ventilated"
"ventilated"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0144445	.00952352	1.5276208	.12660671	.99594943	1.033283	"model2"	"ventilated"
"ventilated"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	.99278591	.0043174	-1.6648934	.09593403	.98435992	1.001284	"model2"	"ventilated"
"ventilated"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.82781948	.09359895	-1.6712251	.09467723	.66327397	1.0331856	"model2"	"ventilated"
"ventilated"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.86093805	.19751077	-.65267632	.51396497	.54915485	1.3497365	"model2"	"ventilated"
"ventilated"	"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	.80175998	.0901129	-1.9658191	.04931951	.64324223	.99934214	"model2"	"ventilated"
"ventilated"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	.79612184	.12701356	-1.4291246	.15296844	.58234257	1.08838	"model2"	"ventilated"
"ventilated"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	.83942763	.1197886	-1.226571	.21998386	.63462108	1.1103299	"model2"	"ventilated"
"ventilated"	"1b.diabcat"	"Diabetes and HbA1c combined"	1	0			1	1	"model2"	"ventilated"
"ventilated"	"2.diabcat"	"Diabetes and HbA1c combined"	2.2562801	2.3563429	.77916272	.43588387	.29136803	17.47206	"model2"	"ventilated"
"ventilated"	"3.diabcat"	"Diabetes and HbA1c combined"	.85035449	.44569906	-.30927626	.75711138	.30440865	2.3754344	"model2"	"ventilated"
