parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"suspected"	""
"2.eth5"	"Eth 5 categories"	.95141008	.0049743	-9.5269313	1.620e-21	.94171041	.96120966	"crude"	"suspected"	""
"3.eth5"	"Eth 5 categories"	.95583993	.00840629	-5.1354822	2.814e-07	.93950509	.97245877	"crude"	"suspected"	""
"4.eth5"	"Eth 5 categories"	.86691596	.0112183	-11.03617	2.557e-28	.84520499	.88918463	"crude"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.56469702	.00658222	-49.026799	0	.55194235	.57774642	"crude"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0971357	.00605144	16.807177	2.162e-63	1.085339	1.1090606	"model0"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.1196819	.01003346	12.615192	1.741e-36	1.1001883	1.1395208	"model0"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0451596	.01360723	3.3926257	.00069226	1.0188273	1.0721724	"model0"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.69221033	.00815031	-31.243002	2.78e-214	.67641892	.7083704	"model0"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"suspected"	""
"1.male"	"Male"	.72768735	.00207953	-111.23681	0	.72362295	.73177459	"model0"	"suspected"	""
"age1"	"Age spline 1"	1.0172741	.00047513	36.669084	2.27e-294	1.0163433	1.0182057	"model0"	"suspected"	""
"age2"	"Age spline 2"	.97655356	.00142105	-16.30439	9.185e-60	.97377232	.97934275	"model0"	"suspected"	""
"age3"	"Age spline 3"	1.0927932	.00436557	22.21274	2.59e-109	1.0842702	1.1013831	"model0"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0348353	.00578105	6.1295329	8.814e-10	1.0235665	1.0462282	"model1"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0372219	.00940309	4.0312487	.00005548	1.0189549	1.0558163	"model1"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0066428	.01320887	.50457144	.61385988	.98108396	1.0328675	"model1"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.67460618	.00798998	-33.234477	3.42e-242	.65912648	.69044942	"model1"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"suspected"	""
"1.male"	"Male"	.72724861	.00208788	-110.93502	0	.72316793	.73135232	"model1"	"suspected"	""
