parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.013587	.00004644	294.56501	0	1.013496	1.013678	"model2"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1202305	.00392116	32.435506	8.67e-231	1.1125714	1.1279422	"model2"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0925113	.0050053	19.312379	4.226e-83	1.082745	1.1023656	"model2"	"suspected"	""
"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model2"	"suspected"	""
"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1.1744012	.00448514	42.093418	0	1.1656433	1.1832249	"model2"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"suspected"	""
"chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.9316182	.00970485	131.03717	0	1.9126904	1.9507333	"model2"	"suspected"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.3120571	.0065011	54.813794	0	1.2993768	1.3248611	"model2"	"suspected"	""
"1b.diabcat"	"Diabetes and HbA1c combined"	1	0			1	1	"model2"	"suspected"	""
"2.diabcat"	"Diabetes and HbA1c combined"	1.1660795	.04275623	4.1903816	.00002785	1.0852191	1.2529648	"model2"	"suspected"	""
"3.diabcat"	"Diabetes and HbA1c combined"	1.6520713	.03147953	26.346932	5.57e-153	1.5915104	1.7149366	"model2"	"suspected"	""
"4.diabcat"	"Diabetes and HbA1c combined"	1.1780667	.0069184	27.9046	2.35e-171	1.1645846	1.1917048	"model2"	"suspected"	""
"5.diabcat"	"Diabetes and HbA1c combined"	1.3770386	.00950344	46.358287	0	1.3585376	1.3957916	"model2"	"suspected"	""
"6.diabcat"	"Diabetes and HbA1c combined"	1.2704986	.01718854	17.696055	4.497e-70	1.2372524	1.3046381	"model2"	"suspected"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"suspected"	""
"1.cancer"	"Cancer"	1.3828046	.0071583	62.610634	0	1.3688455	1.396906	"model2"	"suspected"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.3888728	.01834994	24.862979	1.87e-136	1.3533692	1.4253077	"model2"	"suspected"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"suspected"	""
"1.stroke"	"Stroke"	1.1971619	.00928486	23.202694	4.28e-119	1.1791016	1.215499	"model2"	"suspected"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"suspected"	""
"1.dementia"	"Dementia"	1.4895182	.03079155	19.274848	8.736e-83	1.4303741	1.5511078	"model2"	"suspected"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"suspected"	""
"1.other_neuro"	"Neurological disease"	1.3907929	.01600972	28.656741	1.32e-180	1.3597658	1.422528	"model2"	"suspected"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"suspected"	""
"1.egfr60"	"CKD defined by egfr<60"	1.0488013	.00636027	7.8570775	3.932e-15	1.0364092	1.0613415	"model2"	"suspected"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"suspected"	""
"1.esrf"	"end stage renal failure"	1.5668674	.03696725	19.034315	8.864e-81	1.4960626	1.6410232	"model2"	"suspected"	""
"0b.other_immuno"	"Immunosuppressed (combination algorithm)"	1	0			1	1	"model2"	"suspected"	""
"1.other_immuno"	"Immunosuppressed (combination algorithm)"	1.7915686	.02533859	41.227576	0	1.7425879	1.8419261	"model2"	"suspected"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"suspected"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.2906625	.0070529	46.6928	0	1.2769128	1.3045602	"model2"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0924715	.00746206	12.948298	2.402e-38	1.0779436	1.1071952	"model3"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.1080368	.01154332	9.8475347	7.025e-23	1.0856417	1.1308938	"model3"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0436478	.01567833	2.8438505	.0044572	1.0133668	1.0748336	"model3"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.80282475	.01094235	-16.113122	2.063e-58	.78166207	.8245604	"model3"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"suspected"	""
"1.male"	"Male"	.75059885	.00252873	-85.155366	0	.74565896	.75557146	"model3"	"suspected"	""
"age1"	"Age spline 1"	1.0057323	.00059457	9.6687017	4.095e-22	1.0045677	1.0068984	"model3"	"suspected"	""
"age2"	"Age spline 2"	.97656462	.00178659	-12.962479	1.997e-38	.97306925	.98007255	"model3"	"suspected"	""
"age3"	"Age spline 3"	1.0789186	.00540036	15.175625	5.129e-52	1.0683859	1.0895552	"model3"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0343331	.00554209	6.3001317	2.974e-10	1.0235277	1.0452527	"model3"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1351557	.00602214	23.89573	3.39e-126	1.1234137	1.1470205	"model3"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2039424	.00642693	34.768311	7.33e-265	1.1914116	1.2166051	"model3"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.205323	.0067931	33.135249	9.24e-241	1.192082	1.2187111	"model3"	"suspected"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"	"suspected"	""
"2.hh_total_cat"	"Number of people in household"	1.0316566	.00391475	8.2131419	2.155e-16	1.0240122	1.0393579	"model3"	"suspected"	""
"3.hh_total_cat"	"Number of people in household"	.9456201	.00717376	-7.3704366	1.701e-13	.9316638	.95978547	"model3"	"suspected"	""
"0o.carehome"	"Care home y/n"	1	0			1	1	"model3"	"suspected"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0146723	.00029107	50.7767	0	1.014102	1.015243	"model3"	"suspected"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0135874	.00004975	274.98536	0	1.0134899	1.0136849	"model3"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1213591	.00420172	30.568938	3.17e-205	1.1131541	1.1296247	"model3"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.1006483	.00535815	19.699244	2.189e-86	1.0901964	1.1112003	"model3"	"suspected"	""
"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model3"	"suspected"	""
"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1.1722998	.00479649	38.8529	0	1.1629364	1.1817385	"model3"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model3"	"suspected"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"suspected"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.9448801	.01046087	123.67368	0	1.9244849	1.9654915	"model3"	"suspected"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"suspected"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.3132228	.00698398	51.236228	0	1.2996056	1.3269828	"model3"	"suspected"	""
"1b.diabcat"	"Diabetes and HbA1c combined"	1	0			1	1	"model3"	"suspected"	""
"2.diabcat"	"Diabetes and HbA1c combined"	1.2020188	.04643304	4.7632985	1.905e-06	1.1143715	1.2965597	"model3"	"suspected"	""
"3.diabcat"	"Diabetes and HbA1c combined"	1.6252534	.03320977	23.767904	7.18e-125	1.5614496	1.6916643	"model3"	"suspected"	""
"4.diabcat"	"Diabetes and HbA1c combined"	1.1772859	.00741202	25.923694	3.60e-148	1.1628479	1.1919032	"model3"	"suspected"	""
"5.diabcat"	"Diabetes and HbA1c combined"	1.3685997	.01014058	42.349661	0	1.3488681	1.3886199	"model3"	"suspected"	""
"6.diabcat"	"Diabetes and HbA1c combined"	1.2630218	.01842246	16.008965	1.106e-57	1.2274256	1.2996502	"model3"	"suspected"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"suspected"	""
"1.cancer"	"Cancer"	1.3877461	.0077128	58.958867	0	1.3727113	1.4029455	"model3"	"suspected"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"suspected"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.3797303	.01947967	22.79909	4.68e-115	1.3420743	1.4184429	"model3"	"suspected"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"suspected"	""
"1.stroke"	"Stroke"	1.1931268	.00998412	21.10143	7.717e-99	1.1737178	1.2128566	"model3"	"suspected"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"suspected"	""
"1.dementia"	"Dementia"	1.4219101	.03358054	14.904881	3.064e-50	1.3575935	1.4892738	"model3"	"suspected"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"suspected"	""
"1.other_neuro"	"Neurological disease"	1.3836718	.01718358	26.149066	1.01e-150	1.3503992	1.4177643	"model3"	"suspected"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"	"suspected"	""
"1.egfr60"	"CKD defined by egfr<60"	1.050529	.00686086	7.5478245	4.426e-14	1.0371676	1.0640624	"model3"	"suspected"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"	"suspected"	""
"1.esrf"	"end stage renal failure"	1.5963143	.03986881	18.726223	3.026e-78	1.5200546	1.6763999	"model3"	"suspected"	""
"0b.other_immuno"	"Immunosuppressed (combination algorithm)"	1	0			1	1	"model3"	"suspected"	""
"1.other_immuno"	"Immunosuppressed (combination algorithm)"	1.7907707	.0268358	38.880357	0	1.7389384	1.8441479	"model3"	"suspected"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"	"suspected"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.2916238	.00755638	43.741434	0	1.2768982	1.3065193	"model3"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"confirmed"	""
"2.eth5"	"Eth 5 categories"	2.6302449	.03389943	75.035172	0	2.5646354	2.6975329	"crude"	"confirmed"	""
"3.eth5"	"Eth 5 categories"	1.6167623	.04228639	18.368415	2.352e-75	1.535971	1.7018032	"crude"	"confirmed"	""
"4.eth5"	"Eth 5 categories"	1.2044093	.05078899	4.4105466	.00001031	1.1088674	1.3081833	"crude"	"confirmed"	""
"5.eth5"	"Eth 5 categories"	.96186633	.03318716	-1.1268564	.25980322	.89897127	1.0291617	"crude"	"confirmed"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"confirmed"	""
"2.eth5"	"Eth 5 categories"	2.8933874	.0411494	74.703773	0	2.8138497	2.9751733	"model0"	"confirmed"	""
"3.eth5"	"Eth 5 categories"	1.9063712	.05104575	24.095907	2.76e-128	1.8089033	2.0090909	"model0"	"confirmed"	""
"4.eth5"	"Eth 5 categories"	1.5493115	.06578078	10.3116	6.245e-25	1.4256023	1.6837559	"model0"	"confirmed"	""
"5.eth5"	"Eth 5 categories"	1.2553307	.04385974	6.5084987	7.591e-11	1.1722445	1.3443059	"model0"	"confirmed"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"confirmed"	""
"1.male"	"Male"	.8538448	.00853246	-15.811679	2.585e-56	.8372842	.87073295	"model0"	"confirmed"	""
"age1"	"Age spline 1"	1.0413378	.00175709	24.006028	2.41e-127	1.0378996	1.0447873	"model0"	"confirmed"	""
"age2"	"Age spline 2"	.89992147	.00466831	-20.327428	7.356e-92	.8908181	.90911786	"model0"	"confirmed"	""
"age3"	"Age spline 3"	1.3942179	.01979314	23.409396	3.43e-121	1.3559588	1.4335565	"model0"	"confirmed"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"confirmed"	""
"2.eth5"	"Eth 5 categories"	2.6631102	.038664	67.465929	0	2.5883982	2.7399788	"model1"	"confirmed"	""
"3.eth5"	"Eth 5 categories"	1.7101756	.04635727	19.795679	3.244e-87	1.6216885	1.8034911	"model1"	"confirmed"	""
"4.eth5"	"Eth 5 categories"	1.4606251	.06255051	8.8469141	8.997e-19	1.3430324	1.5885139	"model1"	"confirmed"	""
"5.eth5"	"Eth 5 categories"	1.2027261	.04222636	5.2576673	1.459e-07	1.1227473	1.2884023	"model1"	"confirmed"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"confirmed"	""
"1.male"	"Male"	.85257223	.00855898	-15.887754	7.704e-57	.83596089	.86951365	"model1"	"confirmed"	""
"age1"	"Age spline 1"	1.0419948	.00176999	24.217371	1.46e-129	1.0385315	1.0454697	"model1"	"confirmed"	""
