parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"onsunderlyingdeath"
"2.ethnicity_16"	"Eth 16 categories"	1.351054	.15082556	2.6952454	.00703368	1.0855464	1.6815005	"crude"	"onsunderlyingdeath"
"3.ethnicity_16"	"Eth 16 categories"	.42162524	.02186999	-16.649836	3.034e-62	.38086774	.46674429	"crude"	"onsunderlyingdeath"
"4.ethnicity_16"	"Eth 16 categories"	.84230778	.16570625	-.87231631	.38303584	.57281569	1.2385876	"crude"	"onsunderlyingdeath"
"5.ethnicity_16"	"Eth 16 categories"	.31916442	.11293841	-3.2274349	.00124905	.15951857	.6385835	"crude"	"onsunderlyingdeath"
"6.ethnicity_16"	"Eth 16 categories"	.3576308	.11932917	-3.0816886	.0020583	.18595938	.68778351	"crude"	"onsunderlyingdeath"
"7.ethnicity_16"	"Eth 16 categories"	.32897247	.08243693	-4.4366697	9.136e-06	.20130645	.53760266	"crude"	"onsunderlyingdeath"
"8.ethnicity_16"	"Eth 16 categories"	.88500594	.05320648	-2.0319542	.04215829	.78663275	.9956813	"crude"	"onsunderlyingdeath"
"9.ethnicity_16"	"Eth 16 categories"	.83499056	.0609862	-2.4690488	.01354728	.72362129	.96350015	"crude"	"onsunderlyingdeath"
"10.ethnicity_16"	"Eth 16 categories"	.80843988	.12008848	-1.4315603	.1522697	.60423694	1.0816535	"crude"	"onsunderlyingdeath"
"11.ethnicity_16"	"Eth 16 categories"	.75874483	.06718446	-3.1180077	.00182078	.63785877	.90254104	"crude"	"onsunderlyingdeath"
"12.ethnicity_16"	"Eth 16 categories"	1.8214781	.1638901	6.6645041	2.656e-11	1.5269889	2.1727613	"crude"	"onsunderlyingdeath"
"13.ethnicity_16"	"Eth 16 categories"	.54526135	.06019101	-5.4941028	3.927e-08	.43917862	.67696816	"crude"	"onsunderlyingdeath"
"14.ethnicity_16"	"Eth 16 categories"	.65029543	.10750813	-2.602972	.00924195	.47031451	.89915184	"crude"	"onsunderlyingdeath"
"15.ethnicity_16"	"Eth 16 categories"	.28615519	.06118987	-5.8513505	4.876e-09	.18818513	.43512891	"crude"	"onsunderlyingdeath"
"16.ethnicity_16"	"Eth 16 categories"	.49110427	.05463755	-6.3916423	1.641e-10	.39488781	.61076436	"crude"	"onsunderlyingdeath"
"17.ethnicity_16"	"Eth 16 categories"	.95839654	.02188221	-1.8611364	.06272492	.91645366	1.002259	"crude"	"onsunderlyingdeath"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"onsunderlyingdeath"
"2.ethnicity_16"	"Eth 16 categories"	1.0610283	.11857447	.5300785	.59605751	.85231778	1.3208466	"model0"	"onsunderlyingdeath"
"3.ethnicity_16"	"Eth 16 categories"	.94948852	.04937719	-.99668968	.31891516	.85747968	1.05137	"model0"	"onsunderlyingdeath"
"4.ethnicity_16"	"Eth 16 categories"	2.1019497	.4139778	3.7718582	.00016204	1.4288237	3.0921886	"model0"	"onsunderlyingdeath"
"5.ethnicity_16"	"Eth 16 categories"	1.3225444	.46833443	.78945106	.42984843	.6606721	2.6474912	"model0"	"onsunderlyingdeath"
"6.ethnicity_16"	"Eth 16 categories"	1.3800695	.46079848	.96477544	.3346573	.71728027	2.6552964	"model0"	"onsunderlyingdeath"
"7.ethnicity_16"	"Eth 16 categories"	1.2937312	.32462293	1.0263451	.30472895	.79115325	2.1155704	"model0"	"onsunderlyingdeath"
"8.ethnicity_16"	"Eth 16 categories"	1.6689226	.10172143	8.4032041	4.345e-17	1.4810004	1.8806901	"model0"	"onsunderlyingdeath"
"9.ethnicity_16"	"Eth 16 categories"	2.2157449	.16223798	10.865652	1.680e-27	1.9195275	2.5576739	"model0"	"onsunderlyingdeath"
"10.ethnicity_16"	"Eth 16 categories"	2.8735007	.4274381	7.095926	1.285e-12	2.1468101	3.8461744	"model0"	"onsunderlyingdeath"
"11.ethnicity_16"	"Eth 16 categories"	2.1027512	.18860436	8.2864605	1.167e-16	1.7637626	2.5068921	"model0"	"onsunderlyingdeath"
"12.ethnicity_16"	"Eth 16 categories"	1.746887	.15787123	6.1725959	6.718e-10	1.4633199	2.0854048	"model0"	"onsunderlyingdeath"
"13.ethnicity_16"	"Eth 16 categories"	2.2487023	.25119476	7.2543043	4.037e-13	1.8065383	2.7990892	"model0"	"onsunderlyingdeath"
"14.ethnicity_16"	"Eth 16 categories"	2.073663	.34351182	4.402634	.00001069	1.4987621	2.8690864	"model0"	"onsunderlyingdeath"
"15.ethnicity_16"	"Eth 16 categories"	1.081961	.23143131	.36828028	.71266425	.71144232	1.6454455	"model0"	"onsunderlyingdeath"
"16.ethnicity_16"	"Eth 16 categories"	1.4306838	.16018455	3.198829	.00137987	1.1487884	1.781752	"model0"	"onsunderlyingdeath"
"17.ethnicity_16"	"Eth 16 categories"	1.0481069	.02418378	2.0363206	.04171818	1.0017634	1.0965944	"model0"	"onsunderlyingdeath"
"0b.male"	"Male"	1	0			1	1	"model0"	"onsunderlyingdeath"
"1.male"	"Male"	1.8932728	.03724828	32.44416	6.55e-231	1.8216572	1.9677039	"model0"	"onsunderlyingdeath"
"age1"	"Age spline 1"	1.177174	.02310508	8.3105856	9.523e-17	1.1327489	1.2233415	"model0"	"onsunderlyingdeath"
"age2"	"Age spline 2"	.89852986	.03750774	-2.5631644	.01037229	.82794296	.97513469	"model0"	"onsunderlyingdeath"
"age3"	"Age spline 3"	1.2759961	.1199853	2.5919419	.00954359	1.0612278	1.5342287	"model0"	"onsunderlyingdeath"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model1"	"onsunderlyingdeath"
"2.ethnicity_16"	"Eth 16 categories"	.99047272	.11074217	-.08562003	.93176847	.7955581	1.2331421	"model1"	"onsunderlyingdeath"
"3.ethnicity_16"	"Eth 16 categories"	.91391626	.04751469	-1.7314094	.08337877	.8253768	1.0119535	"model1"	"onsunderlyingdeath"
"4.ethnicity_16"	"Eth 16 categories"	1.84228	.36295191	3.1013483	.00192642	1.2521559	2.7105215	"model1"	"onsunderlyingdeath"
"5.ethnicity_16"	"Eth 16 categories"	1.1797396	.41780977	.46672804	.64069446	.5892906	2.3617982	"model1"	"onsunderlyingdeath"
"6.ethnicity_16"	"Eth 16 categories"	1.3308674	.44439323	.85600535	.39199482	.69168435	2.5607171	"model1"	"onsunderlyingdeath"
"7.ethnicity_16"	"Eth 16 categories"	1.2066209	.3027809	.74850206	.45415738	.73786406	1.9731737	"model1"	"onsunderlyingdeath"
"8.ethnicity_16"	"Eth 16 categories"	1.5302355	.09361113	6.9542513	3.544e-12	1.3573336	1.7251623	"model1"	"onsunderlyingdeath"
"9.ethnicity_16"	"Eth 16 categories"	1.8199156	.13420921	8.119767	4.671e-16	1.5749966	2.1029207	"model1"	"onsunderlyingdeath"
"10.ethnicity_16"	"Eth 16 categories"	2.337156	.34828396	5.6967686	1.221e-08	1.7451843	3.1299263	"model1"	"onsunderlyingdeath"
"11.ethnicity_16"	"Eth 16 categories"	1.9195471	.17224918	7.2668915	3.679e-13	1.6099664	2.2886571	"model1"	"onsunderlyingdeath"
"12.ethnicity_16"	"Eth 16 categories"	1.486344	.1346015	4.376378	.00001207	1.2446166	1.7750194	"model1"	"onsunderlyingdeath"
"13.ethnicity_16"	"Eth 16 categories"	1.9088837	.21363442	5.7768261	7.612e-09	1.5329094	2.3770726	"model1"	"onsunderlyingdeath"
"14.ethnicity_16"	"Eth 16 categories"	1.7908103	.29685034	3.5150647	.00043965	1.294052	2.4782632	"model1"	"onsunderlyingdeath"
"15.ethnicity_16"	"Eth 16 categories"	1.0495571	.22450662	.22611902	.82110885	.69012678	1.596185	"model1"	"onsunderlyingdeath"
"16.ethnicity_16"	"Eth 16 categories"	1.3270385	.14859771	2.5268578	.01150881	1.0655371	1.652717	"model1"	"onsunderlyingdeath"
"17.ethnicity_16"	"Eth 16 categories"	1.0502019	.02424412	2.1218102	.03385368	1.0037432	1.0988109	"model1"	"onsunderlyingdeath"
"0b.male"	"Male"	1	0			1	1	"model1"	"onsunderlyingdeath"
"1.male"	"Male"	1.9070137	.03754234	32.791	7.91e-236	1.8348336	1.9820334	"model1"	"onsunderlyingdeath"
