tested characteristics
	Category	Total	1
cons	==1	17465674 (100.0)	1453204 (8.32)

Age (years)
Mean (SD)		49.8 (18.7)	51.3 (19.9)	

male	==0	8743453 (50.1)	851720 (9.74)
male	==1	8722221 (49.9)	601484 (6.90)

eth5	==1	11223872 (64.3)	970845 (8.65)
eth5	==2	1028217 (5.9)	90217 (8.77)
eth5	==3	343688 (2.0)	29711 (8.64)
eth5	==4	172440 (1.0)	14295 (8.29)
eth5	==5	324757 (1.9)	17964 (5.53)
eth5	>=.	0 (0.0)	0 (   .)

imd	==1	3567334 (20.4)	282248 (7.91)
imd	==2	3508435 (20.1)	286107 (8.15)
imd	==3	3518212 (20.1)	292833 (8.32)
imd	==4	3495559 (20.0)	302408 (8.65)
imd	==5	3376134 (19.3)	289608 (8.58)

region2	==1	4059237 (23.2)	336101 (8.28)
region2	==2	3057534 (17.5)	278964 (9.12)
region2	==3	1193197 (6.8)	76511 (6.41)
region2	==4	804838 (4.6)	81890 (10.17)
region2	==5	1551530 (8.9)	122870 (7.92)
region2	==6	1166352 (6.7)	99643 (8.54)
region2	==7	2435925 (13.9)	204994 (8.42)
region2	==8	703922 (4.0)	52966 (7.52)

