eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"hes_30"	"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.ethnicity_16"	"Eth 16 categories"	1.2385724	.14070062	1.8834617	.05963782	.99134707	1.5474516	"crude"	"hes"	""
"hes_30"	"3.ethnicity_16"	"Eth 16 categories"	.47875821	.01789064	-19.710528	1.751e-86	.44494652	.51513926	"crude"	"hes"	""
"hes_30"	"4.ethnicity_16"	"Eth 16 categories"	.72302137	.12000005	-1.9540638	.05069367	.52224823	1.0009797	"crude"	"hes"	""
"hes_30"	"5.ethnicity_16"	"Eth 16 categories"	.40169326	.06660298	-5.5008195	3.780e-08	.29024222	.55594074	"crude"	"hes"	""
"hes_30"	"6.ethnicity_16"	"Eth 16 categories"	.51865745	.08679676	-3.923011	.00008745	.37362245	.71999301	"crude"	"hes"	""
"hes_30"	"7.ethnicity_16"	"Eth 16 categories"	.50335942	.07430181	-4.6503775	3.313e-06	.37690402	.67224198	"crude"	"hes"	""
"hes_30"	"8.ethnicity_16"	"Eth 16 categories"	.43346528	.01915974	-18.912182	9.053e-80	.39749355	.47269233	"crude"	"hes"	""
"hes_30"	"9.ethnicity_16"	"Eth 16 categories"	.55386184	.02668099	-12.265053	1.395e-34	.50396087	.60870388	"crude"	"hes"	""
"hes_30"	"10.ethnicity_16"	"Eth 16 categories"	.75353125	.09258016	-2.3032783	.02126319	.59227195	.95869701	"crude"	"hes"	""
"hes_30"	"11.ethnicity_16"	"Eth 16 categories"	.42646982	.02484947	-14.625803	1.923e-48	.38044391	.47806391	"crude"	"hes"	""
"hes_30"	"12.ethnicity_16"	"Eth 16 categories"	1.4953947	.13882932	4.3343303	.00001462	1.2466142	1.7938231	"crude"	"hes"	""
"hes_30"	"13.ethnicity_16"	"Eth 16 categories"	.48742944	.03099912	-11.299403	1.321e-29	.43030637	.55213559	"crude"	"hes"	""
"hes_30"	"14.ethnicity_16"	"Eth 16 categories"	.59856223	.06891381	-4.4576985	8.284e-06	.47764867	.75008425	"crude"	"hes"	""
"hes_30"	"15.ethnicity_16"	"Eth 16 categories"	.79775069	.14526845	-1.2408686	.21465428	.55829722	1.1399057	"crude"	"hes"	""
"hes_30"	"16.ethnicity_16"	"Eth 16 categories"	.57260913	.03967102	-8.0476718	8.438e-16	.49990336	.65588922	"crude"	"hes"	""
"hes_30"	"17.ethnicity_16"	"Eth 16 categories"	.87349597	.01816985	-6.5020819	7.922e-11	.8385999	.90984414	"crude"	"hes"	""
"hes_30"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.stp"	"Sustainability and Transformation Partnership"	.43508255	.25383416	-1.4264597	.15373571	.13866505	1.3651373	"crude"	"hes"	""
"hes_30"	"3.stp"	"Sustainability and Transformation Partnership"	.39376891	.22998944	-1.5956781	.11056069	.12533673	1.2370991	"crude"	"hes"	""
"hes_30"	"4.stp"	"Sustainability and Transformation Partnership"	.42329375	.24837121	-1.4651495	.14288015	.13402695	1.3368774	"crude"	"hes"	""
"hes_30"	"5.stp"	"Sustainability and Transformation Partnership"	.37829628	.22289727	-1.6497884	.09898622	.1192045	1.2005258	"crude"	"hes"	""
"hes_30"	"6.stp"	"Sustainability and Transformation Partnership"	.3638158	.21235478	-1.7322751	.08322459	.11588994	1.1421348	"crude"	"hes"	""
"hes_30"	"7.stp"	"Sustainability and Transformation Partnership"	.46792166	.27837486	-1.2765706	.20175389	.14580698	1.5016475	"crude"	"hes"	""
"hes_30"	"8.stp"	"Sustainability and Transformation Partnership"	.68086542	.39775385	-.65799055	.5105442	.21667011	2.1395555	"crude"	"hes"	""
"hes_30"	"9.stp"	"Sustainability and Transformation Partnership"	.50054556	.29323361	-1.1813308	.23747134	.15877638	1.5779793	"crude"	"hes"	""
"hes_30"	"10.stp"	"Sustainability and Transformation Partnership"	.58888577	.34423036	-.90587184	.36500369	.18726874	1.8518118	"crude"	"hes"	""
"hes_30"	"11.stp"	"Sustainability and Transformation Partnership"	.47557411	.27770676	-1.2727892	.20309286	.15141452	1.4937189	"crude"	"hes"	""
"hes_30"	"12.stp"	"Sustainability and Transformation Partnership"	.95820605	.56132587	-.07287773	.94190342	.30396058	3.0206511	"crude"	"hes"	""
"hes_30"	"13.stp"	"Sustainability and Transformation Partnership"	1.0799869	.63185486	.1315236	.89536112	.34309652	3.399544	"crude"	"hes"	""
"hes_30"	"14.stp"	"Sustainability and Transformation Partnership"	.81915786	.47905823	-.34109497	.73303209	.26035724	2.5773034	"crude"	"hes"	""
"hes_30"	"15.stp"	"Sustainability and Transformation Partnership"	.55165391	.32253744	-1.0173787	.30897331	.17538469	1.7351687	"crude"	"hes"	""
"hes_30"	"16.stp"	"Sustainability and Transformation Partnership"	.46541999	.2721889	-1.3077691	.19095165	.14792505	1.4643617	"crude"	"hes"	""
"hes_30"	"17.stp"	"Sustainability and Transformation Partnership"	.52071765	.30462788	-1.115436	.26466363	.16543836	1.6389601	"crude"	"hes"	""
"hes_30"	"18.stp"	"Sustainability and Transformation Partnership"	.71496548	.41750106	-.57457565	.56557832	.22763002	2.2456424	"crude"	"hes"	""
"hes_30"	"19.stp"	"Sustainability and Transformation Partnership"	.73845682	.43184028	-.5184664	.6041329	.23472164	2.3232561	"crude"	"hes"	""
"hes_30"	"20.stp"	"Sustainability and Transformation Partnership"	.77967508	.4553471	-.4261452	.67000204	.2481953	2.4492536	"crude"	"hes"	""
"hes_30"	"21.stp"	"Sustainability and Transformation Partnership"	1.3609202	.79470623	.52772041	.59769341	.43328684	4.2745446	"crude"	"hes"	""
"hes_30"	"22.stp"	"Sustainability and Transformation Partnership"	.98340371	.58670891	-.02805106	.97762143	.30541905	3.166413	"crude"	"hes"	""
"hes_30"	"23.stp"	"Sustainability and Transformation Partnership"	.52561721	.3075896	-1.0990864	.27173036	.16693562	1.6549701	"crude"	"hes"	""
"hes_30"	"24.stp"	"Sustainability and Transformation Partnership"	.69905692	.42679119	-.58641916	.55759387	.21126783	2.3130856	"crude"	"hes"	""
"hes_30"	"25.stp"	"Sustainability and Transformation Partnership"	.47478643	.28285055	-1.2503556	.21116969	.14770704	1.5261436	"crude"	"hes"	""
"hes_30"	"26.stp"	"Sustainability and Transformation Partnership"	.4818458	.28289933	-1.2435894	.2136507	.15245937	1.5228672	"crude"	"hes"	""
"hes_30"	"27.stp"	"Sustainability and Transformation Partnership"	.54750103	.32055699	-1.0288643	.30354343	.17378569	1.7248681	"crude"	"hes"	""
"hes_30"	"28.stp"	"Sustainability and Transformation Partnership"	.63028399	.36971854	-.78689453	.43134361	.19963175	1.9899535	"crude"	"hes"	""
"hes_30"	"29.stp"	"Sustainability and Transformation Partnership"	.62089235	.3638813	-.81322064	.41609157	.19686095	1.9582721	"crude"	"hes"	""
"hes_30"	"30.stp"	"Sustainability and Transformation Partnership"	.81979712	.48055336	-.33896831	.73463361	.25986285	2.5862385	"crude"	"hes"	""
"hes_30"	"31.stp"	"Sustainability and Transformation Partnership"	.79864897	.526491	-.34105666	.73306093	.21939203	2.9073078	"crude"	"hes"	""
"hes_30"	"32.stp"	"Sustainability and Transformation Partnership"	.3386745	.19762475	-1.8554773	.0635281	.107916	1.0628676	"crude"	"hes"	""
"hes_30"	"_cons"	"Constant"	1.2191418	.7106857	.33991052	.73392391	.38891563	3.8216691	"crude"	"hes"	""
"hes_30"	"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"hes"	""
"hes_30"	"2.ethnicity_16"	"Eth 16 categories"	.91505886	.12596654	-.64482937	.51903776	.69867155	1.198464	"model0"	"hes"	""
"hes_30"	"3.ethnicity_16"	"Eth 16 categories"	.93265509	.04224367	-1.5392735	.12373755	.85342774	1.0192375	"model0"	"hes"	""
"hes_30"	"4.ethnicity_16"	"Eth 16 categories"	1.2999727	.26556267	1.2842131	.1990674	.87105984	1.9400837	"model0"	"hes"	""
"hes_30"	"5.ethnicity_16"	"Eth 16 categories"	1.0807164	.19626622	.42742837	.66906735	.75705455	1.5427528	"model0"	"hes"	""
"hes_30"	"6.ethnicity_16"	"Eth 16 categories"	1.5893326	.29424167	2.5025697	.01232953	1.1056745	2.2845585	"model0"	"hes"	""
"hes_30"	"7.ethnicity_16"	"Eth 16 categories"	1.4088156	.24069782	2.0061278	.04484261	1.0079183	1.9691688	"model0"	"hes"	""
"hes_30"	"8.ethnicity_16"	"Eth 16 categories"	.89958662	.04700098	-2.0253663	.04282977	.81202612	.99658874	"model0"	"hes"	""
"hes_30"	"9.ethnicity_16"	"Eth 16 categories"	1.419829	.08180814	6.0837686	1.174e-09	1.2682102	1.5895743	"model0"	"hes"	""
"hes_30"	"10.ethnicity_16"	"Eth 16 categories"	2.0364388	.30124935	4.8077132	1.527e-06	1.5238897	2.7213799	"model0"	"hes"	""
"hes_30"	"11.ethnicity_16"	"Eth 16 categories"	1.1082365	.07493066	1.5199852	.1285147	.97069005	1.2652733	"model0"	"hes"	""
"hes_30"	"12.ethnicity_16"	"Eth 16 categories"	1.7808216	.19760991	5.2004851	1.988e-07	1.4327366	2.2134744	"model0"	"hes"	""
"hes_30"	"13.ethnicity_16"	"Eth 16 categories"	1.3218534	.09530539	3.8701184	.00010878	1.1476562	1.5224911	"model0"	"hes"	""
"hes_30"	"14.ethnicity_16"	"Eth 16 categories"	1.502007	.20089555	3.0414797	.00235418	1.1556399	1.9521867	"model0"	"hes"	""
"hes_30"	"15.ethnicity_16"	"Eth 16 categories"	1.765275	.37692326	2.6615955	.00777713	1.1616171	2.6826361	"model0"	"hes"	""
"hes_30"	"16.ethnicity_16"	"Eth 16 categories"	1.4450849	.11672339	4.558076	5.162e-06	1.233501	1.6929619	"model0"	"hes"	""
"hes_30"	"17.ethnicity_16"	"Eth 16 categories"	1.0187656	.02621231	.72258336	.4699359	.96866431	1.0714582	"model0"	"hes"	""
"hes_30"	"0b.male"	"Male"	1	0			1	1	"model0"	"hes"	""
"hes_30"	"1.male"	"Male"	2.0902117	.04190373	36.775745	4.51e-296	2.0096746	2.1739764	"model0"	"hes"	""
"hes_30"	"age1"	"Age spline 1"	.99880542	.00420038	-.28422875	.77623508	.99060666	1.007072	"model0"	"hes"	""
"hes_30"	"age2"	"Age spline 2"	1.2620213	.01526512	19.239338	1.734e-82	1.2324541	1.2922979	"model0"	"hes"	""
"hes_30"	"age3"	"Age spline 3"	.53921966	.01679412	-19.830712	1.617e-87	.5072883	.57316095	"model0"	"hes"	""
"hes_30"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"	"hes"	""
"hes_30"	"2.stp"	"Sustainability and Transformation Partnership"	.33033685	.22969229	-1.5929794	.1111648	.08454603	1.2906867	"model0"	"hes"	""
"hes_30"	"3.stp"	"Sustainability and Transformation Partnership"	.28400762	.19771207	-1.8081637	.07058102	.07257141	1.1114615	"model0"	"hes"	""
"hes_30"	"4.stp"	"Sustainability and Transformation Partnership"	.28820954	.201562	-1.7788676	.07526147	.07318342	1.1350213	"model0"	"hes"	""
"hes_30"	"5.stp"	"Sustainability and Transformation Partnership"	.27939653	.19617027	-1.8161009	.06935489	.07056254	1.106287	"model0"	"hes"	""
"hes_30"	"6.stp"	"Sustainability and Transformation Partnership"	.29724247	.20677868	-1.7439741	.0811636	.07602684	1.1621303	"model0"	"hes"	""
"hes_30"	"7.stp"	"Sustainability and Transformation Partnership"	.34678783	.24593277	-1.4933468	.13534643	.0863802	1.3922381	"model0"	"hes"	""
"hes_30"	"8.stp"	"Sustainability and Transformation Partnership"	.4819837	.33562236	-1.0481226	.29458211	.12311487	1.8869231	"model0"	"hes"	""
"hes_30"	"9.stp"	"Sustainability and Transformation Partnership"	.3575101	.24964866	-1.4729977	.14075164	.0909695	1.4050145	"model0"	"hes"	""
"hes_30"	"10.stp"	"Sustainability and Transformation Partnership"	.40091529	.27934657	-1.3117707	.18959753	.10231968	1.570891	"model0"	"hes"	""
"hes_30"	"11.stp"	"Sustainability and Transformation Partnership"	.35847483	.24947481	-1.4741296	.1404467	.09163864	1.4022929	"model0"	"hes"	""
"hes_30"	"12.stp"	"Sustainability and Transformation Partnership"	.58459402	.40822626	-.76876996	.44202988	.14874903	2.2974951	"model0"	"hes"	""
"hes_30"	"13.stp"	"Sustainability and Transformation Partnership"	.69212454	.48268664	-.52766008	.59773528	.17642395	2.7152571	"model0"	"hes"	""
"hes_30"	"14.stp"	"Sustainability and Transformation Partnership"	.53125333	.37034088	-.90734349	.36422518	.13549472	2.0829602	"model0"	"hes"	""
"hes_30"	"15.stp"	"Sustainability and Transformation Partnership"	.41119258	.28654921	-1.2752582	.20221787	.10492174	1.6114805	"model0"	"hes"	""
"hes_30"	"16.stp"	"Sustainability and Transformation Partnership"	.29912738	.20852157	-1.7312961	.08339897	.07629286	1.172812	"model0"	"hes"	""
"hes_30"	"17.stp"	"Sustainability and Transformation Partnership"	.33883162	.23628503	-1.5519442	.12067556	.08637668	1.3291419	"model0"	"hes"	""
"hes_30"	"18.stp"	"Sustainability and Transformation Partnership"	.52607147	.36611892	-.9229386	.3560392	.1344782	2.0579633	"model0"	"hes"	""
"hes_30"	"19.stp"	"Sustainability and Transformation Partnership"	.44092647	.30735147	-1.1747613	.24009024	.11246802	1.728635	"model0"	"hes"	""
"hes_30"	"20.stp"	"Sustainability and Transformation Partnership"	.435241	.30297716	-1.1949995	.23208721	.11122358	1.7031886	"model0"	"hes"	""
"hes_30"	"21.stp"	"Sustainability and Transformation Partnership"	.65582745	.45643712	-.60614212	.54442038	.16764001	2.5656741	"model0"	"hes"	""
"hes_30"	"22.stp"	"Sustainability and Transformation Partnership"	.56020649	.39823064	-.81513456	.41499529	.13907836	2.256507	"model0"	"hes"	""
"hes_30"	"23.stp"	"Sustainability and Transformation Partnership"	.28505845	.1988487	-1.7991858	.0719893	.07263733	1.1186855	"model0"	"hes"	""
"hes_30"	"24.stp"	"Sustainability and Transformation Partnership"	.32670686	.23792809	-1.5361126	.12451076	.07839002	1.3616194	"model0"	"hes"	""
