parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"onsunderlyingdeath"
"2.eth5"	"Eth 5 categories"	.92941663	.03841706	-1.7708692	.07658246	.85708988	1.0078468	"crude"	"onsunderlyingdeath"
"3.eth5"	"Eth 5 categories"	.98876589	.06438422	-.17350169	.8622571	.87029575	1.1233629	"crude"	"onsunderlyingdeath"
"4.eth5"	"Eth 5 categories"	.50291619	.06585603	-5.2488777	1.530e-07	.38907399	.65006837	"crude"	"onsunderlyingdeath"
"5.eth5"	"Eth 5 categories"	.47738191	.0471794	-7.4819639	7.322e-14	.3933165	.57941501	"crude"	"onsunderlyingdeath"
"6.eth5"	"Eth 5 categories"	1.031426	.02327882	1.3709748	.17038282	.98679475	1.0780758	"crude"	"onsunderlyingdeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"onsunderlyingdeath"
"2.eth5"	"Eth 5 categories"	1.9539795	.08302416	15.765391	5.384e-56	1.7978466	2.1236716	"model0"	"onsunderlyingdeath"
"3.eth5"	"Eth 5 categories"	1.9509517	.12928432	10.085173	6.425e-24	1.7133247	2.221536	"model0"	"onsunderlyingdeath"
"4.eth5"	"Eth 5 categories"	1.5907227	.20910703	3.5311828	.00041371	1.2294208	2.058204	"model0"	"onsunderlyingdeath"
"5.eth5"	"Eth 5 categories"	1.3496993	.13430652	3.0136306	.00258142	1.1105426	1.6403585	"model0"	"onsunderlyingdeath"
"6.eth5"	"Eth 5 categories"	1.0502864	.02398731	2.1482229	.03169605	1.0043089	1.0983688	"model0"	"onsunderlyingdeath"
"0b.male"	"Male"	1	0			1	1	"model0"	"onsunderlyingdeath"
"1.male"	"Male"	1.8934546	.0372501	32.450577	5.32e-231	1.8218354	1.9678893	"model0"	"onsunderlyingdeath"
"age1"	"Age spline 1"	1.1779974	.02314971	8.3359467	7.688e-17	1.1334875	1.2242552	"model0"	"onsunderlyingdeath"
"age2"	"Age spline 2"	.89635933	.03745292	-2.618599	.00882917	.82587833	.97285523	"model0"	"onsunderlyingdeath"
"age3"	"Age spline 3"	1.2837973	.12081619	2.654621	.00793976	1.0675573	1.543838	"model0"	"onsunderlyingdeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"onsunderlyingdeath"
"2.eth5"	"Eth 5 categories"	1.7353347	.07402859	12.920913	3.430e-38	1.5961415	1.8866665	"model1"	"onsunderlyingdeath"
"3.eth5"	"Eth 5 categories"	1.6676033	.11095842	7.6856845	1.522e-14	1.4637125	1.8998955	"model1"	"onsunderlyingdeath"
"4.eth5"	"Eth 5 categories"	1.4557036	.19141894	2.855523	.0042966	1.1249766	1.8836595	"model1"	"onsunderlyingdeath"
"5.eth5"	"Eth 5 categories"	1.270543	.12645338	2.4058221	.01613612	1.0453742	1.544212	"model1"	"onsunderlyingdeath"
"6.eth5"	"Eth 5 categories"	1.0557405	.02412261	2.3739513	.01759887	1.0095041	1.1040946	"model1"	"onsunderlyingdeath"
"0b.male"	"Male"	1	0			1	1	"model1"	"onsunderlyingdeath"
"1.male"	"Male"	1.9073014	.03754653	32.799948	5.90e-236	1.8351132	1.9823294	"model1"	"onsunderlyingdeath"
"age1"	"Age spline 1"	1.1768316	.02304294	8.3157132	9.120e-17	1.1325239	1.2228727	"model1"	"onsunderlyingdeath"
