parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"
"2.eth5"	"Eth 5 categories"	1.2672365	.23581284	1.2727488	.20310719	.87995901	1.8249583	"crude"	"hes"
"3.eth5"	"Eth 5 categories"	1.0596921	.21229523	.28940475	.77227166	.71557108	1.5693023	"crude"	"hes"
"4.eth5"	"Eth 5 categories"	.82972177	.31483403	-.49194139	.62276078	.39441012	1.7454882	"crude"	"hes"
"5.eth5"	"Eth 5 categories"	1.1982394	.30227772	.7169088	.47343037	.73082349	1.9646025	"crude"	"hes"
"6.eth5"	"Eth 5 categories"	.9933937	.047166	-.13960117	.88897512	.90512099	1.0902753	"crude"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"hes"
"2.eth5"	"Eth 5 categories"	1.4021017	.26266899	1.8040635	.07122135	.97121607	2.0241521	"model0"	"hes"
"3.eth5"	"Eth 5 categories"	1.2163297	.24355647	.97802135	.32806376	.82150022	1.8009221	"model0"	"hes"
"4.eth5"	"Eth 5 categories"	1.0069459	.38258561	.01821803	.98546492	.47818401	2.1203972	"model0"	"hes"
"5.eth5"	"Eth 5 categories"	1.4297864	.36112568	1.4155307	.15691296	.87152629	2.3456426	"model0"	"hes"
"6.eth5"	"Eth 5 categories"	1.005347	.04784625	.11205293	.91078144	.91581091	1.1036369	"model0"	"hes"
"0b.male"	"Male"	1	0			1	1	"model0"	"hes"
"1.male"	"Male"	1.8882436	.07901816	15.189629	4.143e-52	1.739552	2.0496449	"model0"	"hes"
"age1"	"Age spline 1"	1.0238869	.04335979	.55742879	.5772345	.94233459	1.1124971	"model0"	"hes"
"age2"	"Age spline 2"	1.195799	.11476474	1.8631704	.06243829	.99075342	1.4432806	"model0"	"hes"
"age3"	"Age spline 3"	.552393	.12227465	-2.6811998	.00733587	.35795704	.85244315	"model0"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"hes"
"2.eth5"	"Eth 5 categories"	1.3611277	.25526219	1.6440117	.10017378	.94246846	1.9657618	"model1"	"hes"
"3.eth5"	"Eth 5 categories"	1.1791806	.23615716	.82297886	.41052002	.7963579	1.7460328	"model1"	"hes"
"4.eth5"	"Eth 5 categories"	.97717441	.37131845	-.06076477	.95154655	.46400463	2.0578886	"model1"	"hes"
"5.eth5"	"Eth 5 categories"	1.4181492	.35819713	1.3831326	.16662422	.86442002	2.3265854	"model1"	"hes"
"6.eth5"	"Eth 5 categories"	1.0114373	.04816296	.23882413	.81124196	.92131082	1.1103804	"model1"	"hes"
"0b.male"	"Male"	1	0			1	1	"model1"	"hes"
