parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1.male"	"Male"	1.8814508	.07880545	15.089794	1.890e-51	1.7331649	2.0424237	"model1"	"hes"
"age1"	"Age spline 1"	1.0240804	.04326179	.56326981	.57325118	.94270425	1.1124812	"model1"	"hes"
"age2"	"Age spline 2"	1.1928482	.11424994	1.8411516	.06559935	.98868476	1.4391713	"model1"	"hes"
"age3"	"Age spline 3"	.55738662	.1231594	-2.6452739	.00816248	.36147327	.85948221	"model1"	"hes"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"hes"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1697006	.08225131	2.229119	.02580599	1.0191068	1.3425477	"model1"	"hes"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1591055	.08060556	2.1231815	.03373865	1.011415	1.3283622	"model1"	"hes"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2316484	.08314941	3.0862294	.00202712	1.0790003	1.4058919	"model1"	"hes"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3575155	.09458058	4.3870846	.00001149	1.1842408	1.5561432	"model1"	"hes"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"hes"
"2.eth5"	"Eth 5 categories"	1.2847914	.24226365	1.3289824	.18385379	.88782595	1.8592485	"model2"	"hes"
"3.eth5"	"Eth 5 categories"	1.1719526	.23561081	.78924741	.42996742	.79028447	1.7379476	"model2"	"hes"
"4.eth5"	"Eth 5 categories"	.90876107	.34549853	-.25164783	.80131328	.4313547	1.914542	"model2"	"hes"
"5.eth5"	"Eth 5 categories"	1.3877789	.35128604	1.2946186	.19545183	.84500079	2.2792052	"model2"	"hes"
"6.eth5"	"Eth 5 categories"	1.0599547	.05103819	1.2092346	.22657274	.96449697	1.1648601	"model2"	"hes"
"0b.male"	"Male"	1	0			1	1	"model2"	"hes"
"1.male"	"Male"	1.7411509	.07550915	12.787176	1.934e-37	1.5992708	1.8956178	"model2"	"hes"
"age1"	"Age spline 1"	1.0243774	.04430889	.55682218	.57764893	.94111292	1.1150087	"model2"	"hes"
"age2"	"Age spline 2"	1.1520292	.11257365	1.4483039	.14753209	.95123109	1.3952144	"model2"	"hes"
"age3"	"Age spline 3"	.61782368	.13904859	-2.1396429	.03238364	.39745823	.96036785	"model2"	"hes"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"hes"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1579989	.08147102	2.0850462	.03706511	1.008839	1.3292126	"model2"	"hes"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1521266	.08011718	2.0364172	.04170848	1.0053306	1.3203574	"model2"	"hes"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2044231	.08145155	2.7503907	.00595242	1.0549087	1.3751286	"model2"	"hes"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.322468	.09238902	4.000794	.00006313	1.1532391	1.5165301	"model2"	"hes"
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"hes"
"2.bmicat_sa"	"BMI with SA categories"	1.1977313	.1073577	2.0129499	.0441199	1.0047606	1.4277632	"model2"	"hes"
"3.bmicat_sa"	"BMI with SA categories"	1.2709183	.11801635	2.5817574	.00982987	1.0594386	1.5246124	"model2"	"hes"
"4.bmicat_sa"	"BMI with SA categories"	1.4581494	.14721315	3.7358581	.00018708	1.1963704	1.7772085	"model2"	"hes"
"5.bmicat_sa"	"BMI with SA categories"	1.3487059	.17481143	2.3079686	.02100088	1.0461391	1.7387817	"model2"	"hes"
"6.bmicat_sa"	"BMI with SA categories"	1.7048108	.27067809	3.3598522	.00077984	1.2489018	2.3271485	"model2"	"hes"
"7.bmicat_sa"	"BMI with SA categories"	1.1712223	.12313447	1.5033096	.13275922	.95312465	1.4392259	"model2"	"hes"
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model2"	"hes"
"1.hba1ccat"	"HbA1c category"	1.2227084	.10053479	2.4454029	.01446904	1.0407215	1.4365187	"model2"	"hes"
"2.hba1ccat"	"HbA1c category"	1.3979814	.18328676	2.5553663	.01060761	1.0811898	1.8075939	"model2"	"hes"
"3.hba1ccat"	"HbA1c category"	1.3025767	.16946043	2.0319128	.04216249	1.0094042	1.6808985	"model2"	"hes"
"4.hba1ccat"	"HbA1c category"	1.1992265	.15734026	1.3847163	.16613922	.92730446	1.5508868	"model2"	"hes"
"5.hba1ccat"	"HbA1c category"	.98874297	.05024109	-.22279431	.8236956	.89501687	1.0922841	"model2"	"hes"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0045234	.00121373	3.7353134	.00018748	1.0021474	1.0069051	"model2"	"hes"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"hes"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1946531	.05299986	4.0089935	.00006098	1.0951634	1.303181	"model2"	"hes"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0829293	.09728044	.88688563	.37514048	.90810477	1.2914103	"model2"	"hes"
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"hes"
"1.hypertension"	"Diagnosed hypertension"	.93523028	.04197587	-1.4919368	.13571571	.85647391	1.0212286	"model2"	"hes"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"model2"	"hes"
"2.bp_cat"	"Blood pressure four levels non-missing"	1.1636597	.07058043	2.4989339	.01245675	1.0332308	1.3105531	"model2"	"hes"
"3.bp_cat"	"Blood pressure four levels non-missing"	1.0004867	.05586933	.00871375	.99304752	.89676448	1.1162057	"model2"	"hes"
"4.bp_cat"	"Blood pressure four levels non-missing"	1.1511689	.06419915	2.5243183	.01159229	1.0319738	1.2841313	"model2"	"hes"
"5.bp_cat"	"Blood pressure four levels non-missing"	.76444838	.10467559	-1.961598	.0498093	.5845121	.99977628	"model2"	"hes"
"0b.asthma"	"Asthma category"	1	0			1	1	"model2"	"hes"
"1.asthma"	"Asthma category"	1.1864806	.07202696	2.8166962	.00485204	1.0533854	1.3363925	"model2"	"hes"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"hes"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.3437487	.06935114	5.7249002	1.035e-08	1.2144716	1.4867869	"model2"	"hes"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"hes"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.0943738	.0486137	2.0301512	.04234117	1.0031227	1.1939257	"model2"	"hes"
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"hes"
"1.dm_type"	"Diabetes Type"	1.3144308	.27568054	1.3035752	.19237846	.87138891	1.9827294	"model2"	"hes"
"2.dm_type"	"Diabetes Type"	1.0400922	.06969953	.58659429	.55747622	.91207468	1.186078	"model2"	"hes"
"3.dm_type"	"Diabetes Type"	.96165669	.10089152	-.3726639	.70939861	.78291905	1.1811995	"model2"	"hes"
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"hes"
"1.cancer"	"Cancer"	.99259293	.05544655	-.13309346	.89411947	.8896574	1.1074383	"model2"	"hes"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"hes"
"1.chronic_liver_disease"	"Chronic liver disease"	.87258587	.15006635	-.79250548	.428066	.62290165	1.2223536	"model2"	"hes"
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"hes"
"1.stroke"	"Stroke"	1.0655871	.0506072	1.3376033	.1810258	.9708752	1.1695384	"model2"	"hes"
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"hes"
"1.dementia"	"Dementia"	1.0554561	.05888415	.96742737	.33333043	.94613137	1.1774132	"model2"	"hes"
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"hes"
"1.other_neuro"	"Neurological disease"	1.1040902	.07595798	1.4393325	.15005633	.96481604	1.2634689	"model2"	"hes"
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"hes"
"1.egfr60"	"CKD defined by egfr<60"	1.3001076	.05762504	5.9212004	3.196e-09	1.1919314	1.4181016	"model2"	"hes"
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"hes"
"1.esrf"	"end stage renal failure"	1.6018746	.43552094	1.7330109	.08309374	.94016068	2.7293229	"model2"	"hes"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"hes"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.8614775	.4221746	2.739784	.00614796	1.1934635	2.9033969	"model2"	"hes"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"hes"
"1.ra_sle_psoriasis"	"Autoimmune disease"	.9811215	.07600674	-.2460199	.80566682	.84290931	1.1419964	"model2"	"hes"
