parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"modela"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	1.0473851	.01255056	3.863603	.00011173	1.023073	1.0722748	"modela"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.7739578	.00289174	-68.580578	0	.76831079	.77964631	"modela"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.95358107	.01651463	-2.7445067	.00606019	.92175617	.98650476	"modela"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	1.1423422	.02055698	7.3952361	1.412e-13	1.1027535	1.1833521	"modela"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	1.0409293	.01901172	2.1963132	.02806953	1.0043261	1.0788665	"modela"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.8870434	.01302963	-8.1600335	3.349e-16	.8618699	.91295217	"modela"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	1.1092646	.00578132	19.896431	4.370e-88	1.0979911	1.1206539	"modela"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	.83888183	.00584313	-25.222657	2.26e-140	.82750732	.85041269	"modela"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.62842002	.00981072	-29.756253	1.44e-194	.60948256	.64794588	"modela"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	1.0123483	.00768107	1.6175075	.10576878	.99740502	1.0275154	"modela"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.96449839	.01188399	-2.9336807	.00334969	.94148519	.98807411	"modela"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	1.1007602	.0086605	12.201848	3.038e-34	1.0839161	1.117866	"modela"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.94365162	.01286036	-4.2557224	.00002084	.91877944	.96919712	"modela"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.41917039	.00744582	-48.948193	0	.40482797	.43402094	"modela"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.82706308	.00699992	-22.434272	1.82e-111	.81345666	.84089709	"modela"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.95219652	.00206356	-22.602814	4.07e-113	.9481606	.95624963	"modela"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"modela"	"tested"	""
"1.male"	"Male"	.78368272	.00142473	-134.07695	0	.78089527	.78648012	"modela"	"tested"	""
"age1"	"Age spline 1"	1.0143971	.00024868	58.309785	0	1.0139098	1.0148846	"modela"	"tested"	""
"age2"	"Age spline 2"	.91031003	.00073911	-115.73697	0	.90886256	.91175981	"modela"	"tested"	""
"age3"	"Age spline 3"	1.3090761	.00294405	119.75438	0	1.3033185	1.314859	"modela"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"modela"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0270416	.00278612	9.8358772	7.888e-23	1.0215954	1.0325168	"modela"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0549439	.00287688	19.613711	1.181e-85	1.0493203	1.0605976	"modela"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0874226	.00299413	30.438606	1.70e-203	1.0815701	1.0933069	"modela"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0719707	.00309924	24.038343	1.11e-127	1.0659134	1.0780623	"modela"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"modela"	"tested"	""
"2.bmicat_sa"	"BMI with SA categories"	.95619409	.00601458	-7.1213847	1.068e-12	.9444781	.9680554	"modela"	"tested"	""
"3.bmicat_sa"	"BMI with SA categories"	.9816491	.00621281	-2.9264511	.00342853	.96954743	.99390182	"modela"	"tested"	""
"4.bmicat_sa"	"BMI with SA categories"	1.0220105	.00664752	3.3472588	.00081615	1.0090643	1.0351228	"modela"	"tested"	""
"5.bmicat_sa"	"BMI with SA categories"	1.069496	.00745185	9.6428068	5.273e-22	1.0549899	1.0842015	"modela"	"tested"	""
"6.bmicat_sa"	"BMI with SA categories"	1.1017008	.00837109	12.746899	3.244e-37	1.0854154	1.1182307	"modela"	"tested"	""
"7.bmicat_sa"	"BMI with SA categories"	.87777164	.005731	-19.967542	1.055e-88	.86661065	.88907638	"modela"	"tested"	""
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"modela"	"tested"	""
"1.hba1ccat"	"HbA1c category"	.93370916	.00555878	-11.521117	1.033e-30	.92287746	.94466798	"modela"	"tested"	""
"2.hba1ccat"	"HbA1c category"	.94881975	.00884011	-5.6388012	1.712e-08	.93165069	.9663052	"modela"	"tested"	""
"3.hba1ccat"	"HbA1c category"	.97955558	.00875775	-2.3104104	.02086544	.96254023	.99687173	"modela"	"tested"	""
"4.hba1ccat"	"HbA1c category"	1.0814455	.0089834	9.4257875	4.269e-21	1.0639809	1.0991967	"modela"	"tested"	""
"5.hba1ccat"	"HbA1c category"	.86901941	.00182609	-66.810289	0	.8654477	.87260586	"modela"	"tested"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0116503	.00004565	256.69321	0	1.0115608	1.0117398	"modela"	"tested"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"modela"	"tested"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1011809	.00219543	48.343736	0	1.0968863	1.1054923	"modela"	"tested"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.1113029	.00274054	42.79414	0	1.1059445	1.1166873	"modela"	"tested"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"modela"	"tested"	""
"1.hypertension"	"Diagnosed hypertension"	.98133362	.00247845	-7.4607284	8.605e-14	.97648795	.98620334	"modela"	"tested"	""
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"modela"	"tested"	""
"2.bp_cat"	"Blood pressure four levels non-missing"	.93689381	.00292342	-20.890514	6.531e-97	.93118149	.94264116	"modela"	"tested"	""
"3.bp_cat"	"Blood pressure four levels non-missing"	.92264669	.00239474	-31.018514	3.03e-211	.91796501	.92735226	"modela"	"tested"	""
"4.bp_cat"	"Blood pressure four levels non-missing"	.92729737	.00272432	-25.692077	1.43e-145	.92197315	.93265233	"modela"	"tested"	""
"5.bp_cat"	"Blood pressure four levels non-missing"	.6940215	.00204006	-124.25759	0	.69003455	.69803148	"modela"	"tested"	""
"0b.asthma"	"Asthma category"	1	0			1	1	"modela"	"tested"	""
"1.asthma"	"Asthma category"	1.0839731	.00241058	36.258498	7.30e-288	1.0792588	1.0887081	"modela"	"tested"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"modela"	"tested"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.275745	.00465503	66.741312	0	1.2666539	1.2849014	"modela"	"tested"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"modela"	"tested"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.4062779	.00433807	110.52501	0	1.3978011	1.4148061	"modela"	"tested"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"modela"	"tested"	""
"1.dm_type"	"Diabetes Type"	1.1183751	.01242644	10.068873	7.584e-24	1.094283	1.1429976	"modela"	"tested"	""
"2.dm_type"	"Diabetes Type"	1.0427571	.00533447	8.1841953	2.741e-16	1.0323539	1.053265	"modela"	"tested"	""
"3.dm_type"	"Diabetes Type"	.9963311	.00550973	-.66467037	.50626135	.98559054	1.0071887	"modela"	"tested"	""
"0b.cancer"	"Cancer"	1	0			1	1	"modela"	"tested"	""
"1.cancer"	"Cancer"	1.6539293	.00504961	164.80103	0	1.6440618	1.663856	"modela"	"tested"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"modela"	"tested"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.5837583	.01268159	57.422841	0	1.5590969	1.6088099	"modela"	"tested"	""
"0b.stroke"	"Stroke"	1	0			1	1	"modela"	"tested"	""
"1.stroke"	"Stroke"	1.4713217	.00670087	84.790021	0	1.4582467	1.484514	"modela"	"tested"	""
"0b.dementia"	"Dementia"	1	0			1	1	"modela"	"tested"	""
"1.dementia"	"Dementia"	2.324452	.02472556	79.296033	0	2.2764925	2.3734219	"modela"	"tested"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"modela"	"tested"	""
"1.other_neuro"	"Neurological disease"	1.3894091	.00939876	48.617772	0	1.3711094	1.407953	"modela"	"tested"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"modela"	"tested"	""
"1.egfr60"	"CKD defined by egfr<60"	1.1372442	.00423425	34.541838	1.89e-261	1.1289754	1.1455735	"modela"	"tested"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"modela"	"tested"	""
"1.esrf"	"end stage renal failure"	2.8787731	.03795415	80.199705	0	2.8053372	2.9541313	"modela"	"tested"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"modela"	"tested"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.0715556	.01085716	6.8210066	9.040e-12	1.0504859	1.0930479	"modela"	"tested"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"modela"	"tested"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.0412814	.00371497	11.338449	8.463e-30	1.0340256	1.0485881	"modela"	"tested"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"modela"	"tested"	""
"2.hh_total_cat"	"Number of people in household"	1.0754562	.00222473	35.165695	6.69e-271	1.0711047	1.0798255	"modela"	"tested"	""
"3.hh_total_cat"	"Number of people in household"	.97788827	.00402942	-5.4264435	5.749e-08	.97002255	.98581777	"modela"	"tested"	""
"4.hh_total_cat"	"Number of people in household"	1.4720533	.01197387	47.535313	0	1.4487711	1.4957097	"modela"	"tested"	""
"9.hh_total_cat"	"Number of people in household"	.98638059	.00270167	-5.0066153	5.540e-07	.98109959	.99169001	"modela"	"tested"	""
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"modelb"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	1.0192268	.01218569	1.592892	.11118442	.99562097	1.0433924	"modelb"	"tested"	""
