parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"onsconfirmeddeath"
"2.ethnicity_16"	"Eth 16 categories"	1.3646513	.14876746	2.8518911	.004346	1.1021176	1.6897227	"crude"	"onsconfirmeddeath"
"3.ethnicity_16"	"Eth 16 categories"	.41899108	.02138563	-17.043349	3.916e-65	.37910438	.46307439	"crude"	"onsconfirmeddeath"
"4.ethnicity_16"	"Eth 16 categories"	.71618785	.14973366	-1.5966527	.11034314	.47540739	1.0789168	"crude"	"onsconfirmeddeath"
"5.ethnicity_16"	"Eth 16 categories"	.38446596	.12170406	-3.0197105	.00253016	.20673169	.71500445	"crude"	"onsconfirmeddeath"
"6.ethnicity_16"	"Eth 16 categories"	.38309894	.12127548	-3.030859	.00243859	.20599224	.7124773	"crude"	"onsconfirmeddeath"
"7.ethnicity_16"	"Eth 16 categories"	.35712606	.08438939	-4.3574285	.00001316	.22474055	.5674945	"crude"	"onsconfirmeddeath"
"8.ethnicity_16"	"Eth 16 categories"	.87965179	.05196319	-2.1707096	.02995313	.78348056	.98762791	"crude"	"onsconfirmeddeath"
"9.ethnicity_16"	"Eth 16 categories"	.82542442	.05952621	-2.660407	.00780463	.71662535	.95074151	"crude"	"onsconfirmeddeath"
"10.ethnicity_16"	"Eth 16 categories"	.74356864	.11286923	-1.9519498	.05094417	.55222214	1.0012172	"crude"	"onsconfirmeddeath"
"11.ethnicity_16"	"Eth 16 categories"	.73359277	.06489559	-3.5020549	.00046168	.61681575	.87247828	"crude"	"onsconfirmeddeath"
"12.ethnicity_16"	"Eth 16 categories"	1.7410782	.15708921	6.1457807	7.957e-10	1.4588761	2.0778689	"crude"	"onsconfirmeddeath"
"13.ethnicity_16"	"Eth 16 categories"	.55059552	.05938634	-5.5327631	3.152e-08	.44568033	.68020824	"crude"	"onsconfirmeddeath"
"14.ethnicity_16"	"Eth 16 categories"	.62591271	.10345418	-2.834761	.004586	.45271268	.86537608	"crude"	"onsconfirmeddeath"
"15.ethnicity_16"	"Eth 16 categories"	.27549216	.05890266	-6.029667	1.643e-09	.18118191	.41889354	"crude"	"onsconfirmeddeath"
"16.ethnicity_16"	"Eth 16 categories"	.50377815	.05444562	-6.3439452	2.240e-10	.40761116	.62263365	"crude"	"onsconfirmeddeath"
"17.ethnicity_16"	"Eth 16 categories"	.95207971	.02136183	-2.1886382	.02862314	.91111855	.99488237	"crude"	"onsconfirmeddeath"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"onsconfirmeddeath"
"2.ethnicity_16"	"Eth 16 categories"	1.0700514	.11677782	.62040591	.53499058	.86399364	1.3252529	"model0"	"onsconfirmeddeath"
"3.ethnicity_16"	"Eth 16 categories"	.94007146	.04810489	-1.2076909	.22716617	.85036149	1.0392455	"model0"	"onsconfirmeddeath"
"4.ethnicity_16"	"Eth 16 categories"	1.7918273	.37497204	2.7870292	.00531937	1.1889591	2.7003829	"model0"	"onsconfirmeddeath"
"5.ethnicity_16"	"Eth 16 categories"	1.5802185	.50066	1.444193	.14868471	.84924162	2.9403768	"model0"	"onsconfirmeddeath"
"6.ethnicity_16"	"Eth 16 categories"	1.4688711	.46533063	1.2137012	.22486186	.78945524	2.7330014	"model0"	"onsconfirmeddeath"
"7.ethnicity_16"	"Eth 16 categories"	1.3975941	.33072452	1.4146146	.15718152	.87892946	2.2223276	"model0"	"onsconfirmeddeath"
"8.ethnicity_16"	"Eth 16 categories"	1.6550395	.09909593	8.4145748	3.943e-17	1.4717785	1.8611196	"model0"	"onsconfirmeddeath"
"9.ethnicity_16"	"Eth 16 categories"	2.1874282	.15814108	10.826777	2.570e-27	1.8984354	2.5204135	"model0"	"onsconfirmeddeath"
"10.ethnicity_16"	"Eth 16 categories"	2.6413282	.40145858	6.3903836	1.655e-10	1.960863	3.5579308	"model0"	"onsconfirmeddeath"
"11.ethnicity_16"	"Eth 16 categories"	2.0253289	.1814169	7.8787565	3.307e-15	1.6992215	2.4140214	"model0"	"onsconfirmeddeath"
"12.ethnicity_16"	"Eth 16 categories"	1.6811343	.15231883	5.7333475	9.847e-09	1.4076007	2.0078227	"model0"	"onsconfirmeddeath"
"13.ethnicity_16"	"Eth 16 categories"	2.2545521	.24608243	7.4480784	9.471e-14	1.8203394	2.7923394	"model0"	"onsconfirmeddeath"
"14.ethnicity_16"	"Eth 16 categories"	1.9886015	.32932243	4.1510307	.0000331	1.4374227	2.7511294	"model0"	"onsconfirmeddeath"
"15.ethnicity_16"	"Eth 16 categories"	1.0370233	.22178983	.16998214	.86502419	.68193135	1.5770169	"model0"	"onsconfirmeddeath"
"16.ethnicity_16"	"Eth 16 categories"	1.467837	.15969017	3.5277127	.00041917	1.1859686	1.8166969	"model0"	"onsconfirmeddeath"
"17.ethnicity_16"	"Eth 16 categories"	1.0455785	.02370863	1.9656054	.04934421	1.0001279	1.0930947	"model0"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model0"	"onsconfirmeddeath"
"1.male"	"Male"	1.8916666	.03656625	32.977357	1.72e-238	1.8213387	1.9647101	"model0"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.164242	.02152162	8.2264524	1.928e-16	1.1228154	1.2071971	"model0"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.924149	.0365512	-1.9944266	.04610546	.85521628	.99863789	"model0"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.1891231	.10625134	1.9385664	.05255416	.99808989	1.4167198	"model0"	"onsconfirmeddeath"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model1"	"onsconfirmeddeath"
"2.ethnicity_16"	"Eth 16 categories"	.99940317	.10912052	-.00546784	.99563731	.80686652	1.2378834	"model1"	"onsconfirmeddeath"
"3.ethnicity_16"	"Eth 16 categories"	.90539563	.04631903	-1.9426398	.0520597	.81901504	1.0008867	"model1"	"onsconfirmeddeath"
"4.ethnicity_16"	"Eth 16 categories"	1.5723243	.32912728	2.1619697	.03062051	1.0431917	2.3698462	"model1"	"onsconfirmeddeath"
"5.ethnicity_16"	"Eth 16 categories"	1.4105875	.44697366	1.0856365	.27763985	.75801761	2.6249482	"model1"	"onsconfirmeddeath"
"6.ethnicity_16"	"Eth 16 categories"	1.4171749	.44897793	1.1005437	.2710953	.76164508	2.6369037	"model1"	"onsconfirmeddeath"
"7.ethnicity_16"	"Eth 16 categories"	1.3048371	.30879198	1.124345	.26086668	.82057441	2.0748879	"model1"	"onsconfirmeddeath"
"8.ethnicity_16"	"Eth 16 categories"	1.5172079	.09118465	6.9362668	4.026e-12	1.3486139	1.7068783	"model1"	"onsconfirmeddeath"
"9.ethnicity_16"	"Eth 16 categories"	1.7995874	.13101977	8.0702403	7.016e-16	1.5602739	2.0756067	"model1"	"onsconfirmeddeath"
"10.ethnicity_16"	"Eth 16 categories"	2.1520417	.32763341	5.0341673	4.799e-07	1.5968391	2.9002819	"model1"	"onsconfirmeddeath"
"11.ethnicity_16"	"Eth 16 categories"	1.8506037	.16584214	6.8683907	6.493e-12	1.5525045	2.2059415	"model1"	"onsconfirmeddeath"
"12.ethnicity_16"	"Eth 16 categories"	1.4321384	.13001413	3.9563332	.00007611	1.198699	1.7110385	"model1"	"onsconfirmeddeath"
"13.ethnicity_16"	"Eth 16 categories"	1.9159286	.20951746	5.945764	2.752e-09	1.5463069	2.3739029	"model1"	"onsconfirmeddeath"
"14.ethnicity_16"	"Eth 16 categories"	1.7192546	.28489709	3.2701219	.00107501	1.2424756	2.3789894	"model1"	"onsconfirmeddeath"
"15.ethnicity_16"	"Eth 16 categories"	1.0069085	.21535446	.03219034	.97432026	.66212149	1.5312368	"model1"	"onsconfirmeddeath"
"16.ethnicity_16"	"Eth 16 categories"	1.362126	.14820705	2.8403546	.00450634	1.1005296	1.6859041	"model1"	"onsconfirmeddeath"
"17.ethnicity_16"	"Eth 16 categories"	1.0478285	.0237715	2.0593763	.0394582	1.0022579	1.0954712	"model1"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model1"	"onsconfirmeddeath"
"1.male"	"Male"	1.9050252	.03684739	33.320667	1.94e-243	1.8341574	1.9786311	"model1"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.1632139	.02142588	8.2079506	2.250e-16	1.1219689	1.2059751	"model1"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.9304077	.03670637	-1.8283621	.06749523	.86117568	1.0052054	"model1"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.1671521	.10407276	1.7334295	.08301936	.98000299	1.3900406	"model1"	"onsconfirmeddeath"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"onsconfirmeddeath"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1504611	.03644569	4.4244445	9.669e-06	1.0812013	1.2241576	"model1"	"onsconfirmeddeath"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.353893	.04241969	9.6702283	4.035e-22	1.2732533	1.4396399	"model1"	"onsconfirmeddeath"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6737108	.05187333	16.618046	5.159e-62	1.5750674	1.7785322	"model1"	"onsconfirmeddeath"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9590508	.06197878	21.255397	2.94e-100	1.8412642	2.0843723	"model1"	"onsconfirmeddeath"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.ethnicity_16"	"Eth 16 categories"	.96775771	.10572151	-.30000359	.76417442	.78122866	1.1988231	"model2"	"onsconfirmeddeath"
"3.ethnicity_16"	"Eth 16 categories"	.94699206	.04844129	-1.0647427	.2869924	.85665311	1.0468578	"model2"	"onsconfirmeddeath"
"4.ethnicity_16"	"Eth 16 categories"	1.4336847	.30028037	1.7199988	.08543267	.95098224	2.1613989	"model2"	"onsconfirmeddeath"
"5.ethnicity_16"	"Eth 16 categories"	1.5465395	.49017049	1.3756884	.16891812	.83095123	2.878369	"model2"	"onsconfirmeddeath"
