parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.1982903	.03891507	5.5702227	2.544e-08	1.1243948	1.2770421	"model2"	"onsconfirmeddeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.eth5"	"Eth 5 categories"	1.303195	.05878968	5.8702596	4.351e-09	1.1929165	1.4236682	"model3"	"onsconfirmeddeath"
"3.eth5"	"Eth 5 categories"	1.5198866	.10143506	6.2727706	3.547e-10	1.3335313	1.7322843	"model3"	"onsconfirmeddeath"
"4.eth5"	"Eth 5 categories"	1.4180755	.18365003	2.6971667	.00699322	1.1001786	1.8278288	"model3"	"onsconfirmeddeath"
"5.eth5"	"Eth 5 categories"	1.3309074	.12992502	2.9282618	.00340863	1.0991384	1.6115482	"model3"	"onsconfirmeddeath"
"6.eth5"	"Eth 5 categories"	1.1460559	.02611076	5.9836515	2.182e-09	1.0960055	1.1983919	"model3"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.male"	"Male"	1.7517936	.03553289	27.639908	3.69e-168	1.6835166	1.8228396	"model3"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.183318	.02239148	8.8952978	5.826e-19	1.1402354	1.2280285	"model3"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.86179871	.03492089	-3.6705355	.00024204	.79600236	.93303369	"model3"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.3797369	.12638057	3.5142062	.00044107	1.1529972	1.6510654	"model3"	"onsconfirmeddeath"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1052675	.03503133	3.1578401	.00158943	1.0386965	1.1761051	"model3"	"onsconfirmeddeath"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2257974	.03854163	6.4751272	9.473e-11	1.1525377	1.3037137	"model3"	"onsconfirmeddeath"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4440142	.04506556	11.773284	5.360e-32	1.3583344	1.5350984	"model3"	"onsconfirmeddeath"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6074963	.05162025	14.781851	1.918e-49	1.5094406	1.7119219	"model3"	"onsconfirmeddeath"
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.bmicat_sa"	"BMI with SA categories"	.62385425	.03473363	-8.4747398	2.356e-17	.55936044	.69578414	"model3"	"onsconfirmeddeath"
"3.bmicat_sa"	"BMI with SA categories"	.53731819	.03017037	-11.062613	1.905e-28	.48132304	.5998276	"model3"	"onsconfirmeddeath"
"4.bmicat_sa"	"BMI with SA categories"	.67667545	.03932082	-6.7212421	1.802e-11	.60383474	.75830295	"model3"	"onsconfirmeddeath"
"5.bmicat_sa"	"BMI with SA categories"	.92242004	.05855535	-1.2721238	.20332914	.81450611	1.0446315	"model3"	"onsconfirmeddeath"
"6.bmicat_sa"	"BMI with SA categories"	1.2633976	.0902321	3.273648	.00106169	1.0983659	1.4532255	"model3"	"onsconfirmeddeath"
"7.bmicat_sa"	"BMI with SA categories"	.82699106	.05158178	-3.045579	.00232233	.7318279	.93452876	"model3"	"onsconfirmeddeath"
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.hba1ccat"	"HbA1c category"	1.0333133	.03925642	.86258941	.38836326	.95916693	1.1131915	"model3"	"onsconfirmeddeath"
"2.hba1ccat"	"HbA1c category"	1.2850128	.0708963	4.5452436	5.487e-06	1.1533078	1.4317581	"model3"	"onsconfirmeddeath"
"3.hba1ccat"	"HbA1c category"	1.2826213	.07092497	4.5012638	6.755e-06	1.150879	1.4294444	"model3"	"onsconfirmeddeath"
"4.hba1ccat"	"HbA1c category"	1.6491777	.0875499	9.4237152	4.354e-21	1.4862084	1.8300172	"model3"	"onsconfirmeddeath"
"5.hba1ccat"	"HbA1c category"	1.0798811	.02951719	2.8115779	.00492992	1.0235508	1.1393114	"model3"	"onsconfirmeddeath"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0102342	.00046148	22.289786	4.64e-110	1.0093301	1.0111391	"model3"	"onsconfirmeddeath"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.2266263	.02689717	9.3154754	1.214e-20	1.1750256	1.280493	"model3"	"onsconfirmeddeath"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.98804367	.03953256	-.3006272	.76369879	.91352148	1.0686451	"model3"	"onsconfirmeddeath"
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.hypertension"	"Diagnosed hypertension"	1.043334	.02334541	1.8958586	.05797875	.99856662	1.0901083	"model3"	"onsconfirmeddeath"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.bp_cat"	"Blood pressure four levels non-missing"	.74595837	.02344253	-9.3261918	1.097e-20	.70139825	.79334941	"model3"	"onsconfirmeddeath"
"3.bp_cat"	"Blood pressure four levels non-missing"	.63902793	.01765065	-16.212505	4.115e-59	.60535303	.67457611	"model3"	"onsconfirmeddeath"
"4.bp_cat"	"Blood pressure four levels non-missing"	.62544068	.01752465	-16.748899	5.768e-63	.59201911	.660749	"model3"	"onsconfirmeddeath"
"5.bp_cat"	"Blood pressure four levels non-missing"	.36718729	.02093184	-17.575082	3.823e-69	.3283705	.41059262	"model3"	"onsconfirmeddeath"
"0b.asthma"	"Asthma category"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.asthma"	"Asthma category"	1.0668944	.0286101	2.4146543	.01575015	1.0122677	1.1244689	"model3"	"onsconfirmeddeath"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6593058	.03971064	21.159852	2.239e-99	1.5832715	1.7389914	"model3"	"onsconfirmeddeath"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2688395	.02692967	11.218635	3.303e-29	1.217141	1.3227338	"model3"	"onsconfirmeddeath"
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.dm_type"	"Diabetes Type"	1.9930115	.18388411	7.4746754	7.739e-14	1.6633137	2.3880612	"model3"	"onsconfirmeddeath"
"2.dm_type"	"Diabetes Type"	1.3974568	.04696468	9.9577919	2.332e-23	1.3083738	1.4926051	"model3"	"onsconfirmeddeath"
"3.dm_type"	"Diabetes Type"	1.0150604	.0455085	.33341509	.73882098	.9296719	1.1082916	"model3"	"onsconfirmeddeath"
"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.cancer"	"Cancer"	1.339705	.03096382	12.65335	1.072e-36	1.2803711	1.4017886	"model3"	"onsconfirmeddeath"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.chronic_liver_disease"	"Chronic liver disease"	1.9488146	.12577272	10.338415	4.723e-25	1.7172583	2.2115941	"model3"	"onsconfirmeddeath"
"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.stroke"	"Stroke"	1.3803653	.03727203	11.938128	7.489e-33	1.3092128	1.4553847	"model3"	"onsconfirmeddeath"
"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.dementia"	"Dementia"	2.1585674	.09586276	17.325793	3.005e-67	1.9786248	2.3548746	"model3"	"onsconfirmeddeath"
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.other_neuro"	"Neurological disease"	2.4222456	.09748741	21.981801	4.30e-107	2.2385156	2.6210556	"model3"	"onsconfirmeddeath"
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.egfr60"	"CKD defined by egfr<60"	1.4461582	.0319545	16.695709	1.408e-62	1.3848654	1.5101639	"model3"	"onsconfirmeddeath"
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.esrf"	"end stage renal failure"	4.7186555	.33330655	21.965086	6.21e-107	4.1085907	5.419306	"model3"	"onsconfirmeddeath"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.4338524	.11779686	4.386449	.00001152	1.2206039	1.684357	"model3"	"onsconfirmeddeath"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"	"onsconfirmeddeath"
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.2050043	.03918189	5.7351249	9.744e-09	1.1306052	1.2842993	"model3"	"onsconfirmeddeath"
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"	"onsconfirmeddeath"
"2.hh_total_cat"	"Number of people in household"	1.0401042	.0307878	1.3283775	.18405342	.98147828	1.102232	"model3"	"onsconfirmeddeath"
"3.hh_total_cat"	"Number of people in household"	1.5916942	.08802654	8.4044858	4.297e-17	1.4281869	1.7739207	"model3"	"onsconfirmeddeath"
"4.hh_total_cat"	"Number of people in household"	7.0761452	.29301809	47.253398	0	6.5245279	7.6743991	"model3"	"onsconfirmeddeath"
"9.hh_total_cat"	"Number of people in household"	.92512675	.02947184	-2.4429267	.0145687	.86912939	.98473197	"model3"	"onsconfirmeddeath"
