parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"onsconfirmeddeath"
"2.eth5"	"Eth 5 categories"	.91292989	.03730971	-2.2290295	.02581194	.84265623	.98906404	"crude"	"onsconfirmeddeath"
"3.eth5"	"Eth 5 categories"	.96406554	.06235354	-.56582104	.57151544	.84928373	1.0943603	"crude"	"onsconfirmeddeath"
"4.eth5"	"Eth 5 categories"	.50104658	.06452449	-5.3662001	8.041e-08	.38927889	.64490442	"crude"	"onsconfirmeddeath"
"5.eth5"	"Eth 5 categories"	.48304507	.0466452	-7.5352976	4.872e-14	.39975275	.58369215	"crude"	"onsconfirmeddeath"
"6.eth5"	"Eth 5 categories"	1.0247988	.02273135	1.104369	.26943309	.98120076	1.0703341	"crude"	"onsconfirmeddeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"onsconfirmeddeath"
"2.eth5"	"Eth 5 categories"	1.9151733	.0804156	15.475793	5.055e-54	1.7638728	2.0794521	"model0"	"onsconfirmeddeath"
"3.eth5"	"Eth 5 categories"	1.9055212	.12537055	9.7997124	1.129e-22	1.674983	2.1677897	"model0"	"onsconfirmeddeath"
"4.eth5"	"Eth 5 categories"	1.5799877	.2042486	3.5384007	.00040256	1.2263571	2.0355908	"model0"	"onsconfirmeddeath"
"5.eth5"	"Eth 5 categories"	1.3654438	.13277969	3.2031086	.00135953	1.1284973	1.652141	"model0"	"onsconfirmeddeath"
"6.eth5"	"Eth 5 categories"	1.0483076	.02353049	2.1017859	.03557203	1.0031884	1.095456	"model0"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model0"	"onsconfirmeddeath"
"1.male"	"Male"	1.8919053	.0365689	32.985662	1.30e-238	1.8215722	1.9649539	"model0"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.1650829	.02156315	8.25555	1.512e-16	1.1235773	1.2081218	"model0"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.92190716	.03649638	-2.0539291	.03998256	.85308027	.99628703	"model0"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.1963543	.10698061	2.0048585	.04497818	1.0040226	1.4255292	"model0"	"onsconfirmeddeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"onsconfirmeddeath"
"2.eth5"	"Eth 5 categories"	1.7020784	.07175718	12.615469	1.735e-36	1.5670906	1.8486938	"model1"	"onsconfirmeddeath"
"3.eth5"	"Eth 5 categories"	1.6308652	.10772799	7.4045155	1.316e-13	1.432819	1.8562856	"model1"	"onsconfirmeddeath"
"4.eth5"	"Eth 5 categories"	1.447377	.18716508	2.8593573	.004245	1.1233368	1.8648905	"model1"	"onsconfirmeddeath"
"5.eth5"	"Eth 5 categories"	1.2862681	.12510341	2.5883525	.00964362	1.0630239	1.5563957	"model1"	"onsconfirmeddeath"
"6.eth5"	"Eth 5 categories"	1.0538752	.02366609	2.3367215	.01945367	1.0084965	1.1012958	"model1"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model1"	"onsconfirmeddeath"
"1.male"	"Male"	1.9053417	.03685177	33.330836	1.38e-243	1.8344655	1.9789564	"model1"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.1640539	.0214748	8.2342968	1.806e-16	1.1227159	1.2069139	"model1"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.92864555	.03668224	-1.8740926	.06091766	.85946232	1.0033977	"model1"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.1723203	.10464511	1.7810794	.07489949	.98415899	1.3964561	"model1"	"onsconfirmeddeath"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"onsconfirmeddeath"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1499089	.03642667	4.4094727	.00001036	1.0806851	1.2235668	"model1"	"onsconfirmeddeath"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3522801	.04236371	9.6334214	5.777e-22	1.2717465	1.4379135	"model1"	"onsconfirmeddeath"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6708089	.05176131	16.56912	1.165e-61	1.5723772	1.7754025	"model1"	"onsconfirmeddeath"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9635856	.06194072	21.390984	1.62e-101	1.8458608	2.0888187	"model1"	"onsconfirmeddeath"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.eth5"	"Eth 5 categories"	1.5079976	.06513342	9.5106206	1.895e-21	1.3855926	1.641216	"model2"	"onsconfirmeddeath"
"3.eth5"	"Eth 5 categories"	1.5145316	.10099747	6.2248243	4.821e-10	1.3289708	1.7260018	"model2"	"onsconfirmeddeath"
"4.eth5"	"Eth 5 categories"	1.4341138	.18562562	2.785529	.00534405	1.1127758	1.848245	"model2"	"onsconfirmeddeath"
"5.eth5"	"Eth 5 categories"	1.3541571	.13206892	3.1086208	.00187963	1.1185428	1.639402	"model2"	"onsconfirmeddeath"
"6.eth5"	"Eth 5 categories"	1.1322334	.0257931	5.4516318	4.991e-08	1.0827918	1.1839325	"model2"	"onsconfirmeddeath"
"0b.male"	"Male"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.male"	"Male"	1.7179734	.03472256	26.774333	6.43e-158	1.6512487	1.7873943	"model2"	"onsconfirmeddeath"
"age1"	"Age spline 1"	1.1964847	.02319162	9.2548415	2.145e-20	1.1518825	1.2428139	"model2"	"onsconfirmeddeath"
"age2"	"Age spline 2"	.82734654	.03416455	-4.5897964	4.437e-06	.76302336	.8970922	"model2"	"onsconfirmeddeath"
"age3"	"Age spline 3"	1.5429202	.14368707	4.6568476	3.211e-06	1.2855053	1.8518809	"model2"	"onsconfirmeddeath"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1071721	.03508418	3.2128482	.00131426	1.0405002	1.1781161	"model2"	"onsconfirmeddeath"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2495395	.03923892	7.0941366	1.302e-12	1.1749515	1.3288624	"model2"	"onsconfirmeddeath"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4739743	.04595484	12.443665	1.514e-35	1.3866012	1.566853	"model2"	"onsconfirmeddeath"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.620819	.05194718	15.068086	2.626e-51	1.5221363	1.7258994	"model2"	"onsconfirmeddeath"
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.bmicat_sa"	"BMI with SA categories"	.57385973	.0318851	-9.9954084	1.596e-23	.51464863	.63988314	"model2"	"onsconfirmeddeath"
"3.bmicat_sa"	"BMI with SA categories"	.49203183	.02754382	-12.66908	8.774e-37	.4409031	.54908964	"model2"	"onsconfirmeddeath"
"4.bmicat_sa"	"BMI with SA categories"	.62677516	.03631295	-8.0634855	7.415e-16	.55949528	.70214552	"model2"	"onsconfirmeddeath"
"5.bmicat_sa"	"BMI with SA categories"	.85405869	.05407139	-2.4917493	.01271157	.75439225	.96689255	"model2"	"onsconfirmeddeath"
"6.bmicat_sa"	"BMI with SA categories"	1.1754094	.08377104	2.267676	.02334896	1.0221728	1.3516182	"model2"	"onsconfirmeddeath"
"7.bmicat_sa"	"BMI with SA categories"	.7730253	.04823446	-4.1258955	.00003693	.68403966	.87358694	"model2"	"onsconfirmeddeath"
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.hba1ccat"	"HbA1c category"	1.0240969	.03892189	.62650888	.53098121	.9505834	1.1032955	"model2"	"onsconfirmeddeath"
"2.hba1ccat"	"HbA1c category"	1.2815647	.07070997	4.4962941	6.915e-06	1.1502063	1.4279248	"model2"	"onsconfirmeddeath"
"3.hba1ccat"	"HbA1c category"	1.2834079	.07099201	4.510854	6.457e-06	1.1515433	1.4303724	"model2"	"onsconfirmeddeath"
"4.hba1ccat"	"HbA1c category"	1.6600121	.08818679	9.540379	1.423e-21	1.4958631	1.8421739	"model2"	"onsconfirmeddeath"
"5.hba1ccat"	"HbA1c category"	1.1233403	.03072596	4.2521703	.00002117	1.0647043	1.1852056	"model2"	"onsconfirmeddeath"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0110424	.00050532	21.972556	5.27e-107	1.0100525	1.0120333	"model2"	"onsconfirmeddeath"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.2142491	.02660601	8.859549	8.034e-19	1.1632062	1.2675319	"model2"	"onsconfirmeddeath"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.9833495	.03932073	-.41990832	.67455243	.90922488	1.0635171	"model2"	"onsconfirmeddeath"
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.hypertension"	"Diagnosed hypertension"	1.0377754	.02328394	1.6526455	.09840303	.9931286	1.0844294	"model2"	"onsconfirmeddeath"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"model2"	"onsconfirmeddeath"
"2.bp_cat"	"Blood pressure four levels non-missing"	.72113067	.02263821	-10.414373	2.132e-25	.67809803	.7668942	"model2"	"onsconfirmeddeath"
"3.bp_cat"	"Blood pressure four levels non-missing"	.61660045	.0170019	-17.536115	7.594e-69	.58416178	.65084046	"model2"	"onsconfirmeddeath"
"4.bp_cat"	"Blood pressure four levels non-missing"	.59570586	.01665201	-18.531127	1.158e-76	.56394647	.62925382	"model2"	"onsconfirmeddeath"
"5.bp_cat"	"Blood pressure four levels non-missing"	.3519033	.02006533	-18.316536	6.108e-75	.31469388	.39351237	"model2"	"onsconfirmeddeath"
"0b.asthma"	"Asthma category"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.asthma"	"Asthma category"	1.0526491	.0282399	1.9125918	.05580033	.99872993	1.1094793	"model2"	"onsconfirmeddeath"
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6442437	.03942431	20.73975	1.517e-95	1.5687609	1.7233583	"model2"	"onsconfirmeddeath"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2530667	.02662803	10.616036	2.510e-26	1.2019486	1.3063587	"model2"	"onsconfirmeddeath"
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.dm_type"	"Diabetes Type"	2.037723	.18827288	7.7043413	1.315e-14	1.7001978	2.4422542	"model2"	"onsconfirmeddeath"
"2.dm_type"	"Diabetes Type"	1.4157026	.04767538	10.322621	5.568e-25	1.3252776	1.5122973	"model2"	"onsconfirmeddeath"
"3.dm_type"	"Diabetes Type"	.99880765	.04482895	-.02658201	.97879312	.91469823	1.0906512	"model2"	"onsconfirmeddeath"
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.cancer"	"Cancer"	1.3094473	.03025044	11.670368	1.806e-31	1.2514798	1.3700999	"model2"	"onsconfirmeddeath"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.chronic_liver_disease"	"Chronic liver disease"	1.9599429	.126539	10.422681	1.954e-25	1.7269813	2.2243299	"model2"	"onsconfirmeddeath"
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.stroke"	"Stroke"	1.4128014	.03813695	12.801971	1.598e-37	1.3399972	1.4895611	"model2"	"onsconfirmeddeath"
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.dementia"	"Dementia"	2.5424074	.11166076	21.246045	3.59e-100	2.3327112	2.7709541	"model2"	"onsconfirmeddeath"
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.other_neuro"	"Neurological disease"	2.5072936	.10085511	22.851734	1.40e-115	2.3172126	2.712967	"model2"	"onsconfirmeddeath"
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.egfr60"	"CKD defined by egfr<60"	1.4218041	.03143481	15.917725	4.774e-57	1.3615088	1.4847695	"model2"	"onsconfirmeddeath"
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.esrf"	"end stage renal failure"	4.6710871	.32887024	21.893059	3.03e-106	4.0690094	5.3622522	"model2"	"onsconfirmeddeath"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"onsconfirmeddeath"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.4270571	.11688044	4.3418895	.00001413	1.2154169	1.6755501	"model2"	"onsconfirmeddeath"
